k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.9515013654027005, 2.0080419330366532, -7.883093730584976]                    | 41.2925186157226562|      1.11111111|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[2.3097920252676287, 0.9809217956638197, -7.6567755304963985]                   | 10.1099452972412109|      1.23456790|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[2.3097920252676287, 0.9809217956638197, -7.6567755304963985]                   | 10.1099452972412109|      1.11111111|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[2.2978301844760116, -0.0703151086446863, -7.297156584083236]                   |  6.2829422950744629|      1.23456790|[22, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[1.2244592916926036, -0.2615815042505877, -7.8763370354073485]                  |  2.5358510017395020|      1.37174211|[27, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[1.2244592916926036, -0.2615815042505877, -7.8763370354073485]                  |  2.5358510017395020|      1.23456790|[32, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       7|[1.2244592916926036, -0.2615815042505877, -7.8763370354073485]                  |  2.5358510017395020|      1.11111111|[37, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[0.5378975634159593, -1.1158988664185674, -8.058936978448688]                   |  1.3054280281066895|      1.23456790|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[0.5378975634159593, -1.1158988664185674, -8.058936978448688]                   |  1.3054280281066895|      1.11111111|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[0.5378975634159593, -1.1158988664185674, -8.058936978448688]                   |  1.3054280281066895|      1.00000000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[0.5378975634159593, -1.1158988664185674, -8.058936978448688]                   |  1.3054280281066895|      0.90000000|[58, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[0.5378975634159593, -1.1158988664185674, -8.058936978448688]                   |  1.3054280281066895|      0.81000000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[-0.1385135595740268, -0.6809080094751061, -7.962236683355968]                  |  1.0656965970993042|      0.90000000|[69, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[-0.1385135595740268, -0.6809080094751061, -7.962236683355968]                  |  1.0656965970993042|      0.81000000|[74, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      15|[-0.1385135595740268, -0.6809080094751061, -7.962236683355968]                  |  1.0656965970993042|      0.72900000|[80, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
