k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |26656.1334557436784962|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0]                                                                     |26656.1334557436784962|      0.50000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[-1.2, 1.0]                                                                     |26656.1334557436784962|      0.25000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[-0.9578419038537812, 0.9378754760916536]                                       |2359.1376953125000000|      0.50000000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[-0.9578419038537812, 0.9378754760916536]                                       |2359.1376953125000000|      0.25000000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-0.9578419038537812, 0.9378754760916536]                                       |2359.1376953125000000|      0.12500000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[-0.8442529551741675, 0.8856974084974998]                                       |624.8868408203125000|      0.25000000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[-0.5952699271982475, 0.8631707181071606]                                       | 26.5565700531005859|      0.50000000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[-0.5952699271982475, 0.8631707181071606]                                       | 26.5565700531005859|      0.25000000|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[-0.5952699271982475, 0.8631707181071606]                                       | 26.5565700531005859|      0.12500000|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.4724872161132168, 0.8866101263464887]                                       |  4.3575854301452637|      0.25000000|[57, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[-0.4724872161132168, 0.8866101263464887]                                       |  4.3575854301452637|      0.12500000|[62, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[-0.3582940261324035, 0.8357680634260495]                                       |  0.5484806895256042|      0.25000000|[68, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[-0.3582940261324035, 0.8357680634260495]                                       |  0.5484806895256042|      0.12500000|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[-0.2334144536959424, 0.830282410494386]                                        |  0.0399356707930565|      0.25000000|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[-0.2334144536959424, 0.830282410494386]                                        |  0.0399356707930565|      0.12500000|[85, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[-0.1179130348217782, 0.8780780403997953]                                       |  0.0014395064208657|      0.25000000|[90, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[-0.1179130348217782, 0.8780780403997953]                                       |  0.0014395064208657|      0.12500000|[95, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      18|[-0.1179130348217782, 0.8780780403997953]                                       |  0.0014395064208657|      0.06250000|[100, 36, 0, 36]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[-0.1179130348217782, 0.8780780403997953]                                       |  0.0014395064208657|      0.03125000|[106, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[-0.1179130348217782, 0.8780780403997953]                                       |  0.0014395064208657|      0.01562500|[111, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      21|[-0.1179130348217782, 0.8780780403997953]                                       |  0.0014395064208657|      0.00781250|[116, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      22|[-0.1179130348217782, 0.8780780403997953]                                       |  0.0014395064208657|      0.00390625|[121, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      23|[-0.1140226667748162, 0.8784299289072476]                                       |  0.0012528040679172|      0.00781250|[126, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      24|[-0.1140226667748162, 0.8784299289072476]                                       |  0.0012528040679172|      0.00390625|[131, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      25|[-0.1101411796939408, 0.8788690725096115]                                       |  0.0010872700950131|      0.00781250|[136, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      26|[-0.1101411796939408, 0.8788690725096115]                                       |  0.0010872700950131|      0.00390625|[142, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      27|[-0.1062599708705938, 0.8793106686283377]                                       |  0.0009408318437636|      0.00781250|[147, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      28|[-0.1062599708705938, 0.8793106686283377]                                       |  0.0009408318437636|      0.00390625|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      29|[-0.1062599708705938, 0.8793106686283377]                                       |  0.0009408318437636|      0.00195312|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      30|[-0.1043200528548821, 0.8795374181772725]                                       |  0.0008741650381126|      0.00390625|[163, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      31|[-0.1043200528548821, 0.8795374181772725]                                       |  0.0008741650381126|      0.00195312|[169, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      32|[-0.1023829047206643, 0.8797867259623927]                                       |  0.0008115638629533|      0.00390625|[174, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      33|[-0.1023829047206643, 0.8797867259623927]                                       |  0.0008115638629533|      0.00195312|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      34|[-0.1004445923839481, 0.8800268145938572]                                       |  0.0007528128335252|      0.00390625|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      35|[-0.1004445923839481, 0.8800268145938572]                                       |  0.0007528128335252|      0.00195312|[191, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      36|[-0.0985046229502209, 0.8802531238111446]                                       |  0.0006977121229284|      0.00390625|[196, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      37|[-0.0985046229502209, 0.8802531238111446]                                       |  0.0006977121229284|      0.00195312|[201, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      38|[-0.0965672868211706, 0.8805009664803953]                                       |  0.0006460617878474|      0.00390625|[206, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      39|[-0.0965672868211706, 0.8805009664803953]                                       |  0.0006460617878474|      0.00195312|[211, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      40|[-0.0946298938467531, 0.8807483643953076]                                       |  0.0005976785323583|      0.00390625|[216, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      41|[-0.0946298938467531, 0.8807483643953076]                                       |  0.0005976785323583|      0.00195312|[221, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      42|[-0.0926961155634332, 0.8810225884215805]                                       |  0.0005523870931938|      0.00390625|[226, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      43|[-0.0926961155634332, 0.8810225884215805]                                       |  0.0005523870931938|      0.00195312|[231, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      44|[-0.0907629807132755, 0.8813013121499043]                                       |  0.0005100161652081|      0.00390625|[237, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      45|[-0.0907629807132755, 0.8813013121499043]                                       |  0.0005100161652081|      0.00195312|[243, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      46|[-0.0888241426990554, 0.8815371180451661]                                       |  0.0004704065504484|      0.00390625|[248, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      47|[-0.0888241426990554, 0.8815371180451661]                                       |  0.0004704065504484|      0.00195312|[253, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      48|[-0.0868919120889893, 0.8818220428337478]                                       |  0.0004334033292253|      0.00390625|[258, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      49|[-0.0868919120889893, 0.8818220428337478]                                       |  0.0004334033292253|      0.00195312|[264, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      50|[-0.0868919120889893, 0.8818220428337478]                                       |  0.0004334033292253|      0.00097656|[270, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      51|[-0.0859252562438885, 0.8819607900626885]                                       |  0.0004158327064943|      0.00195312|[276, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      52|[-0.0859252562438885, 0.8819607900626885]                                       |  0.0004158327064943|      0.00097656|[281, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      53|[-0.0849571774407257, 0.8820892336194485]                                       |  0.0003988597600255|      0.00195312|[286, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      54|[-0.0849571774407257, 0.8820892336194485]                                       |  0.0003988597600255|      0.00097656|[291, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      55|[-0.0839907279274786, 0.8822294108456683]                                       |  0.0003824675513897|      0.00195312|[296, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      56|[-0.0839907279274786, 0.8822294108456683]                                       |  0.0003824675513897|      0.00097656|[301, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      57|[-0.0830243431634843, 0.8823700337610335]                                       |  0.0003666391712613|      0.00195312|[307, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      58|[-0.0830243431634843, 0.8823700337610335]                                       |  0.0003666391712613|      0.00097656|[312, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      59|[-0.0820564252671722, 0.8824996843005813]                                       |  0.0003513584670145|      0.00195312|[318, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
