k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.50000000|[9, 0, 0, 2]                                                               |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       2|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.25000000|[17, 0, 0, 4]                                                              |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       3|[0.7502556574007075, 0.0886967553486969]                                        |  0.9595559835433960|      0.50000000|[25, 0, 0, 6]                                                              |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       4|[0.7502556574007075, 0.0886967553486969]                                        |  0.9595559835433960|      0.25000000|[33, 0, 0, 8]                                                              |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       5|[0.7502556574007075, 0.0886967553486969]                                        |  0.9595559835433960|      0.12500000|[41, 0, 0, 10]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       6|[0.6252804318791519, 0.0862081802872755]                                        |  0.4645628929138184|      0.25000000|[49, 0, 0, 12]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       7|[0.6252804318791519, 0.0862081802872755]                                        |  0.4645628929138184|      0.12500000|[57, 0, 0, 14]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       8|[0.6252804318791519, 0.0862081802872755]                                        |  0.4645628929138184|      0.06250000|[65, 0, 0, 16]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       9|[0.5629420046761074, 0.081717022992021]                                         |  0.3056500256061554|      0.12500000|[73, 0, 0, 18]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      10|[0.5629420046761074, 0.081717022992021]                                         |  0.3056500256061554|      0.06250000|[81, 0, 0, 20]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[0.5629420046761074, 0.081717022992021]                                         |  0.3056500256061554|      0.03125000|[89, 0, 0, 22]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      12|[0.5317229862722913, 0.0803258400773084]                                        |  0.2435810267925262|      0.06250000|[97, 0, 0, 24]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      13|[0.5317229862722913, 0.0803258400773084]                                        |  0.2435810267925262|      0.03125000|[105, 0, 0, 26]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      14|[0.5005013324626819, 0.0789951134363716]                                        |  0.1914963424205780|      0.06250000|[113, 0, 0, 28]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      15|[0.5005013324626819, 0.0789951134363716]                                        |  0.1914963424205780|      0.03125000|[121, 0, 0, 30]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      16|[0.4692829484013045, 0.0775897677150861]                                        |  0.1482594609260559|      0.06250000|[129, 0, 0, 32]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      17|[0.4692829484013045, 0.0775897677150861]                                        |  0.1482594609260559|      0.03125000|[137, 0, 0, 34]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      18|[0.4381203654059151, 0.0752539764026028]                                        |  0.1128040850162506|      0.06250000|[145, 0, 0, 36]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      19|[0.4381203654059151, 0.0752539764026028]                                        |  0.1128040850162506|      0.03125000|[153, 0, 0, 38]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      20|[0.4381203654059151, 0.0752539764026028]                                        |  0.1128040850162506|      0.01562500|[161, 0, 0, 40]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      21|[0.4225181723861422, 0.0744100581756703]                                        |  0.0976787656545639|      0.03125000|[169, 0, 0, 42]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      22|[0.4225181723861422, 0.0744100581756703]                                        |  0.0976787656545639|      0.01562500|[177, 0, 0, 44]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      23|[0.4069286383404304, 0.0733578922013141]                                        |  0.0841301530599594|      0.03125000|[185, 0, 0, 46]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      24|[0.4069286383404304, 0.0733578922013141]                                        |  0.0841301530599594|      0.01562500|[193, 0, 0, 48]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      25|[0.3913330550886521, 0.0723995561241196]                                        |  0.0720448866486549|      0.03125000|[201, 0, 0, 50]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
