k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |749.0383999999999105|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0]                                                                     |749.0383999999999105|      0.20000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[-1.0046701284408235, 0.9570320901523521]                                       |392.5453796386718750|      1.00000000|[12, 4, 0, 4]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       3|[-1.0046701284408235, 0.9570320901523521]                                       |392.5453796386718750|      0.20000000|[18, 6, 0, 6]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[-0.8151472217555498, 0.8931488541544392]                                       |209.1557464599609375|      1.00000000|[24, 8, 0, 8]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       5|[-0.8151472217555498, 0.8931488541544392]                                       |209.1557464599609375|      0.20000000|[32, 11, 0, 11]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[-0.6232826124301445, 0.8366867280130195]                                       |119.0203704833984375|      1.00000000|[38, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       7|[-0.6232826124301445, 0.8366867280130195]                                       |119.0203704833984375|      0.20000000|[44, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-0.4882139113253199, 0.6891860636692425]                                       | 67.1063842773437500|      1.00000000|[49, 17, 0, 17]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       9|[-0.4882139113253199, 0.6891860636692425]                                       | 67.1063842773437500|      0.20000000|[56, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.3959838470694392, 0.5117216580906699]                                       | 34.8749275207519531|      1.00000000|[61, 22, 0, 22]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      11|[-0.3959838470694392, 0.5117216580906699]                                       | 34.8749275207519531|      0.20000000|[67, 24, 0, 24]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[-0.3026242106666476, 0.3348488837845644]                                       | 14.8420686721801758|      1.00000000|[73, 26, 0, 26]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      13|[-0.3026242106666476, 0.3348488837845644]                                       | 14.8420686721801758|      0.20000000|[79, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[-0.2605833581018688, 0.1393173857704937]                                       |  4.0543460845947266|      1.00000000|[84, 30, 0, 30]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      15|[-0.2605833581018688, 0.1393173857704937]                                       |  4.0543460845947266|      0.20000000|[91, 33, 0, 33]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[-0.2605833581018688, 0.1393173857704937]                                       |  4.0543460845947266|      0.04000000|[98, 36, 0, 36]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[-0.2510521234730437, 0.1004695342668354]                                       |  2.9175291061401367|      0.20000000|[104, 38, 0, 38]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      18|[-0.2510521234730437, 0.1004695342668354]                                       |  2.9175291061401367|      0.04000000|[111, 41, 0, 41]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[-0.2426587267534282, 0.0613600610984693]                                       |  2.1164717674255371|      0.20000000|[117, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      20|[-0.2426587267534282, 0.0613600610984693]                                       |  2.1164717674255371|      0.04000000|[124, 46, 0, 46]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[-0.235985541590063, 0.0219206315922575]                                        |  1.6505979299545288|      0.20000000|[129, 48, 0, 48]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      22|[-0.235985541590063, 0.0219206315922575]                                        |  1.6505979299545288|      0.04000000|[137, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[-0.2095180613985922, -0.0080705753243389]                                      |  1.4630608558654785|      0.20000000|[143, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      24|[-0.011586242512131, 0.0206173153666267]                                        |  1.0658204555511475|      1.00000000|[150, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      25|[-0.011586242512131, 0.0206173153666267]                                        |  1.0658204555511475|      0.20000000|[156, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
