k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      0.50000000|[27, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       2|[0.2676312903518236, -0.0834149957181589, -0.1285694730847398, 0.183772673016623, 0.1079365673859142, -0.0617318267776236, 0.0981615852884771, -0.0094327548007491, -0.0295523292193495, -0.004733044743072, -0.0309557695134396, -0.0267172307202922, 0.1539627616134776, 0.0064446368618363, -0.0836165158163729, -0.0882776320884936, -0.0347869320771115, 0.0413365837371779, -0.017559818778169, 0.1293830154875399, -0.1863108040238967, -0.0122360415923778]| 14.3778362274169922|      1.00000000|[53, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       3|[0.2676312903518236, -0.0834149957181589, -0.1285694730847398, 0.183772673016623, 0.1079365673859142, -0.0617318267776236, 0.0981615852884771, -0.0094327548007491, -0.0295523292193495, -0.004733044743072, -0.0309557695134396, -0.0267172307202922, 0.1539627616134776, 0.0064446368618363, -0.0836165158163729, -0.0882776320884936, -0.0347869320771115, 0.0413365837371779, -0.017559818778169, 0.1293830154875399, -0.1863108040238967, -0.0122360415923778]| 14.3778362274169922|      0.50000000|[79, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       4|[0.4352931552039442, -0.0468224706838709, 0.0045258924627709, 0.4439345429346671, 0.1648318141569158, -0.0933624784836288, 0.2354997543283433, -0.1241987837359168, -0.0161993609406287, -0.018322430338625, -0.1125139746552526, 0.0237945892646194, -0.0243368365762933, 0.0596091921085523, -0.2188308759110468, -0.0779417248957961, -0.0714545274806632, -0.0243129608684545, -0.102248978544477, 0.1577992459513574, -0.0679871694355741, -0.1053682462496299]| 13.7610063552856445|      1.00000000|[105, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | iterate success | actual_k=2
       5|[0.4352931552039442, -0.0468224706838709, 0.0045258924627709, 0.4439345429346671, 0.1648318141569158, -0.0933624784836288, 0.2354997543283433, -0.1241987837359168, -0.0161993609406287, -0.018322430338625, -0.1125139746552526, 0.0237945892646194, -0.0243368365762933, 0.0596091921085523, -0.2188308759110468, -0.0779417248957961, -0.0714545274806632, -0.0243129608684545, -0.102248978544477, 0.1577992459513574, -0.0679871694355741, -0.1053682462496299]| 13.7610063552856445|      0.50000000|[131, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       6|[0.6613802552591601, -0.1140551346654171, 0.100219024652615, 0.6953166311739696, 0.1568800045773032, -0.0856750632169299, 0.1649383859858763, -0.034547461891021, 0.0025517898546829, 0.0455993474291311, -0.0949667264230003, 0.0741644818756207, -0.0631092477535129, 0.0099732939441107, -0.2962351653927014, -0.0630863404299078, -0.0130811437373299, 0.0287202199337833, -0.19893251379785, 0.018191680659038, -0.3040820405279605, -0.1301709016485725]| 13.2174530029296875|      1.00000000|[157, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       7|[0.6613802552591601, -0.1140551346654171, 0.100219024652615, 0.6953166311739696, 0.1568800045773032, -0.0856750632169299, 0.1649383859858763, -0.034547461891021, 0.0025517898546829, 0.0455993474291311, -0.0949667264230003, 0.0741644818756207, -0.0631092477535129, 0.0099732939441107, -0.2962351653927014, -0.0630863404299078, -0.0130811437373299, 0.0287202199337833, -0.19893251379785, 0.018191680659038, -0.3040820405279605, -0.1301709016485725]| 13.2174530029296875|      0.50000000|[184, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       8|[0.6613802552591601, -0.1140551346654171, 0.100219024652615, 0.6953166311739696, 0.1568800045773032, -0.0856750632169299, 0.1649383859858763, -0.034547461891021, 0.0025517898546829, 0.0455993474291311, -0.0949667264230003, 0.0741644818756207, -0.0631092477535129, 0.0099732939441107, -0.2962351653927014, -0.0630863404299078, -0.0130811437373299, 0.0287202199337833, -0.19893251379785, 0.018191680659038, -0.3040820405279605, -0.1301709016485725]| 13.2174530029296875|      0.25000000|[212, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       9|[0.732689707194597, -0.0384923185533626, 0.1317841893684248, 0.8429620242405469, 0.1273707435376618, -0.0739027808813619, 0.1827846033849148, -0.0438250589472489, 0.0447834583973966, 0.0480111315188487, -0.1133021537419179, 0.0054723442961962, -0.0945133586790083, 0.0545830470482213, -0.3504366684363766, -0.0210288093440849, -0.0039372691205916, 0.0324772179889941, -0.2073491669973577, -0.0469253756657223, -0.3298917189679383, -0.2190179917223185]| 12.9934301376342773|      0.50000000|[238, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      10|[0.732689707194597, -0.0384923185533626, 0.1317841893684248, 0.8429620242405469, 0.1273707435376618, -0.0739027808813619, 0.1827846033849148, -0.0438250589472489, 0.0447834583973966, 0.0480111315188487, -0.1133021537419179, 0.0054723442961962, -0.0945133586790083, 0.0545830470482213, -0.3504366684363766, -0.0210288093440849, -0.0039372691205916, 0.0324772179889941, -0.2073491669973577, -0.0469253756657223, -0.3298917189679383, -0.2190179917223185]| 12.9934301376342773|      0.25000000|[264, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      11|[0.7690973077948479, -0.0843338546767491, 0.1730851540252043, 0.9817892762992487, 0.0673312050764254, -0.0982634909933307, 0.2437644307618609, 0.0130558122132251, 0.0445680499261826, 0.0706002944507178, -0.1130237054700726, -0.0158169828142758, -0.1246291626414577, 0.0513386409838391, -0.4044445910572372, -0.0596408332694106, 0.0082075610399104, 0.1312495705897018, -0.2958614378733256, -0.0336704065838609, -0.278771065476471, -0.2302575525757684]| 12.8327751159667969|      0.50000000|[290, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
