k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.951501376384468, 2.0080419418278086, -7.883093651435629]                     | 41.2925186157226562|      1.11111111|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[2.3097919598437597, 0.9809217535557497, -7.656775561387708]                    | 10.1099443435668945|      1.23456790|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[2.3097919598437597, 0.9809217535557497, -7.656775561387708]                    | 10.1099443435668945|      1.11111111|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       4|[2.3097919598437597, 0.9809217535557497, -7.656775561387708]                    | 10.1099443435668945|      1.00000000|[22, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       5|[2.3097919598437597, 0.9809217535557497, -7.656775561387708]                    | 10.1099443435668945|      0.90000000|[27, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       6|[2.3097919598437597, 0.9809217535557497, -7.656775561387708]                    | 10.1099443435668945|      0.81000000|[32, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       7|[2.3097919598437597, 0.9809217535557497, -7.656775561387708]                    | 10.1099443435668945|      0.72900000|[37, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[2.3097919598437597, 0.9809217535557497, -7.656775561387708]                    | 10.1099443435668945|      0.65610000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[2.3097919598437597, 0.9809217535557497, -7.656775561387708]                    | 10.1099443435668945|      0.59049000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[2.3097919598437597, 0.9809217535557497, -7.656775561387708]                    | 10.1099443435668945|      0.53144100|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[2.3097919598437597, 0.9809217535557497, -7.656775561387708]                    | 10.1099443435668945|      0.47829690|[58, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[2.3097919598437597, 0.9809217535557497, -7.656775561387708]                    | 10.1099443435668945|      0.43046721|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[2.3097919598437597, 0.9809217535557497, -7.656775561387708]                    | 10.1099443435668945|      0.38742049|[69, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      14|[2.3097919598437597, 0.9809217535557497, -7.656775561387708]                    | 10.1099443435668945|      0.34867844|[74, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      15|[2.3097919598437597, 0.9809217535557497, -7.656775561387708]                    | 10.1099443435668945|      0.31381060|[80, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[2.1936631613699564, 0.6913648525384186, -7.690657613519059]                    |  7.1786241531372070|      0.34867844|[85, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[2.1936631613699564, 0.6913648525384186, -7.690657613519059]                    |  7.1786241531372070|      0.31381060|[91, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      18|[2.1936631613699564, 0.6913648525384186, -7.690657613519059]                    |  7.1786241531372070|      0.28242954|[97, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[2.1936631613699564, 0.6913648525384186, -7.690657613519059]                    |  7.1786241531372070|      0.25418658|[103, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[2.1936631613699564, 0.6913648525384186, -7.690657613519059]                    |  7.1786241531372070|      0.22876792|[108, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      21|[2.1936631613699564, 0.6913648525384186, -7.690657613519059]                    |  7.1786241531372070|      0.20589113|[113, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      22|[2.1936631613699564, 0.6913648525384186, -7.690657613519059]                    |  7.1786241531372070|      0.18530202|[118, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      23|[2.1936631613699564, 0.6913648525384186, -7.690657613519059]                    |  7.1786241531372070|      0.16677182|[124, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      24|[2.063250654987349, 0.6059675852777726, -7.749925850103165]                     |  6.2031908035278320|      0.18530202|[129, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      25|[2.063250654987349, 0.6059675852777726, -7.749925850103165]                     |  6.2031908035278320|      0.16677182|[134, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      26|[2.063250654987349, 0.6059675852777726, -7.749925850103165]                     |  6.2031908035278320|      0.15009464|[140, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      27|[2.063250654987349, 0.6059675852777726, -7.749925850103165]                     |  6.2031908035278320|      0.13508517|[146, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      28|[1.9668629803993682, 0.5194833996581465, -7.788369386056981]                    |  5.4907889366149902|      0.15009464|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      29|[1.9668629803993682, 0.5194833996581465, -7.788369386056981]                    |  5.4907889366149902|      0.13508517|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      30|[1.9668629803993682, 0.5194833996581465, -7.788369386056981]                    |  5.4907889366149902|      0.12157665|[164, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      31|[1.9668629803993682, 0.5194833996581465, -7.788369386056981]                    |  5.4907889366149902|      0.10941899|[170, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      32|[1.8824220095988953, 0.4498972378312519, -7.788430337159792]                    |  4.9681854248046875|      0.12157665|[175, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      33|[1.8824220095988953, 0.4498972378312519, -7.788430337159792]                    |  4.9681854248046875|      0.10941899|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      34|[1.8824220095988953, 0.4498972378312519, -7.788430337159792]                    |  4.9681854248046875|      0.09847709|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      35|[1.7993978603511216, 0.4035807919328525, -7.814111356977923]                    |  4.5578999519348145|      0.10941899|[192, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      36|[1.7993978603511216, 0.4035807919328525, -7.814111356977923]                    |  4.5578999519348145|      0.09847709|[197, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      37|[1.7993978603511216, 0.4035807919328525, -7.814111356977923]                    |  4.5578999519348145|      0.08862938|[203, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      38|[1.7993978603511216, 0.4035807919328525, -7.814111356977923]                    |  4.5578999519348145|      0.07976644|[209, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      39|[1.7993978603511216, 0.4035807919328525, -7.814111356977923]                    |  4.5578999519348145|      0.07178980|[214, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      40|[1.7502242105414643, 0.3566905273415281, -7.790937439348983]                    |  4.2966351509094238|      0.07976644|[219, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      41|[1.685540703073026, 0.3297690160112505, -7.8290682868403545]                    |  4.0325484275817871|      0.08862938|[225, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      42|[1.685540703073026, 0.3297690160112505, -7.8290682868403545]                    |  4.0325484275817871|      0.07976644|[231, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      43|[1.6107597458633407, 0.3020244057359793, -7.829922968425786]                    |  3.7483918666839600|      0.08862938|[236, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      44|[1.6107597458633407, 0.3020244057359793, -7.829922968425786]                    |  3.7483918666839600|      0.07976644|[241, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      45|[1.6107597458633407, 0.3020244057359793, -7.829922968425786]                    |  3.7483918666839600|      0.07178980|[246, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      46|[1.546477057556265, 0.2883943691953152, -7.801013916292662]                     |  3.5288338661193848|      0.07976644|[251, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      47|[1.546477057556265, 0.2883943691953152, -7.801013916292662]                     |  3.5288338661193848|      0.07178980|[257, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      48|[1.4755093243948327, 0.2775941062521544, -7.80185675530841]                     |  3.3020884990692139|      0.07976644|[263, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      49|[1.4755093243948327, 0.2775941062521544, -7.80185675530841]                     |  3.3020884990692139|      0.07178980|[269, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      50|[1.4106203157030257, 0.2613764313627315, -7.775776517972533]                    |  3.0977084636688232|      0.07976644|[275, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      51|[1.4106203157030257, 0.2613764313627315, -7.775776517972533]                    |  3.0977084636688232|      0.07178980|[280, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      52|[1.4106203157030257, 0.2613764313627315, -7.775776517972533]                    |  3.0977084636688232|      0.06461082|[286, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      53|[1.3505817514884588, 0.2391002009309244, -7.784361288367346]                    |  2.9110143184661865|      0.07178980|[292, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      54|[1.281267338068949, 0.2204173355811234, -7.784848978792326]                     |  2.7131757736206055|      0.07976644|[297, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      55|[1.281267338068949, 0.2204173355811234, -7.784848978792326]                     |  2.7131757736206055|      0.07178980|[302, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      56|[1.281267338068949, 0.2204173355811234, -7.784848978792326]                     |  2.7131757736206055|      0.06461082|[307, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      57|[1.281267338068949, 0.2204173355811234, -7.784848978792326]                     |  2.7131757736206055|      0.05814974|[313, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      58|[1.2236369874616577, 0.2188892168016216, -7.777246383485514]                    |  2.5676324367523193|      0.06461082|[318, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      59|[1.2236369874616577, 0.2188892168016216, -7.777246383485514]                    |  2.5676324367523193|      0.05814974|[323, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      60|[1.2236369874616577, 0.2188892168016216, -7.777246383485514]                    |  2.5676324367523193|      0.05233476|[329, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      61|[1.2236369874616577, 0.2188892168016216, -7.777246383485514]                    |  2.5676324367523193|      0.04710129|[335, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      62|[1.2236369874616577, 0.2188892168016216, -7.777246383485514]                    |  2.5676324367523193|      0.04239116|[341, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      63|[1.1838490515246964, 0.2268180873989308, -7.76495559568156]                     |  2.4780812263488770|      0.04710129|[346, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      64|[1.1383590891762208, 0.2354878766592086, -7.756351566731184]                    |  2.3796529769897461|      0.05233476|[352, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      65|[1.0882022329664667, 0.2206807044499159, -7.758342766437849]                    |  2.2558958530426025|      0.05814974|[358, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      66|[1.0882022329664667, 0.2206807044499159, -7.758342766437849]                    |  2.2558958530426025|      0.05233476|[364, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      67|[1.0446407457044318, 0.1918417406091026, -7.755238182397878]                    |  2.1426959037780762|      0.05814974|[370, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      68|[1.0446407457044318, 0.1918417406091026, -7.755238182397878]                    |  2.1426959037780762|      0.05233476|[376, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      69|[1.0446407457044318, 0.1918417406091026, -7.755238182397878]                    |  2.1426959037780762|      0.04710129|[381, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      70|[1.003265270364288, 0.1709933718226516, -7.763720327986321]                     |  2.0457844734191895|      0.05233476|[386, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      71|[1.003265270364288, 0.1709933718226516, -7.763720327986321]                     |  2.0457844734191895|      0.04710129|[392, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      72|[0.957370825344948, 0.1687619047103766, -7.753364088062686]                     |  1.9546051025390625|      0.05233476|[397, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      73|[0.957370825344948, 0.1687619047103766, -7.753364088062686]                     |  1.9546051025390625|      0.04710129|[403, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      74|[0.957370825344948, 0.1687619047103766, -7.753364088062686]                     |  1.9546051025390625|      0.04239116|[409, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      75|[0.915357366660517, 0.170910128172266, -7.758585651549214]                      |  1.8770732879638672|      0.04710129|[415, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      76|[0.915357366660517, 0.170910128172266, -7.758585651549214]                      |  1.8770732879638672|      0.04239116|[421, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      77|[0.8751450659262916, 0.157592443091139, -7.760204426905639]                     |  1.7983062267303467|      0.04710129|[426, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      78|[0.8751450659262916, 0.157592443091139, -7.760204426905639]                     |  1.7983062267303467|      0.04239116|[431, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      79|[0.8751450659262916, 0.157592443091139, -7.760204426905639]                     |  1.7983062267303467|      0.03815204|[436, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      80|[0.8375500917948322, 0.154667383144818, -7.7544044021387935]                    |  1.7325267791748047|      0.04239116|[442, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
