k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.9298949486707209, 2.0024846651103916, -8.006959772854904]                    | 40.8731384277343750|      2.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[2.554414954812504, 0.1527837928504643, -7.5727001211607465]                    |  7.5550279617309570|      4.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[2.554414954812504, 0.1527837928504643, -7.5727001211607465]                    |  7.5550279617309570|      2.00000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       4|[2.554414954812504, 0.1527837928504643, -7.5727001211607465]                    |  7.5550279617309570|      1.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       5|[2.554414954812504, 0.1527837928504643, -7.5727001211607465]                    |  7.5550279617309570|      0.50000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       6|[2.554414954812504, 0.1527837928504643, -7.5727001211607465]                    |  7.5550279617309570|      0.25000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       7|[2.554414954812504, 0.1527837928504643, -7.5727001211607465]                    |  7.5550279617309570|      0.12500000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       8|[2.554414954812504, 0.1527837928504643, -7.5727001211607465]                    |  7.5550279617309570|      0.06250000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       9|[2.492126007977606, 0.1575236100085953, -7.574667666714656]                     |  7.2429127693176270|      0.12500000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[2.492126007977606, 0.1575236100085953, -7.574667666714656]                     |  7.2429127693176270|      0.06250000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[2.463291731770975, 0.1020725941226356, -7.574806781252938]                     |  7.0794343948364258|      0.12500000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      12|[2.463291731770975, 0.1020725941226356, -7.574806781252938]                     |  7.0794343948364258|      0.06250000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      13|[2.4032567561926297, 0.1023817175316544, -7.557429895742999]                    |  6.7873373031616211|      0.12500000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      14|[2.4032567561926297, 0.1023817175316544, -7.557429895742999]                    |  6.7873373031616211|      0.06250000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      15|[2.4032567561926297, 0.1023817175316544, -7.557429895742999]                    |  6.7873373031616211|      0.03125000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
