k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.215698828078022, -0.5985301861067014, -0.1256240585307743, 0.7867271652385325, 0.0735047518199876, 0.2147203833674372, -0.2856003715102058]|75844.3359375000000000|      1.11111111|[27, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       2|[10.215698828078022, -0.5985301861067014, -0.1256240585307743, 0.7867271652385325, 0.0735047518199876, 0.2147203833674372, -0.2856003715102058]|75844.3359375000000000|      1.00000000|[53, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[10.285272769605367, -0.3585071088920282, -0.3604194941192301, 0.4661190734365823, 0.2316398651526925, -0.5168441560123777, 0.1828401846075796]|39849.0664062500000000|      1.11111111|[79, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | iterate success | actual_k=2
       4|[10.285272769605367, -0.3585071088920282, -0.3604194941192301, 0.4661190734365823, 0.2316398651526925, -0.5168441560123777, 0.1828401846075796]|39849.0664062500000000|      1.00000000|[105, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[10.285272769605367, -0.3585071088920282, -0.3604194941192301, 0.4661190734365823, 0.2316398651526925, -0.5168441560123777, 0.1828401846075796]|39849.0664062500000000|      0.90000000|[131, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[10.285272769605367, -0.3585071088920282, -0.3604194941192301, 0.4661190734365823, 0.2316398651526925, -0.5168441560123777, 0.1828401846075796]|39849.0664062500000000|      0.81000000|[158, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[10.285272769605367, -0.3585071088920282, -0.3604194941192301, 0.4661190734365823, 0.2316398651526925, -0.5168441560123777, 0.1828401846075796]|39849.0664062500000000|      0.72900000|[185, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[10.285272769605367, -0.3585071088920282, -0.3604194941192301, 0.4661190734365823, 0.2316398651526925, -0.5168441560123777, 0.1828401846075796]|39849.0664062500000000|      0.65610000|[211, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[10.285272769605367, -0.3585071088920282, -0.3604194941192301, 0.4661190734365823, 0.2316398651526925, -0.5168441560123777, 0.1828401846075796]|39849.0664062500000000|      0.59049000|[237, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[10.285272769605367, -0.3585071088920282, -0.3604194941192301, 0.4661190734365823, 0.2316398651526925, -0.5168441560123777, 0.1828401846075796]|39849.0664062500000000|      0.53144100|[263, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[10.285272769605367, -0.3585071088920282, -0.3604194941192301, 0.4661190734365823, 0.2316398651526925, -0.5168441560123777, 0.1828401846075796]|39849.0664062500000000|      0.47829690|[289, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      12|[10.285272769605367, -0.3585071088920282, -0.3604194941192301, 0.4661190734365823, 0.2316398651526925, -0.5168441560123777, 0.1828401846075796]|39849.0664062500000000|      0.43046721|[316, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      13|[10.285272769605367, -0.3585071088920282, -0.3604194941192301, 0.4661190734365823, 0.2316398651526925, -0.5168441560123777, 0.1828401846075796]|39849.0664062500000000|      0.38742049|[342, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      14|[10.285272769605367, -0.3585071088920282, -0.3604194941192301, 0.4661190734365823, 0.2316398651526925, -0.5168441560123777, 0.1828401846075796]|39849.0664062500000000|      0.34867844|[368, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      15|[10.285272769605367, -0.3585071088920282, -0.3604194941192301, 0.4661190734365823, 0.2316398651526925, -0.5168441560123777, 0.1828401846075796]|39849.0664062500000000|      0.31381060|[394, 60, 0, 30]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      16|[10.285272769605367, -0.3585071088920282, -0.3604194941192301, 0.4661190734365823, 0.2316398651526925, -0.5168441560123777, 0.1828401846075796]|39849.0664062500000000|      0.28242954|[421, 64, 0, 32]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      17|[10.285272769605367, -0.3585071088920282, -0.3604194941192301, 0.4661190734365823, 0.2316398651526925, -0.5168441560123777, 0.1828401846075796]|39849.0664062500000000|      0.25418658|[447, 68, 0, 34]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      18|[10.285272769605367, -0.3585071088920282, -0.3604194941192301, 0.4661190734365823, 0.2316398651526925, -0.5168441560123777, 0.1828401846075796]|39849.0664062500000000|      0.22876792|[473, 72, 0, 36]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      19|[10.285272769605367, -0.3585071088920282, -0.3604194941192301, 0.4661190734365823, 0.2316398651526925, -0.5168441560123777, 0.1828401846075796]|39849.0664062500000000|      0.20589113|[500, 76, 0, 38]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      20|[10.285272769605367, -0.3585071088920282, -0.3604194941192301, 0.4661190734365823, 0.2316398651526925, -0.5168441560123777, 0.1828401846075796]|39849.0664062500000000|      0.18530202|[526, 80, 0, 40]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      21|[10.285272769605367, -0.3585071088920282, -0.3604194941192301, 0.4661190734365823, 0.2316398651526925, -0.5168441560123777, 0.1828401846075796]|39849.0664062500000000|      0.16677182|[552, 84, 0, 42]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      22|[10.285272769605367, -0.3585071088920282, -0.3604194941192301, 0.4661190734365823, 0.2316398651526925, -0.5168441560123777, 0.1828401846075796]|39849.0664062500000000|      0.15009464|[579, 88, 0, 44]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      23|[10.287871175612814, -0.3664685044951739, -0.3608386343379848, 0.5127457138351863, 0.2207601655312553, -0.5191119652666029, 0.0408523896561827]|23885.8769531250000000|      0.16677182|[606, 92, 0, 46]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      24|[10.287871175612814, -0.3664685044951739, -0.3608386343379848, 0.5127457138351863, 0.2207601655312553, -0.5191119652666029, 0.0408523896561827]|23885.8769531250000000|      0.15009464|[633, 96, 0, 48]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      25|[10.287871175612814, -0.3664685044951739, -0.3608386343379848, 0.5127457138351863, 0.2207601655312553, -0.5191119652666029, 0.0408523896561827]|23885.8769531250000000|      0.13508517|[659, 100, 0, 50]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      26|[10.287871175612814, -0.3664685044951739, -0.3608386343379848, 0.5127457138351863, 0.2207601655312553, -0.5191119652666029, 0.0408523896561827]|23885.8769531250000000|      0.12157665|[685, 104, 0, 52]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      27|[10.287871175612814, -0.3664685044951739, -0.3608386343379848, 0.5127457138351863, 0.2207601655312553, -0.5191119652666029, 0.0408523896561827]|23885.8769531250000000|      0.10941899|[711, 108, 0, 54]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      28|[10.287871175612814, -0.3664685044951739, -0.3608386343379848, 0.5127457138351863, 0.2207601655312553, -0.5191119652666029, 0.0408523896561827]|23885.8769531250000000|      0.09847709|[737, 112, 0, 56]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      29|[10.287871175612814, -0.3664685044951739, -0.3608386343379848, 0.5127457138351863, 0.2207601655312553, -0.5191119652666029, 0.0408523896561827]|23885.8769531250000000|      0.08862938|[763, 116, 0, 58]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      30|[10.287871175612814, -0.3664685044951739, -0.3608386343379848, 0.5127457138351863, 0.2207601655312553, -0.5191119652666029, 0.0408523896561827]|23885.8769531250000000|      0.07976644|[789, 120, 0, 60]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      31|[10.287871175612814, -0.3664685044951739, -0.3608386343379848, 0.5127457138351863, 0.2207601655312553, -0.5191119652666029, 0.0408523896561827]|23885.8769531250000000|      0.07178980|[816, 124, 0, 62]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      32|[10.287871175612814, -0.3664685044951739, -0.3608386343379848, 0.5127457138351863, 0.2207601655312553, -0.5191119652666029, 0.0408523896561827]|23885.8769531250000000|      0.06461082|[843, 128, 0, 64]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      33|[10.287871175612814, -0.3664685044951739, -0.3608386343379848, 0.5127457138351863, 0.2207601655312553, -0.5191119652666029, 0.0408523896561827]|23885.8769531250000000|      0.05814974|[869, 132, 0, 66]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      34|[10.287871175612814, -0.3664685044951739, -0.3608386343379848, 0.5127457138351863, 0.2207601655312553, -0.5191119652666029, 0.0408523896561827]|23885.8769531250000000|      0.05233476|[895, 136, 0, 68]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      35|[10.287871175612814, -0.3664685044951739, -0.3608386343379848, 0.5127457138351863, 0.2207601655312553, -0.5191119652666029, 0.0408523896561827]|23885.8769531250000000|      0.04710129|[921, 140, 0, 70]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
