k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.609553617497106, 0.0519686181864622, 0.1352853357785249, 0.7793853527255101, -2.6994897e-09, -1.086920568e-07, 1.44826971e-08, -6.64428622e-08, -2.8907761e-08, 8.21113743e-08, -5.29401489e-08, 2.376422719e-07, -2.4045045e-08, -1.995109413e-07, 2.43209221e-08, 8.10860233e-08, -1.964871755e-07, -5.85320581e-08, 2.29673622e-08, 2.824421e-10, 1.693881929e-07, 5.57579756e-08]| 13.1512060165405273|     10.00000000|[129, 0, 0, 2]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       2|[0.609553617497106, 0.0519686181864622, 0.1352853357785249, 0.7793853527255101, -2.6994897e-09, -1.086920568e-07, 1.44826971e-08, -6.64428622e-08, -2.8907761e-08, 8.21113743e-08, -5.29401489e-08, 2.376422719e-07, -2.4045045e-08, -1.995109413e-07, 2.43209221e-08, 8.10860233e-08, -1.964871755e-07, -5.85320581e-08, 2.29673622e-08, 2.824421e-10, 1.693881929e-07, 5.57579756e-08]| 13.1512060165405273|      1.00000000|[257, 0, 0, 4]                                                             |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       3|[0.609553617497106, 0.0519686181864622, 0.1352853357785249, 0.7793853527255101, -2.6994897e-09, -1.086920568e-07, 1.44826971e-08, -6.64428622e-08, -2.8907761e-08, 8.21113743e-08, -5.29401489e-08, 2.376422719e-07, -2.4045045e-08, -1.995109413e-07, 2.43209221e-08, 8.10860233e-08, -1.964871755e-07, -5.85320581e-08, 2.29673622e-08, 2.824421e-10, 1.693881929e-07, 5.57579756e-08]| 13.1512060165405273|      0.10000000|[385, 0, 0, 6]                                                             |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       4|[0.6704648193005072, 0.0571467301373949, 0.1488243524926214, 0.8573578329817585, 1.003889348e-07, 1.877270639e-07, -6.82533613e-08, -1.287776437e-07, -9.40651257e-08, 1.3688585e-09, -4.012051292e-07, 2.774242843e-07, -1.698464446e-07, -1.183651934e-07, -1.227487968e-07, 2.835400564e-07, -2.675846354e-07, 3.32881096e-07, -3.89917997e-08, 3.048767398e-07, 1.199443902e-07, 1.074856998e-07]| 13.0181665420532227|      1.00000000|[513, 0, 0, 8]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       5|[0.6704648193005072, 0.0571467301373949, 0.1488243524926214, 0.8573578329817585, 1.003889348e-07, 1.877270639e-07, -6.82533613e-08, -1.287776437e-07, -9.40651257e-08, 1.3688585e-09, -4.012051292e-07, 2.774242843e-07, -1.698464446e-07, -1.183651934e-07, -1.227487968e-07, 2.835400564e-07, -2.675846354e-07, 3.32881096e-07, -3.89917997e-08, 3.048767398e-07, 1.199443902e-07, 1.074856998e-07]| 13.0181665420532227|      0.10000000|[641, 0, 0, 10]                                                            |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       6|[0.7313678972747665, 0.0623216630178972, 0.1623650697069743, 0.9353365745718026, 1.786573833e-07, 1.11656e-09, -3.1036192e-09, 8.72747705e-08, -1.883813035e-07, -1.283266023e-07, -4.061576185e-07, 3.918072155e-07, -2.019345086e-07, -6.77480221e-08, 7.00326617e-08, -5.7010362e-09, -2.24501896e-07, 4.454706612e-07, -1.420014458e-07, 2.684329227e-07, 1.229943017e-07, 2.341281559e-07]| 12.8945522308349609|      1.00000000|[769, 0, 0, 12]                                                            |  | trying linear partial model with 65 points | iterate success | actual_k=0
       7|[0.7313678972747665, 0.0623216630178972, 0.1623650697069743, 0.9353365745718026, 1.786573833e-07, 1.11656e-09, -3.1036192e-09, 8.72747705e-08, -1.883813035e-07, -1.283266023e-07, -4.061576185e-07, 3.918072155e-07, -2.019345086e-07, -6.77480221e-08, 7.00326617e-08, -5.7010362e-09, -2.24501896e-07, 4.454706612e-07, -1.420014458e-07, 2.684329227e-07, 1.229943017e-07, 2.341281559e-07]| 12.8945522308349609|      0.10000000|[897, 0, 0, 14]                                                            |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       8|[0.7922616286730779, 0.0674925154161156, 0.1759082289065385, 1.013322461757856, 3.510952508e-07, 1.19109e-11, -6.57124668e-08, 3.67658516e-07, -1.517258573e-07, -4.819966712e-07, -4.675072842e-07, 3.790341153e-07, -5.672851721e-07, 1.80693586e-08, 1.035265892e-07, 9.62193202e-08, -6.60216299e-08, 4.66143267e-07, -2.589769433e-07, 2.1090345e-09, 2.630713278e-07, 4.360712514e-07]| 12.7803640365600586|      1.00000000|[1025, 0, 0, 16]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
       9|[0.7922616286730779, 0.0674925154161156, 0.1759082289065385, 1.013322461757856, 3.510952508e-07, 1.19109e-11, -6.57124668e-08, 3.67658516e-07, -1.517258573e-07, -4.819966712e-07, -4.675072842e-07, 3.790341153e-07, -5.672851721e-07, 1.80693586e-08, 1.035265892e-07, 9.62193202e-08, -6.60216299e-08, 4.66143267e-07, -2.589769433e-07, 2.1090345e-09, 2.630713278e-07, 4.360712514e-07]| 12.7803640365600586|      0.10000000|[1153, 0, 0, 18]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      10|[0.8531445690991688, 0.0726587511802566, 0.1894540781202551, 1.091316612447812, 2.830648099e-07, -9.42737581e-08, 5.01426557e-08, 3.969891276e-07, -2.238783456e-07, -4.812615531e-07, -4.44332056e-07, 1.21426655e-08, -4.772318391e-07, -2.460418931e-07, -1.100324229e-07, -6.65060972e-08, 6.96625e-11, 4.957517214e-07, -3.263891398e-07, 4.7445252e-09, 2.307361867e-07, 3.643324536e-07]| 12.6756019592285156|      1.00000000|[1281, 0, 0, 20]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      11|[0.8531445690991688, 0.0726587511802566, 0.1894540781202551, 1.091316612447812, 2.830648099e-07, -9.42737581e-08, 5.01426557e-08, 3.969891276e-07, -2.238783456e-07, -4.812615531e-07, -4.44332056e-07, 1.21426655e-08, -4.772318391e-07, -2.460418931e-07, -1.100324229e-07, -6.65060972e-08, 6.96625e-11, 4.957517214e-07, -3.263891398e-07, 4.7445252e-09, 2.307361867e-07, 3.643324536e-07]| 12.6756019592285156|      0.10000000|[1409, 0, 0, 22]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      12|[0.9140147565230331, 0.0778200540090333, 0.2030025852061567, 1.1693205815210228, 1.487176728e-07, -6.00726251e-08, 6.26972974e-08, 2.962113739e-07, -7.98170262e-08, -4.760070344e-07, -6.09127742e-08, 9.7625321e-08, -1.0394249127e-06, -4.187045807e-07, -3.203268258e-07, -8.52971398e-08, -1.59479601e-08, 4.539086326e-07, -3.283341904e-07, -1.117768832e-07, 4.3032793e-09, 3.505111386e-07]| 12.5802650451660156|      1.00000000|[1537, 0, 0, 24]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      13|[0.9140147565230331, 0.0778200540090333, 0.2030025852061567, 1.1693205815210228, 1.487176728e-07, -6.00726251e-08, 6.26972974e-08, 2.962113739e-07, -7.98170262e-08, -4.760070344e-07, -6.09127742e-08, 9.7625321e-08, -1.0394249127e-06, -4.187045807e-07, -3.203268258e-07, -8.52971398e-08, -1.59479601e-08, 4.539086326e-07, -3.283341904e-07, -1.117768832e-07, 4.3032793e-09, 3.505111386e-07]| 12.5802650451660156|      0.10000000|[1665, 0, 0, 26]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      14|[0.974869016263387, 0.0829742623493605, 0.2165549589909769, 1.2473367745295545, -5.204223016e-07, -1.634848188e-07, -2.0416241e-08, 1.268783865e-07, -1.383452038e-07, -8.331171917e-07, -1.666954945e-07, -1.281910264e-07, -1.0656166972e-06, -5.007960432e-07, 4.06238168e-08, -2.442839343e-07, -4.5155883e-09, 5.138202635e-07, -2.357198589e-07, 2.408235313e-07, 4.600412e-09, 6.719899057e-07]| 12.4943542480468750|      1.00000000|[1793, 0, 0, 28]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      15|[0.974869016263387, 0.0829742623493605, 0.2165549589909769, 1.2473367745295545, -5.204223016e-07, -1.634848188e-07, -2.0416241e-08, 1.268783865e-07, -1.383452038e-07, -8.331171917e-07, -1.666954945e-07, -1.281910264e-07, -1.0656166972e-06, -5.007960432e-07, 4.06238168e-08, -2.442839343e-07, -4.5155883e-09, 5.138202635e-07, -2.357198589e-07, 2.408235313e-07, 4.600412e-09, 6.719899057e-07]| 12.4943542480468750|      0.10000000|[1921, 0, 0, 30]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      16|[1.0357044368352177, 0.0881208624356744, 0.230111963902312, 1.325367356538299, -3.706778634e-07, -3.385479093e-07, -2.28950847e-08, -8.48460093e-08, -9.33646028e-08, -8.145877245e-07, -2.995380606e-07, -1.051693626e-07, -1.2188247845e-06, -2.34262935e-07, 2.44144351e-07, -2.236989085e-07, 4.058518648e-07, 7.014388038e-07, -4.807483836e-07, 2.9949636e-09, 7.47966014e-08, 8.472871637e-07]| 12.4178686141967773|      1.00000000|[2049, 0, 0, 32]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      17|[1.0357044368352177, 0.0881208624356744, 0.230111963902312, 1.325367356538299, -3.706778634e-07, -3.385479093e-07, -2.28950847e-08, -8.48460093e-08, -9.33646028e-08, -8.145877245e-07, -2.995380606e-07, -1.051693626e-07, -1.2188247845e-06, -2.34262935e-07, 2.44144351e-07, -2.236989085e-07, 4.058518648e-07, 7.014388038e-07, -4.807483836e-07, 2.9949636e-09, 7.47966014e-08, 8.472871637e-07]| 12.4178686141967773|      0.10000000|[2177, 0, 0, 34]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      18|[1.096515453465512, 0.0932569063527436, 0.2436743906848271, 1.4034167120026584, -5.713739467e-07, -6.942115425e-07, -1.94090241e-07, -1.906398351e-07, -3.499036854e-07, -8.486614467e-07, -3.070740673e-07, -3.028790954e-07, -1.2558484706e-06, 9.12283308e-08, 1.031112679e-07, -1.587194904e-07, 3.883971117e-07, 1.0378564786e-06, -6.400504366e-07, 9.32961359e-08, 2.908668733e-07, 8.247350105e-07]| 12.3508090972900391|      1.00000000|[2305, 0, 0, 36]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      19|[1.096515453465512, 0.0932569063527436, 0.2436743906848271, 1.4034167120026584, -5.713739467e-07, -6.942115425e-07, -1.94090241e-07, -1.906398351e-07, -3.499036854e-07, -8.486614467e-07, -3.070740673e-07, -3.028790954e-07, -1.2558484706e-06, 9.12283308e-08, 1.031112679e-07, -1.587194904e-07, 3.883971117e-07, 1.0378564786e-06, -6.400504366e-07, 9.32961359e-08, 2.908668733e-07, 8.247350105e-07]| 12.3508090972900391|      0.10000000|[2433, 0, 0, 38]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      20|[1.157294518371608, 0.0983800985163491, 0.2572447603146948, 1.481490415881036, -3.461894796e-07, 1.774888352e-07, 1.518166396e-07, -6.592759623e-07, -6.877392081e-07, -5.681999171e-07, -7.032616854e-07, -4.6616137e-08, -1.3318584763e-06, -2.667411164e-07, 8.19098955e-08, -3.260520975e-07, 3.180859848e-07, 9.934294933e-07, -5.53852043e-07, -3.561298301e-07, 8.06852643e-08, 6.592893654e-07]| 12.2931756973266602|      1.00000000|[2561, 0, 0, 40]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      21|[1.157294518371608, 0.0983800985163491, 0.2572447603146948, 1.481490415881036, -3.461894796e-07, 1.774888352e-07, 1.518166396e-07, -6.592759623e-07, -6.877392081e-07, -5.681999171e-07, -7.032616854e-07, -4.6616137e-08, -1.3318584763e-06, -2.667411164e-07, 8.19098955e-08, -3.260520975e-07, 3.180859848e-07, 9.934294933e-07, -5.53852043e-07, -3.561298301e-07, 8.06852643e-08, 6.592893654e-07]| 12.2931756973266602|      0.10000000|[2689, 0, 0, 42]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      22|[1.2180311677701248, 0.1034850815655482, 0.2708251164843512, 1.5595965775552354, -1.376326562e-07, 1.774550346e-07, 1.68902003e-07, -7.16235759e-07, -3.760872216e-07, -1.880097989e-07, -1.173358551e-06, -2.177216496e-07, -1.601511609e-06, -6.056420792e-07, 4.279607908e-07, -1.4409534699e-06, 6.913702268e-07, 8.125852265e-07, -8.052326892e-07, -8.626511721e-07, -3.05965212e-07, 7.460359985e-07]| 12.2449665069580078|      1.00000000|[2817, 0, 0, 44]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
