k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7503748359903852|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.530218063484071, 0.7952683554427464, 5.253291017953994, 5.197970746852507, 6.362115094741397, 7.875064317074434]|189.0641174316406250|      5.00000000|[14, 2, 0, 2]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       2|[0.530218063484071, 0.7952683554427464, 5.253291017953994, 5.197970746852507, 6.362115094741397, 7.875064317074434]|189.0641174316406250|      1.00000000|[28, 4, 0, 4]                                                              |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[-0.176042511287294, 0.5218000511174473, 4.864476715634022, 5.517602798100184, 5.948467340223523, 7.830731345574396]|120.0075149536132812|      5.00000000|[42, 6, 0, 6]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       4|[-0.176042511287294, 0.5218000511174473, 4.864476715634022, 5.517602798100184, 5.948467340223523, 7.830731345574396]|120.0075149536132812|      1.00000000|[55, 8, 0, 8]                                                              |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-0.6810978472405944, 0.5639997440973088, 4.262495410223529, 5.754001279722903, 5.531476565319087, 8.219307275097641]| 74.0073471069335938|      5.00000000|[68, 10, 0, 10]                                                            |  | trying linear partial model with 8 points | iterate success | actual_k=1
       6|[-0.6810978472405944, 0.5639997440973088, 4.262495410223529, 5.754001279722903, 5.531476565319087, 8.219307275097641]| 74.0073471069335938|      1.00000000|[81, 12, 0, 12]                                                            |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[-0.997424873530506, 0.6433144073254959, 3.552812582743952, 5.603359585499054, 4.927064485641795, 8.1747001129181]| 44.9891281127929688|      5.00000000|[94, 14, 0, 14]                                                            |  | trying linear partial model with 8 points | iterate success | actual_k=1
       8|[-0.997424873530506, 0.6433144073254959, 3.552812582743952, 5.603359585499054, 4.927064485641795, 8.1747001129181]| 44.9891281127929688|      1.00000000|[108, 16, 0, 16]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[-1.1740856873983438, 1.0145288727846196, 2.885482238705111, 5.597921535248225, 4.309061302922266, 8.235556362888452]| 25.2460613250732422|      5.00000000|[121, 18, 0, 18]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      10|[-1.1740856873983438, 1.0145288727846196, 2.885482238705111, 5.597921535248225, 4.309061302922266, 8.235556362888452]| 25.2460613250732422|      1.00000000|[134, 20, 0, 20]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[-1.1276483751011945, 1.472604745412934, 2.141571086445717, 5.398971364739933, 3.8721822931727763, 8.17104412388256]| 13.1947717666625977|      5.00000000|[148, 22, 0, 22]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      12|[-1.1276483751011945, 1.472604745412934, 2.141571086445717, 5.398971364739933, 3.8721822931727763, 8.17104412388256]| 13.1947717666625977|      1.00000000|[162, 24, 0, 24]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      13|[-1.1276483751011945, 1.472604745412934, 2.141571086445717, 5.398971364739933, 3.8721822931727763, 8.17104412388256]| 13.1947717666625977|      0.20000000|[176, 26, 0, 26]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[-1.1624240688485268, 1.5997257030400363, 2.0265293731456313, 5.346277676970129, 3.813869882976407, 8.114304758855711]| 11.7244806289672852|      1.00000000|[190, 28, 0, 28]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      15|[-1.1624240688485268, 1.5997257030400363, 2.0265293731456313, 5.346277676970129, 3.813869882976407, 8.114304758855711]| 11.7244806289672852|      0.20000000|[203, 30, 0, 30]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      16|[-1.1266465299092256, 1.6889285319478553, 1.8905004216674919, 5.340274527982382, 3.7231719600558626, 8.051084537706327]| 10.2507781982421875|      1.00000000|[217, 32, 0, 32]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      17|[-1.1266465299092256, 1.6889285319478553, 1.8905004216674919, 5.340274527982382, 3.7231719600558626, 8.051084537706327]| 10.2507781982421875|      0.20000000|[230, 34, 0, 34]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      18|[-1.0646080603194685, 1.7647889667512933, 1.7812434730938451, 5.266391398098763, 3.612611166744093, 8.023210965785204]|  8.8905372619628906|      1.00000000|[243, 36, 0, 36]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      19|[-1.0646080603194685, 1.7647889667512933, 1.7812434730938451, 5.266391398098763, 3.612611166744093, 8.023210965785204]|  8.8905372619628906|      0.20000000|[256, 38, 0, 38]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
