k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |26656.1334557436784962|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0]                                                                     |26656.1334557436784962|      0.10000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[-1.1031718447259202, 0.9750138369048245]                                       |10557.6992187500000000|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[-1.1031718447259202, 0.9750138369048245]                                       |10557.6992187500000000|      0.10000000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[-1.1031718447259202, 0.9750138369048245]                                       |10557.6992187500000000|      0.01000000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-1.0933923362872977, 0.9729254847556618]                                       |9594.1308593750000000|      0.10000000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[-1.0002964459286954, 0.9364130868839923]                                       |3616.6350097656250000|      1.00000000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[-1.0002964459286954, 0.9364130868839923]                                       |3616.6350097656250000|      0.10000000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-1.0002964459286954, 0.9364130868839923]                                       |3616.6350097656250000|      0.01000000|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[-0.9905038202894243, 0.9343871344933644]                                       |3264.9301757812500000|      0.10000000|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[-0.8905071372141864, 0.9335726567770166]                                       |1149.3826904296875000|      1.00000000|[57, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[-0.8905071372141864, 0.9335726567770166]                                       |1149.3826904296875000|      0.10000000|[62, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[-0.7973572729875377, 0.8971981767868242]                                       |374.9309997558593750|      1.00000000|[68, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[-0.7973572729875377, 0.8971981767868242]                                       |374.9309997558593750|      0.10000000|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[-0.699954738693923, 0.8745542744468734]                                        |109.6473541259765625|      1.00000000|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[0.2985885281798962, 0.9285111477899496]                                        |  0.0000163557742781|     10.00000000|[85, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      16|[0.2985885281798962, 0.9285111477899496]                                        |  0.0000163557742781|      1.00000000|[90, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[0.2985885281798962, 0.9285111477899496]                                        |  0.0000163557742781|      0.10000000|[95, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      18|[0.2985885281798962, 0.9285111477899496]                                        |  0.0000163557742781|      0.01000000|[100, 36, 0, 36]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[0.2985885281798962, 0.9285111477899496]                                        |  0.0000163557742781|      0.00100000|[106, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[0.2985885281798962, 0.9285111477899496]                                        |  0.0000163557742781|      0.00010000|[111, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      21|[0.2985885281798962, 0.9285111477899496]                                        |  0.0000163557742781|      0.00001000|[116, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      22|[0.2985862223926966, 0.9285208783266968]                                        |  0.0000163399745361|      0.00010000|[121, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      23|[0.2985862223926966, 0.9285208783266968]                                        |  0.0000163399745361|      0.00001000|[126, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      24|[0.2985839164238433, 0.928530608820397]                                         |  0.0000163241838891|      0.00010000|[131, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      25|[0.2985839164238433, 0.928530608820397]                                         |  0.0000163241838891|      0.00001000|[136, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      26|[0.2985816128125752, 0.9285403398725048]                                        |  0.0000163084005180|      0.00010000|[142, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      27|[0.2985816128125752, 0.9285403398725048]                                        |  0.0000163084005180|      0.00001000|[147, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      28|[0.2985793077398619, 0.928550070578532]                                         |  0.0000162926244229|      0.00010000|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      29|[0.2985793077398619, 0.928550070578532]                                         |  0.0000162926244229|      0.00001000|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      30|[0.2985770036704327, 0.928559801522169]                                         |  0.0000162768556038|      0.00010000|[163, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      31|[0.2985770036704327, 0.928559801522169]                                         |  0.0000162768556038|      0.00001000|[169, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      32|[0.2985746989322559, 0.9285695323074372]                                        |  0.0000162610940606|      0.00010000|[174, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
