k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[5.2]                                                                           |61302.9768075899992255|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[6.2]                                                                           |12846.5410156250000000|      2.00000000|[5, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[6.2]                                                                           |12846.5410156250000000|      1.00000000|[7, 4, 0, 4]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[6.2]                                                                           |12846.5410156250000000|      0.50000000|[8, 6, 0, 6]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[6.2]                                                                           |12846.5410156250000000|      0.25000000|[9, 8, 0, 8]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[5.95]                                                                          |823.8391113281250000|      0.50000000|[11, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[5.95]                                                                          |823.8391113281250000|      0.25000000|[12, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[5.95]                                                                          |823.8391113281250000|      0.12500000|[13, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[5.95]                                                                          |823.8391113281250000|      0.06250000|[14, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[6.0125]                                                                        | 52.5319366455078125|      0.12500000|[16, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[6.0125]                                                                        | 52.5319366455078125|      0.06250000|[18, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[6.0125]                                                                        | 52.5319366455078125|      0.03125000|[19, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[6.0125]                                                                        | 52.5319366455078125|      0.01562500|[21, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[6.0125]                                                                        | 52.5319366455078125|      0.00781250|[22, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[6.0046875]                                                                     |  7.3746185302734375|      0.01562500|[24, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[6.0046875]                                                                     |  7.3746185302734375|      0.00781250|[25, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[6.0046875]                                                                     |  7.3746185302734375|      0.00390625|[26, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[6.0046875]                                                                     |  7.3746185302734375|      0.00195312|[29, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[6.002734375]                                                                   |  2.5081744194030762|      0.00390625|[30, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      19|[5.998828125]                                                                   |  0.4603834152221680|      0.00781250|[31, 38, 0, 38]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      20|[5.998828125]                                                                   |  0.4603834152221680|      0.00390625|[32, 40, 0, 40]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[5.998828125]                                                                   |  0.4603834152221680|      0.00195312|[33, 42, 0, 42]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[5.998828125]                                                                   |  0.4603834152221680|      0.00097656|[35, 44, 0, 44]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[5.9998046875]                                                                  |  0.0128113310784101|      0.00195312|[37, 46, 0, 46]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      24|[5.9998046875]                                                                  |  0.0128113310784101|      0.00097656|[38, 48, 0, 48]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[5.9998046875]                                                                  |  0.0128113310784101|      0.00048828|[39, 50, 0, 50]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      26|[5.9998046875]                                                                  |  0.0128113310784101|      0.00024414|[40, 52, 0, 52]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      27|[5.9998046875]                                                                  |  0.0128113310784101|      0.00012207|[42, 54, 0, 54]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[5.9999267578125]                                                               |  0.0018110123928636|      0.00024414|[44, 56, 0, 56]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      29|[5.9999267578125]                                                               |  0.0018110123928636|      0.00012207|[45, 58, 0, 58]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[5.9999267578125]                                                               |  0.0018110123928636|      0.00006104|[46, 60, 0, 60]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      31|[5.99998779296875]                                                              |  0.0000574695586693|      0.00012207|[48, 62, 0, 62]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      32|[5.99998779296875]                                                              |  0.0000574695586693|      0.00006104|[49, 64, 0, 64]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[5.99998779296875]                                                              |  0.0000574695586693|      0.00003052|[50, 66, 0, 66]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      34|[5.99998779296875]                                                              |  0.0000574695586693|      0.00001526|[52, 68, 0, 68]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      35|[5.99998779296875]                                                              |  0.0000574695586693|      0.00000763|[53, 70, 0, 70]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      36|[5.999995422363281]                                                             |  0.0000139077801578|      0.00001526|[56, 72, 0, 72]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      37|[5.999995422363281]                                                             |  0.0000139077801578|      0.00000763|[57, 74, 0, 74]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      38|[5.999995422363281]                                                             |  0.0000139077801578|      0.00000381|[58, 76, 0, 76]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
