k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.609553617497106, 0.0519686181864622, 0.1352853357785249, 0.7793853527255101, -2.6994897e-09, -1.086920568e-07, 1.44826971e-08, -6.64428622e-08, -2.8907761e-08, 8.21113743e-08, -5.29401489e-08, 2.376422719e-07, -2.4045045e-08, -1.995109413e-07, 2.43209221e-08, 8.10860233e-08, -1.964871755e-07, -5.85320581e-08, 2.29673622e-08, 2.824421e-10, 1.693881929e-07, 5.57579756e-08]| 13.1512060165405273|      2.00000000|[129, 0, 0, 2]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       2|[0.609553617497106, 0.0519686181864622, 0.1352853357785249, 0.7793853527255101, -2.6994897e-09, -1.086920568e-07, 1.44826971e-08, -6.64428622e-08, -2.8907761e-08, 8.21113743e-08, -5.29401489e-08, 2.376422719e-07, -2.4045045e-08, -1.995109413e-07, 2.43209221e-08, 8.10860233e-08, -1.964871755e-07, -5.85320581e-08, 2.29673622e-08, 2.824421e-10, 1.693881929e-07, 5.57579756e-08]| 13.1512060165405273|      1.00000000|[257, 0, 0, 4]                                                             |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       3|[0.609553617497106, 0.0519686181864622, 0.1352853357785249, 0.7793853527255101, -2.6994897e-09, -1.086920568e-07, 1.44826971e-08, -6.64428622e-08, -2.8907761e-08, 8.21113743e-08, -5.29401489e-08, 2.376422719e-07, -2.4045045e-08, -1.995109413e-07, 2.43209221e-08, 8.10860233e-08, -1.964871755e-07, -5.85320581e-08, 2.29673622e-08, 2.824421e-10, 1.693881929e-07, 5.57579756e-08]| 13.1512060165405273|      0.50000000|[385, 0, 0, 6]                                                             |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       4|[0.9141090743167569, 0.0778602453722206, 0.20298019180875, 1.1692481540157904, 1.689137894e-07, -2.99343767e-08, -2.265280812e-07, -2.266607741e-07, -1.46187537e-07, 4.58806942e-08, -1.525534697e-07, 2.806260728e-07, -1.208853115e-07, -4.5180465e-08, -2.17969213e-08, 9.92808556e-08, -1.682456373e-07, -4.44373698e-08, -4.49388414e-08, -3.64424707e-08, 1.858232351e-07, 2.49937425e-08]| 12.5802650451660156|      1.00000000|[513, 0, 0, 8]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       5|[0.9141090743167569, 0.0778602453722206, 0.20298019180875, 1.1692481540157904, 1.689137894e-07, -2.99343767e-08, -2.265280812e-07, -2.266607741e-07, -1.46187537e-07, 4.58806942e-08, -1.525534697e-07, 2.806260728e-07, -1.208853115e-07, -4.5180465e-08, -2.17969213e-08, 9.92808556e-08, -1.682456373e-07, -4.44373698e-08, -4.49388414e-08, -3.64424707e-08, 1.858232351e-07, 2.49937425e-08]| 12.5802650451660156|      0.50000000|[641, 0, 0, 10]                                                            |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       6|[0.9141090743167569, 0.0778602453722206, 0.20298019180875, 1.1692481540157904, 1.689137894e-07, -2.99343767e-08, -2.265280812e-07, -2.266607741e-07, -1.46187537e-07, 4.58806942e-08, -1.525534697e-07, 2.806260728e-07, -1.208853115e-07, -4.5180465e-08, -2.17969213e-08, 9.92808556e-08, -1.682456373e-07, -4.44373698e-08, -4.49388414e-08, -3.64424707e-08, 1.858232351e-07, 2.49937425e-08]| 12.5802650451660156|      0.25000000|[769, 0, 0, 12]                                                            |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       7|[1.0662453987952647, 0.0907467371040403, 0.236861198021425, 1.3642880333284813, 3.340992473e-07, -3.534323087e-07, -5.06135557e-07, -4.119121079e-07, 1.967829671e-07, 9.30678868e-08, 3.35262017e-08, 4.970736405e-07, -3.204932722e-07, 1.121131043e-07, -1.651269292e-07, 1.348971363e-07, -2.66715847e-08, -1.110917253e-07, -1.22022871e-08, 5.61952778e-08, 1.607692994e-07, -3.708589913e-07]| 12.3831605911254883|      0.50000000|[897, 0, 0, 14]                                                            |  | trying linear partial model with 65 points | iterate success | actual_k=0
       8|[1.0662453987952647, 0.0907467371040403, 0.236861198021425, 1.3642880333284813, 3.340992473e-07, -3.534323087e-07, -5.06135557e-07, -4.119121079e-07, 1.967829671e-07, 9.30678868e-08, 3.35262017e-08, 4.970736405e-07, -3.204932722e-07, 1.121131043e-07, -1.651269292e-07, 1.348971363e-07, -2.66715847e-08, -1.110917253e-07, -1.22022871e-08, 5.61952778e-08, 1.607692994e-07, -3.708589913e-07]| 12.3831605911254883|      0.25000000|[1025, 0, 0, 16]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       9|[1.218235891507679, 0.1035722479776606, 0.2707764050682324, 1.5594396541905162, 7.192550443e-07, 4.070789886e-07, -2.06157669e-08, -5.739501261e-07, 1.16284945e-07, -4.513274513e-07, -1.08551428e-08, 6.568490856e-07, -4.383083405e-07, 2.176159141e-07, -4.519242856e-07, 3.199048029e-07, -4.024086936e-07, -4.25553769e-08, -6.24667049e-08, -1.9210387e-09, 5.177143293e-07, -2.250978856e-07]| 12.2449674606323242|      0.50000000|[1153, 0, 0, 18]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      10|[1.218235891507679, 0.1035722479776606, 0.2707764050682324, 1.5594396541905162, 7.192550443e-07, 4.070789886e-07, -2.06157669e-08, -5.739501261e-07, 1.16284945e-07, -4.513274513e-07, -1.08551428e-08, 6.568490856e-07, -4.383083405e-07, 2.176159141e-07, -4.519242856e-07, 3.199048029e-07, -4.024086936e-07, -4.25553769e-08, -6.24667049e-08, -1.9210387e-09, 5.177143293e-07, -2.250978856e-07]| 12.2449674606323242|      0.25000000|[1281, 0, 0, 20]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      11|[1.218235891507679, 0.1035722479776606, 0.2707764050682324, 1.5594396541905162, 7.192550443e-07, 4.070789886e-07, -2.06157669e-08, -5.739501261e-07, 1.16284945e-07, -4.513274513e-07, -1.08551428e-08, 6.568490856e-07, -4.383083405e-07, 2.176159141e-07, -4.519242856e-07, 3.199048029e-07, -4.024086936e-07, -4.25553769e-08, -6.24667049e-08, -1.9210387e-09, 5.177143293e-07, -2.250978856e-07]| 12.2449674606323242|      0.12500000|[1409, 0, 0, 22]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
