k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5062031185027275, 0.2238640057256579, -0.0071564875691577, 0.6117622147452328, 0.2545308748802036, 0.0724196160428194, -0.0416723907671665, -0.0941146262181341, -0.0882423117798146, -0.0538856697245944, -0.0572223412920609, 0.2014973951431998, 0.1371269445502976, -0.0389007635977238, -0.1145832354189745, -0.0803984297843836, 0.0637336627801475, 0.2947172897883802, 0.123998145364176, 0.0976225885573971, -0.1559417661123896, 0.0639867390566559]| 13.4518623352050781|      5.00000000|[59, 4, 0, 2]                                                              |  | trying linear partial model with 31 points | iterate success | actual_k=2
       2|[0.5062031185027275, 0.2238640057256579, -0.0071564875691577, 0.6117622147452328, 0.2545308748802036, 0.0724196160428194, -0.0416723907671665, -0.0941146262181341, -0.0882423117798146, -0.0538856697245944, -0.0572223412920609, 0.2014973951431998, 0.1371269445502976, -0.0389007635977238, -0.1145832354189745, -0.0803984297843836, 0.0637336627801475, 0.2947172897883802, 0.123998145364176, 0.0976225885573971, -0.1559417661123896, 0.0639867390566559]| 13.4518623352050781|      1.00000000|[118, 8, 0, 4]                                                             |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
       3|[0.8916181579204677, 0.03982509545212, 0.0567262287363072, 1.3798519061237018, 0.0573289799727613, -0.0260933877622724, 0.0778456003381982, -0.0346693799128953, -0.1226610013318297, -0.0627379352407971, -0.264492341086305, 0.2798677369444459, 0.2073320302522671, -0.2423894544614878, -0.1686435990225165, -0.070038140140018, 0.1516410132459448, 0.1603898277142284, 0.1228407717711671, 0.1583164967650147, -0.2825645235593782, -0.0451391087586897]| 12.4712982177734375|      5.00000000|[176, 12, 0, 6]                                                            |  | trying linear partial model with 31 points | iterate success | actual_k=2
       4|[0.8916181579204677, 0.03982509545212, 0.0567262287363072, 1.3798519061237018, 0.0573289799727613, -0.0260933877622724, 0.0778456003381982, -0.0346693799128953, -0.1226610013318297, -0.0627379352407971, -0.264492341086305, 0.2798677369444459, 0.2073320302522671, -0.2423894544614878, -0.1686435990225165, -0.070038140140018, 0.1516410132459448, 0.1603898277142284, 0.1228407717711671, 0.1583164967650147, -0.2825645235593782, -0.0451391087586897]| 12.4712982177734375|      1.00000000|[234, 16, 0, 8]                                                            |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
       5|[0.8916181579204677, 0.03982509545212, 0.0567262287363072, 1.3798519061237018, 0.0573289799727613, -0.0260933877622724, 0.0778456003381982, -0.0346693799128953, -0.1226610013318297, -0.0627379352407971, -0.264492341086305, 0.2798677369444459, 0.2073320302522671, -0.2423894544614878, -0.1686435990225165, -0.070038140140018, 0.1516410132459448, 0.1603898277142284, 0.1228407717711671, 0.1583164967650147, -0.2825645235593782, -0.0451391087586897]| 12.4712982177734375|      0.20000000|[292, 20, 0, 10]                                                           |  | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[1.0072278952177822, 0.0333865728671427, 0.0703414042754043, 1.502410810356413, 0.0121540365557267, -0.0663221960614518, 0.0435452083914099, -0.0514385178067429, -0.1069786365366731, -0.0726295150476854, -0.2909467070365845, 0.2947877061816432, 0.2111465668099134, -0.2634540762010778, -0.1619390957056573, -0.0874206642699491, 0.1449681907583887, 0.1232641827386955, 0.1429131407762113, 0.1383525951849905, -0.2664423570469122, -0.0037360823258535]| 12.3530416488647461|      1.00000000|[350, 24, 0, 12]                                                           |  | trying linear partial model with 31 points | iterate success | actual_k=2
       7|[1.0072278952177822, 0.0333865728671427, 0.0703414042754043, 1.502410810356413, 0.0121540365557267, -0.0663221960614518, 0.0435452083914099, -0.0514385178067429, -0.1069786365366731, -0.0726295150476854, -0.2909467070365845, 0.2947877061816432, 0.2111465668099134, -0.2634540762010778, -0.1619390957056573, -0.0874206642699491, 0.1449681907583887, 0.1232641827386955, 0.1429131407762113, 0.1383525951849905, -0.2664423570469122, -0.0037360823258535]| 12.3530416488647461|      0.20000000|[408, 28, 0, 14]                                                           |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
       8|[1.109277901026844, 0.0564913937067157, 0.0755779969671475, 1.64911207065398, 0.0049816248985493, -0.0639463800558637, 0.0669963980699758, -0.031858105203047, -0.1149391835439018, -0.0832701203438449, -0.2950446901825164, 0.3071494564505438, 0.1888930934406, -0.2413027341288335, -0.1938618268452628, -0.0693321824187323, 0.193789399302111, 0.1045959863022021, 0.1576822029565412, 0.1645840821959306, -0.2535622921325821, 0.0017745262741907]| 12.2561273574829102|      1.00000000|[467, 32, 0, 16]                                                           |  | trying linear partial model with 31 points | iterate success | actual_k=2
       9|[1.109277901026844, 0.0564913937067157, 0.0755779969671475, 1.64911207065398, 0.0049816248985493, -0.0639463800558637, 0.0669963980699758, -0.031858105203047, -0.1149391835439018, -0.0832701203438449, -0.2950446901825164, 0.3071494564505438, 0.1888930934406, -0.2413027341288335, -0.1938618268452628, -0.0693321824187323, 0.193789399302111, 0.1045959863022021, 0.1576822029565412, 0.1645840821959306, -0.2535622921325821, 0.0017745262741907]| 12.2561273574829102|      0.20000000|[526, 36, 0, 18]                                                           |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      10|[1.2331823942781568, 0.0515286338511864, 0.1034728580261289, 1.78366661437995, 0.0226398274034258, -0.0791921081714835, 0.0974827883702684, -0.026361791696221, -0.1432752642374449, -0.0880878947755033, -0.2997738540183995, 0.3092305810614256, 0.2022101287291118, -0.275148105053918, -0.1949072530590757, -0.0759262946251983, 0.1734834976119327, 0.1401419829537109, 0.1626552260880054, 0.1640402721348289, -0.2387351285309465, -0.0079793439819488]| 12.1876745223999023|      1.00000000|[585, 40, 0, 20]                                                           |  | trying linear partial model with 31 points | iterate success | actual_k=2
      11|[1.2331823942781568, 0.0515286338511864, 0.1034728580261289, 1.78366661437995, 0.0226398274034258, -0.0791921081714835, 0.0974827883702684, -0.026361791696221, -0.1432752642374449, -0.0880878947755033, -0.2997738540183995, 0.3092305810614256, 0.2022101287291118, -0.275148105053918, -0.1949072530590757, -0.0759262946251983, 0.1734834976119327, 0.1401419829537109, 0.1626552260880054, 0.1640402721348289, -0.2387351285309465, -0.0079793439819488]| 12.1876745223999023|      0.20000000|[643, 44, 0, 22]                                                           |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      12|[1.3551243448748909, 0.0597484291438562, 0.142382665686963, 1.9274526229336841, 0.0149307104590289, -0.0959705849706324, 0.0945695772312038, -0.0412398256793589, -0.138933496890051, -0.095189229785335, -0.287014100016406, 0.327823584070743, 0.1941045550759509, -0.3001918950334391, -0.1812400355583856, -0.0596399242053213, 0.1622378720402566, 0.1390656942604866, 0.182422831670941, 0.1573270674098614, -0.2373357576951957, -0.0118893694259585]| 12.1502103805541992|      1.00000000|[701, 48, 0, 24]                                                           |  | trying linear partial model with 31 points | iterate success | actual_k=2
      13|[1.3551243448748909, 0.0597484291438562, 0.142382665686963, 1.9274526229336841, 0.0149307104590289, -0.0959705849706324, 0.0945695772312038, -0.0412398256793589, -0.138933496890051, -0.095189229785335, -0.287014100016406, 0.327823584070743, 0.1941045550759509, -0.3001918950334391, -0.1812400355583856, -0.0596399242053213, 0.1622378720402566, 0.1390656942604866, 0.182422831670941, 0.1573270674098614, -0.2373357576951957, -0.0118893694259585]| 12.1502103805541992|      0.20000000|[759, 52, 0, 26]                                                           |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      14|[1.3551243448748909, 0.0597484291438562, 0.142382665686963, 1.9274526229336841, 0.0149307104590289, -0.0959705849706324, 0.0945695772312038, -0.0412398256793589, -0.138933496890051, -0.095189229785335, -0.287014100016406, 0.327823584070743, 0.1941045550759509, -0.3001918950334391, -0.1812400355583856, -0.0596399242053213, 0.1622378720402566, 0.1390656942604866, 0.182422831670941, 0.1573270674098614, -0.2373357576951957, -0.0118893694259585]| 12.1502103805541992|      0.04000000|[817, 56, 0, 28]                                                           |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      15|[1.37667139810701, 0.065118344198661, 0.14928318945989, 1.9551430398464396, 0.0168914657708573, -0.0883715927802356, 0.0912729204637552, -0.0408611663805842, -0.1410646686412651, -0.0863681411920525, -0.2928229668395142, 0.3322006622284657, 0.1932352903193383, -0.2999758103587149, -0.182907855544988, -0.0546639875241756, 0.1573366533596296, 0.1408942589265712, 0.1808964636830505, 0.1602369551040878, -0.2334177598052398, -0.0135623446917865]| 12.1470632553100586|      0.20000000|[876, 60, 0, 30]                                                           |  | trying linear partial model with 31 points | iterate success | actual_k=2
      16|[1.37667139810701, 0.065118344198661, 0.14928318945989, 1.9551430398464396, 0.0168914657708573, -0.0883715927802356, 0.0912729204637552, -0.0408611663805842, -0.1410646686412651, -0.0863681411920525, -0.2928229668395142, 0.3322006622284657, 0.1932352903193383, -0.2999758103587149, -0.182907855544988, -0.0546639875241756, 0.1573366533596296, 0.1408942589265712, 0.1808964636830505, 0.1602369551040878, -0.2334177598052398, -0.0135623446917865]| 12.1470632553100586|      0.04000000|[934, 64, 0, 32]                                                           |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
