k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7514694982056085|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5721014974766658, 0.8378913000140653, 5.258673204948442, 5.240777541443279, 6.354949475219205, 7.9341803422085]|190.2466888427734375|     10.00000000|[11, 4, 0, 2]                                                              |  | trying linear partial model with 7 points | iterate success | actual_k=2
       2|[0.5721014974766658, 0.8378913000140653, 5.258673204948442, 5.240777541443279, 6.354949475219205, 7.9341803422085]|190.2466888427734375|      1.00000000|[22, 8, 0, 4]                                                              |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[-0.1477033748643349, 0.5418513569174009, 4.900138929449987, 5.5050642950214765, 5.913671573182657, 7.900702047813514]|120.9489593505859375|     10.00000000|[33, 12, 0, 6]                                                             |  | trying linear partial model with 7 points | iterate success | actual_k=2
       4|[-0.1477033748643349, 0.5418513569174009, 4.900138929449987, 5.5050642950214765, 5.913671573182657, 7.900702047813514]|120.9489593505859375|      1.00000000|[43, 16, 0, 8]                                                             |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[-0.6565710362741203, 0.5912750502024106, 4.289695089948542, 5.732424026873397, 5.50981725623205, 8.289518924428611]| 74.3535766601562500|     10.00000000|[53, 20, 0, 10]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       6|[-0.6565710362741203, 0.5912750502024106, 4.289695089948542, 5.732424026873397, 5.50981725623205, 8.289518924428611]| 74.3535766601562500|      1.00000000|[64, 24, 0, 12]                                                            |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[-1.0250812161474356, 0.6641666005530606, 3.5722061787303816, 5.595343603874113, 4.942541779729306, 8.230322447463198]| 45.1477050781250000|     10.00000000|[75, 28, 0, 14]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       8|[-1.0250812161474356, 0.6641666005530606, 3.5722061787303816, 5.595343603874113, 4.942541779729306, 8.230322447463198]| 45.1477050781250000|      1.00000000|[86, 32, 0, 16]                                                            |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[-1.3741620923964248, 1.0182622926069456, 2.912096891585224, 5.775665257917762, 4.410402540505192, 8.266742811159546]| 27.2915019989013672|     10.00000000|[96, 36, 0, 18]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
      10|[-1.3741620923964248, 1.0182622926069456, 2.912096891585224, 5.775665257917762, 4.410402540505192, 8.266742811159546]| 27.2915019989013672|      1.00000000|[107, 40, 0, 20]                                                           |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[-1.422468812011634, 1.6269761923482435, 2.241173944018855, 5.661556688190652, 4.021022691113902, 8.155572605018405]| 14.7652044296264648|     10.00000000|[118, 44, 0, 22]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      12|[-1.422468812011634, 1.6269761923482435, 2.241173944018855, 5.661556688190652, 4.021022691113902, 8.155572605018405]| 14.7652044296264648|      1.00000000|[129, 48, 0, 24]                                                           |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      13|[-1.422468812011634, 1.6269761923482435, 2.241173944018855, 5.661556688190652, 4.021022691113902, 8.155572605018405]| 14.7652044296264648|      0.10000000|[141, 52, 0, 26]                                                           |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      14|[-1.432664983532964, 1.6919220652609148, 2.1786496933407045, 5.636931992369114, 4.000982731461501, 8.127989745705394]| 13.9628257751464844|      1.00000000|[153, 56, 0, 28]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      15|[-1.432664983532964, 1.6919220652609148, 2.1786496933407045, 5.636931992369114, 4.000982731461501, 8.127989745705394]| 13.9628257751464844|      0.10000000|[163, 60, 0, 30]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      16|[-1.4147059432141937, 1.7445688084868523, 2.1089301723352407, 5.636999532126975, 3.965215685597962, 8.100318541216316]| 13.1175451278686523|      1.00000000|[174, 64, 0, 32]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      17|[-1.4147059432141937, 1.7445688084868523, 2.1089301723352407, 5.636999532126975, 3.965215685597962, 8.100318541216316]| 13.1175451278686523|      0.10000000|[185, 68, 0, 34]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      18|[-1.3808316300426549, 1.7829098702003194, 2.0559271704425672, 5.597056091591291, 3.9124996444280717, 8.086221866227064]| 12.2909278869628906|      1.00000000|[196, 72, 0, 36]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      19|[-1.3808316300426549, 1.7829098702003194, 2.0559271704425672, 5.597056091591291, 3.9124996444280717, 8.086221866227064]| 12.2909278869628906|      0.10000000|[207, 76, 0, 38]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      20|[-1.339856220623405, 1.829850134913857, 2.0039827324248733, 5.59810132579026, 3.8576244391460994, 8.066047078463507]| 11.4820861816406250|      1.00000000|[218, 80, 0, 40]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      21|[-1.339856220623405, 1.829850134913857, 2.0039827324248733, 5.59810132579026, 3.8576244391460994, 8.066047078463507]| 11.4820861816406250|      0.10000000|[229, 84, 0, 42]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      22|[-1.3248912354865763, 1.8986833176634579, 1.949245116013803, 5.588138437882739, 3.814533864362366, 8.05678539657528]| 10.7340793609619141|      1.00000000|[240, 88, 0, 44]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      23|[-1.3248912354865763, 1.8986833176634579, 1.949245116013803, 5.588138437882739, 3.814533864362366, 8.05678539657528]| 10.7340793609619141|      0.10000000|[251, 92, 0, 46]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      24|[-1.3093104331452048, 1.9667620989896781, 1.9630965917081484, 5.544736878206229, 3.7653074632690453, 8.031810993565987]| 10.1533002853393555|      1.00000000|[261, 96, 0, 48]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      25|[-1.3093104331452048, 1.9667620989896781, 1.9630965917081484, 5.544736878206229, 3.7653074632690453, 8.031810993565987]| 10.1533002853393555|      0.10000000|[271, 100, 0, 50]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      26|[-1.2507372792427196, 1.987986861791637, 1.987419894934275, 5.53064299570189, 3.720625467339191, 7.974087915670187]|  9.7720966339111328|      1.00000000|[281, 104, 0, 52]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      27|[-1.2507372792427196, 1.987986861791637, 1.987419894934275, 5.53064299570189, 3.720625467339191, 7.974087915670187]|  9.7720966339111328|      0.10000000|[291, 108, 0, 54]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      28|[-1.2507372792427196, 1.987986861791637, 1.987419894934275, 5.53064299570189, 3.720625467339191, 7.974087915670187]|  9.7720966339111328|      0.01000000|[302, 112, 0, 56]                                                          |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      29|[-1.248002453156369, 1.9935245785972646, 1.9855820729390756, 5.529872805262775, 3.7130609724783836, 7.973274249055189]|  9.7071523666381836|      0.10000000|[314, 116, 0, 58]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      30|[-1.274038760688311, 2.0145037270248345, 1.9123638604521942, 5.560023678396896, 3.664586887632404, 7.9570795792784725]|  9.3038234710693359|      1.00000000|[325, 120, 0, 60]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      31|[-1.274038760688311, 2.0145037270248345, 1.9123638604521942, 5.560023678396896, 3.664586887632404, 7.9570795792784725]|  9.3038234710693359|      0.10000000|[335, 124, 0, 62]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      32|[-1.2314028256159042, 2.0893749032088214, 1.8919015921082718, 5.546929377769504, 3.6217121575958693, 7.944910914317887]|  8.6914844512939453|      1.00000000|[347, 128, 0, 64]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      33|[-1.2314028256159042, 2.0893749032088214, 1.8919015921082718, 5.546929377769504, 3.6217121575958693, 7.944910914317887]|  8.6914844512939453|      0.10000000|[358, 132, 0, 66]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
