k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6095535766751647, 0.0519688242793704, 0.1352853346516554, 0.7793853711056846, 9.25922738e-08, -2.290994829e-07, 9.7811514e-09, -5.61985531e-08, 1.38745283e-08, 7.50007122e-08, -9.11331411e-08, 9.77812098e-08, -6.93945017e-08, -2.47528215e-08, -3.50050131e-08, 2.357223807e-07, -1.14666658e-07, 2.24034982e-08, 6.28013334e-08, 8.30680029e-08, 4.88573252e-08, 3.07380168e-08]| 13.1512060165405273|     10.00000000|[129, 0, 0, 2]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       2|[0.6095535766751647, 0.0519688242793704, 0.1352853346516554, 0.7793853711056846, 9.25922738e-08, -2.290994829e-07, 9.7811514e-09, -5.61985531e-08, 1.38745283e-08, 7.50007122e-08, -9.11331411e-08, 9.77812098e-08, -6.93945017e-08, -2.47528215e-08, -3.50050131e-08, 2.357223807e-07, -1.14666658e-07, 2.24034982e-08, 6.28013334e-08, 8.30680029e-08, 4.88573252e-08, 3.07380168e-08]| 13.1512060165405273|      1.00000000|[257, 0, 0, 4]                                                             |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       3|[0.6095535766751647, 0.0519688242793704, 0.1352853346516554, 0.7793853711056846, 9.25922738e-08, -2.290994829e-07, 9.7811514e-09, -5.61985531e-08, 1.38745283e-08, 7.50007122e-08, -9.11331411e-08, 9.77812098e-08, -6.93945017e-08, -2.47528215e-08, -3.50050131e-08, 2.357223807e-07, -1.14666658e-07, 2.24034982e-08, 6.28013334e-08, 8.30680029e-08, 4.88573252e-08, 3.07380168e-08]| 13.1512060165405273|      0.10000000|[385, 0, 0, 6]                                                             |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       4|[0.670464783239751, 0.0571469277841798, 0.148824348019881, 0.8573578487844168, 1.963105518e-07, 7.86015489e-08, -6.93367046e-08, -1.164855711e-07, -4.7004985e-08, -1.0298011e-09, -4.357818958e-07, 1.37716007e-07, -2.245305364e-07, 5.6795496e-08, -1.789317557e-07, 4.385390474e-07, -1.880298344e-07, 4.110807462e-07, 5.2775938e-09, 3.853073585e-07, 1.1160934e-09, 8.77501063e-08]| 13.0181665420532227|      1.00000000|[513, 0, 0, 8]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       5|[0.670464783239751, 0.0571469277841798, 0.148824348019881, 0.8573578487844168, 1.963105518e-07, 7.86015489e-08, -6.93367046e-08, -1.164855711e-07, -4.7004985e-08, -1.0298011e-09, -4.357818958e-07, 1.37716007e-07, -2.245305364e-07, 5.6795496e-08, -1.789317557e-07, 4.385390474e-07, -1.880298344e-07, 4.110807462e-07, 5.2775938e-09, 3.853073585e-07, 1.1160934e-09, 8.77501063e-08]| 13.0181665420532227|      0.10000000|[641, 0, 0, 10]                                                            |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       6|[0.7313678050560274, 0.0623217809637689, 0.162365071058763, 0.9353366385124974, 2.785331636e-07, -6.25196962e-08, 1.523921165e-07, 9.44888551e-08, -2.042158605e-07, -9.5498543e-08, -5.208959644e-07, 2.38836723e-07, -3.056643936e-07, 6.5779502e-08, -8.47106997e-08, 1.607204029e-07, -1.789011845e-07, 6.56782462e-07, -2.40923279e-08, 3.107013299e-07, -2.41669446e-08, 1.984029154e-07]| 12.8945522308349609|      1.00000000|[769, 0, 0, 12]                                                            |  | trying linear partial model with 65 points | iterate success | actual_k=0
       7|[0.7313678050560274, 0.0623217809637689, 0.162365071058763, 0.9353366385124974, 2.785331636e-07, -6.25196962e-08, 1.523921165e-07, 9.44888551e-08, -2.042158605e-07, -9.5498543e-08, -5.208959644e-07, 2.38836723e-07, -3.056643936e-07, 6.5779502e-08, -8.47106997e-08, 1.607204029e-07, -1.789011845e-07, 6.56782462e-07, -2.40923279e-08, 3.107013299e-07, -2.41669446e-08, 1.984029154e-07]| 12.8945522308349609|      0.10000000|[897, 0, 0, 14]                                                            |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       8|[0.7922615530827002, 0.0674926814061914, 0.1759081457882974, 1.0133225241983264, 4.24110482e-07, -1.04927926e-08, 3.74863321e-08, 2.528064367e-07, -2.118348338e-07, -3.446048955e-07, -6.462150435e-07, 2.086954543e-07, -7.458844473e-07, 1.292449905e-07, -1.019727223e-07, 3.087745197e-07, -8.62159912e-08, 6.381131768e-07, -1.752733086e-07, 2.13393907e-08, 1.884938118e-07, 3.533432801e-07]| 12.7803640365600586|      1.00000000|[1025, 0, 0, 16]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
       9|[0.7922615530827002, 0.0674926814061914, 0.1759081457882974, 1.0133225241983264, 4.24110482e-07, -1.04927926e-08, 3.74863321e-08, 2.528064367e-07, -2.118348338e-07, -3.446048955e-07, -6.462150435e-07, 2.086954543e-07, -7.458844473e-07, 1.292449905e-07, -1.019727223e-07, 3.087745197e-07, -8.62159912e-08, 6.381131768e-07, -1.752733086e-07, 2.13393907e-08, 1.884938118e-07, 3.533432801e-07]| 12.7803640365600586|      0.10000000|[1153, 0, 0, 18]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      10|[0.85314449437735, 0.0726589235075659, 0.1894539898497039, 1.0913166746853686, 3.546550297e-07, -1.067551515e-07, 1.517286192e-07, 2.755815681e-07, -2.76827799e-07, -3.447303766e-07, -6.180640786e-07, -1.583995538e-07, -6.560044221e-07, -1.343231775e-07, -3.200609575e-07, 1.511507124e-07, -2.00407313e-08, 6.656220888e-07, -2.351727949e-07, 2.45291203e-08, 1.612718036e-07, 2.900969734e-07]| 12.6756019592285156|      1.00000000|[1281, 0, 0, 20]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      11|[0.85314449437735, 0.0726589235075659, 0.1894539898497039, 1.0913166746853686, 3.546550297e-07, -1.067551515e-07, 1.517286192e-07, 2.755815681e-07, -2.76827799e-07, -3.447303766e-07, -6.180640786e-07, -1.583995538e-07, -6.560044221e-07, -1.343231775e-07, -3.200609575e-07, 1.511507124e-07, -2.00407313e-08, 6.656220888e-07, -2.351727949e-07, 2.45291203e-08, 1.612718036e-07, 2.900969734e-07]| 12.6756019592285156|      0.10000000|[1409, 0, 0, 22]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
