k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.90000000|[9, 0, 0, 2]                                                               |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       2|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.81000000|[17, 0, 0, 4]                                                              |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       3|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.72900000|[25, 0, 0, 6]                                                              |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       4|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.65610000|[33, 0, 0, 8]                                                              |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       5|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.59049000|[41, 0, 0, 10]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       6|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.53144100|[49, 0, 0, 12]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       7|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.47829690|[57, 0, 0, 14]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       8|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.43046721|[65, 0, 0, 16]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       9|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.38742049|[73, 0, 0, 18]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      10|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.34867844|[81, 0, 0, 20]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.31381060|[89, 0, 0, 22]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
