k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  7.9524924420125593|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0]                                                                      |  7.9524924420125593|      0.50000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[1.0, 1.0]                                                                      |  7.9524924420125593|      0.25000000|[15, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[1.0, 1.0]                                                                      |  7.9524924420125593|      0.12500000|[21, 7, 0, 7]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.9313371274944391, 0.8955470922411201]                                        |  6.1885290145874023|      0.25000000|[26, 9, 0, 9]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       5|[0.9313371274944391, 0.8955470922411201]                                        |  6.1885290145874023|      0.12500000|[32, 11, 0, 11]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.8644152299102789, 0.7899702973298557]                                        |  4.7433252334594727|      0.25000000|[38, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       7|[0.8644152299102789, 0.7899702973298557]                                        |  4.7433252334594727|      0.12500000|[44, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[0.8644152299102789, 0.7899702973298557]                                        |  4.7433252334594727|      0.06250000|[52, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[0.82781272467167, 0.7393095964833651]                                          |  4.1233787536621094|      0.12500000|[57, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      10|[0.7551409393317406, 0.6376050655346054]                                        |  3.0604774951934814|      0.25000000|[65, 23, 0, 23]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      11|[0.7551409393317406, 0.6376050655346054]                                        |  3.0604774951934814|      0.12500000|[73, 26, 0, 26]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[0.7551409393317406, 0.6376050655346054]                                        |  3.0604774951934814|      0.06250000|[79, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[0.7164235520319401, 0.5885416991531875]                                        |  2.6085500717163086|      0.12500000|[84, 30, 0, 30]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      14|[0.6371627270388384, 0.4918839440509046]                                        |  1.8432891368865967|      0.25000000|[89, 32, 0, 32]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      15|[0.6371627270388384, 0.4918839440509046]                                        |  1.8432891368865967|      0.12500000|[96, 35, 0, 35]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[0.6371627270388384, 0.4918839440509046]                                        |  1.8432891368865967|      0.06250000|[104, 38, 0, 38]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[0.5975956113169281, 0.4435032314326622]                                        |  1.5229603052139282|      0.12500000|[109, 40, 0, 40]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      18|[0.5236520318717921, 0.3427195667898201]                                        |  0.9928875565528870|      0.25000000|[114, 42, 0, 42]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      19|[0.5236520318717921, 0.3427195667898201]                                        |  0.9928875565528870|      0.12500000|[121, 45, 0, 45]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[0.5236520318717921, 0.3427195667898201]                                        |  0.9928875565528870|      0.06250000|[127, 47, 0, 47]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[0.4877480333083473, 0.2915614502572878]                                        |  0.7785118222236633|      0.12500000|[132, 49, 0, 49]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      22|[0.4877480333083473, 0.2915614502572878]                                        |  0.7785118222236633|      0.06250000|[138, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[0.448636212097796, 0.2428119329099963]                                         |  0.5941428542137146|      0.12500000|[144, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      24|[0.448636212097796, 0.2428119329099963]                                         |  0.5941428542137146|      0.06250000|[151, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[0.4070435499964979, 0.1961610973405532]                                        |  0.4382759928703308|      0.12500000|[157, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      26|[0.4070435499964979, 0.1961610973405532]                                        |  0.4382759928703308|      0.06250000|[165, 61, 0, 61]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      27|[0.4070435499964979, 0.1961610973405532]                                        |  0.4382759928703308|      0.03125000|[171, 63, 0, 63]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[0.386435710417725, 0.172668982750854]                                          |  0.3704202175140381|      0.06250000|[177, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      29|[0.3453473321238842, 0.1255733866809209]                                        |  0.2538924217224121|      0.12500000|[183, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      30|[0.2649966733631922, 0.0298196836887023]                                        |  0.0927641838788986|      0.25000000|[189, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      31|[0.2649966733631922, 0.0298196836887023]                                        |  0.0927641838788986|      0.12500000|[196, 72, 0, 72]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      32|[0.2649966733631922, 0.0298196836887023]                                        |  0.0927641838788986|      0.06250000|[203, 75, 0, 75]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[0.2649966733631922, 0.0298196836887023]                                        |  0.0927641838788986|      0.03125000|[209, 77, 0, 77]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      34|[0.2649966733631922, 0.0298196836887023]                                        |  0.0927641838788986|      0.01562500|[215, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      35|[0.2539201725538882, 0.0187991685092069]                                        |  0.0788930505514145|      0.03125000|[220, 81, 0, 81]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      36|[0.2314234121414527, -0.0028908815355826]                                       |  0.0551037825644016|      0.06250000|[225, 83, 0, 83]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      37|[0.2314234121414527, -0.0028908815355826]                                       |  0.0551037825644016|      0.03125000|[232, 86, 0, 86]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      38|[0.2314234121414527, -0.0028908815355826]                                       |  0.0551037825644016|      0.01562500|[238, 88, 0, 88]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[0.2196203362671209, -0.0131294373372944]                                       |  0.0451350584626198|      0.03125000|[244, 90, 0, 90]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      40|[0.2196203362671209, -0.0131294373372944]                                       |  0.0451350584626198|      0.01562500|[251, 93, 0, 93]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      41|[0.2077433478608507, -0.0232821597011396]                                       |  0.0364180915057659|      0.03125000|[258, 96, 0, 96]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      42|[0.2077433478608507, -0.0232821597011396]                                       |  0.0364180915057659|      0.01562500|[264, 98, 0, 98]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      43|[0.1960769624458003, -0.033676200125705]                                        |  0.0289487503468990|      0.03125000|[270, 100, 0, 100]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      44|[0.1960769624458003, -0.033676200125705]                                        |  0.0289487503468990|      0.01562500|[276, 102, 0, 102]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      45|[0.1840125855520808, -0.0436055221149592]                                       |  0.0226812846958637|      0.03125000|[284, 105, 0, 105]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      46|[0.1570940191188582, -0.0594785584086298]                                       |  0.0134722078219056|      0.06250000|[289, 107, 0, 107]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      47|[0.1570940191188582, -0.0594785584086298]                                       |  0.0134722078219056|      0.03125000|[295, 109, 0, 109]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      48|[0.1570940191188582, -0.0594785584086298]                                       |  0.0134722078219056|      0.01562500|[301, 111, 0, 111]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      49|[0.1570940191188582, -0.0594785584086298]                                       |  0.0134722078219056|      0.00781250|[307, 113, 0, 113]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
