k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[5.2]                                                                           |61302.9768075899992255|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[6.2]                                                                           |12846.5410156250000000|      2.00000000|[5, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       2|[6.2]                                                                           |12846.5410156250000000|      1.00000000|[7, 4, 0, 4]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[6.2]                                                                           |12846.5410156250000000|      0.50000000|[8, 6, 0, 6]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[6.2]                                                                           |12846.5410156250000000|      0.25000000|[9, 8, 0, 8]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[6.2]                                                                           |12846.5410156250000000|      0.12500000|[11, 10, 0, 10]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[6.075]                                                                         |1898.7454833984375000|      0.25000000|[14, 12, 0, 12]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       7|[6.075]                                                                         |1898.7454833984375000|      0.12500000|[15, 14, 0, 14]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[6.075]                                                                         |1898.7454833984375000|      0.06250000|[15, 16, 0, 16]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[6.075]                                                                         |1898.7454833984375000|      0.03125000|[18, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[6.04375]                                                                       |646.2192382812500000|      0.06250000|[20, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      11|[6.04375]                                                                       |646.2192382812500000|      0.03125000|[21, 22, 0, 22]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[6.0125]                                                                        | 52.5319366455078125|      0.06250000|[22, 24, 0, 24]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      13|[6.0125]                                                                        | 52.5319366455078125|      0.03125000|[22, 26, 0, 26]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[6.0125]                                                                        | 52.5319366455078125|      0.01562500|[22, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[6.0125]                                                                        | 52.5319366455078125|      0.00781250|[25, 30, 0, 30]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[6.0046875]                                                                     |  7.3746185302734375|      0.01562500|[26, 32, 0, 32]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      17|[6.0046875]                                                                     |  7.3746185302734375|      0.00781250|[27, 34, 0, 34]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[5.996875]                                                                      |  3.2717132568359375|      0.01562500|[28, 36, 0, 36]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      19|[5.996875]                                                                      |  3.2717132568359375|      0.00781250|[28, 38, 0, 38]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[5.996875]                                                                      |  3.2717132568359375|      0.00390625|[29, 40, 0, 40]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[6.00078125]                                                                    |  0.2046115547418594|      0.00781250|[31, 42, 0, 42]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      22|[6.00078125]                                                                    |  0.2046115547418594|      0.00390625|[31, 44, 0, 44]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[6.00078125]                                                                    |  0.2046115547418594|      0.00195312|[33, 46, 0, 46]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      24|[6.00078125]                                                                    |  0.2046115547418594|      0.00097656|[35, 48, 0, 48]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[6.00078125]                                                                    |  0.2046115547418594|      0.00048828|[36, 50, 0, 50]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      26|[6.00029296875]                                                                 |  0.0287605058401823|      0.00097656|[38, 52, 0, 52]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      27|[6.00029296875]                                                                 |  0.0287605058401823|      0.00048828|[39, 54, 0, 54]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[6.00029296875]                                                                 |  0.0287605058401823|      0.00024414|[40, 56, 0, 56]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[6.000048828125]                                                                |  0.0008018242660910|      0.00048828|[42, 58, 0, 58]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      30|[6.000048828125]                                                                |  0.0008018242660910|      0.00024414|[43, 60, 0, 60]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      31|[6.000048828125]                                                                |  0.0008018242660910|      0.00012207|[44, 62, 0, 62]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
