k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404944837|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.12430721999568, 39.08822432884195, 41.03523090438543, 38.90320996636892]    |851.9684448242187500|      2.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[22.58213563393272, 38.70380724458672, 40.289946219185836, 39.861584132589876]  |735.5394897460937500|      4.00000000|[11, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[21.75518871912966, 35.42529610013771, 39.51691347365977, 37.86911233851957]    |611.6683959960937500|      8.00000000|[16, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[16.419730451586926, 31.554722781753327, 43.848270785319954, 39.20735413320716] |236.6925506591796875|     16.00000000|[21, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[16.419730451586926, 31.554722781753327, 43.848270785319954, 39.20735413320716] |236.6925506591796875|      8.00000000|[26, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       6|[11.383286691561807, 31.299773342710594, 50.02967303267968, 39.80693839915478]  | 91.1213226318359375|     16.00000000|[31, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[11.383286691561807, 31.299773342710594, 50.02967303267968, 39.80693839915478]  | 91.1213226318359375|      8.00000000|[36, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[11.383286691561807, 31.299773342710594, 50.02967303267968, 39.80693839915478]  | 91.1213226318359375|      4.00000000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[8.937117981882022, 30.494575907232647, 50.215141474317385, 42.86201895305835]  | 49.4269638061523438|      8.00000000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[8.937117981882022, 30.494575907232647, 50.215141474317385, 42.86201895305835]  | 49.4269638061523438|      4.00000000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[8.937117981882022, 30.494575907232647, 50.215141474317385, 42.86201895305835]  | 49.4269638061523438|      2.00000000|[59, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[7.698791495800942, 29.90137264246866, 50.90630226937175, 41.58258386055727]    | 34.7567253112792969|      4.00000000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[7.698791495800942, 29.90137264246866, 50.90630226937175, 41.58258386055727]    | 34.7567253112792969|      2.00000000|[70, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      14|[6.125972531806745, 28.739541698973216, 51.253441974747375, 41.81898054028952]  | 19.4035930633544922|      4.00000000|[76, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[6.125972531806745, 28.739541698973216, 51.253441974747375, 41.81898054028952]  | 19.4035930633544922|      2.00000000|[81, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[4.350898978897282, 27.831337333780358, 51.09765309659493, 41.81605851188147]   |  8.5700120925903320|      4.00000000|[86, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[4.350898978897282, 27.831337333780358, 51.09765309659493, 41.81605851188147]   |  8.5700120925903320|      2.00000000|[92, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      18|[4.350898978897282, 27.831337333780358, 51.09765309659493, 41.81605851188147]   |  8.5700120925903320|      1.00000000|[98, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[3.497199228116903, 27.370439818113002, 51.135142532789466, 41.57654910132941]  |  5.0298161506652832|      2.00000000|[103, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      20|[3.497199228116903, 27.370439818113002, 51.135142532789466, 41.57654910132941]  |  5.0298161506652832|      1.00000000|[108, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
