k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      0.90000000|[59, 4, 0, 2]                                                              |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
       2|[0.4432955057965508, -0.0574261031275788, 0.1911766714602842, 0.5514068553624303, -0.3499158474224955, -0.0097284896849176, 0.009304101193522, -0.0854861342501735, -0.1868556907082055, 0.0179990300164026, 0.0889619339581418, -0.0728491880532695, -0.0383040630482008, 0.0965028265266736, 0.0682939950380697, 0.0262808255657387, -0.1496416660170396, -0.0918234347270829, -0.1926551220567895, 0.0294383029609861, 0.0555883622114782, 0.0563140174346051]| 13.5691652297973633|      1.00000000|[118, 8, 0, 4]                                                             |  | trying linear partial model with 31 points | iterate success | actual_k=2
       3|[0.4432955057965508, -0.0574261031275788, 0.1911766714602842, 0.5514068553624303, -0.3499158474224955, -0.0097284896849176, 0.009304101193522, -0.0854861342501735, -0.1868556907082055, 0.0179990300164026, 0.0889619339581418, -0.0728491880532695, -0.0383040630482008, 0.0965028265266736, 0.0682939950380697, 0.0262808255657387, -0.1496416660170396, -0.0918234347270829, -0.1926551220567895, 0.0294383029609861, 0.0555883622114782, 0.0563140174346051]| 13.5691652297973633|      0.90000000|[176, 12, 0, 6]                                                            |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
       4|[0.4432955057965508, -0.0574261031275788, 0.1911766714602842, 0.5514068553624303, -0.3499158474224955, -0.0097284896849176, 0.009304101193522, -0.0854861342501735, -0.1868556907082055, 0.0179990300164026, 0.0889619339581418, -0.0728491880532695, -0.0383040630482008, 0.0965028265266736, 0.0682939950380697, 0.0262808255657387, -0.1496416660170396, -0.0918234347270829, -0.1926551220567895, 0.0294383029609861, 0.0555883622114782, 0.0563140174346051]| 13.5691652297973633|      0.81000000|[234, 16, 0, 8]                                                            |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
       5|[0.4432955057965508, -0.0574261031275788, 0.1911766714602842, 0.5514068553624303, -0.3499158474224955, -0.0097284896849176, 0.009304101193522, -0.0854861342501735, -0.1868556907082055, 0.0179990300164026, 0.0889619339581418, -0.0728491880532695, -0.0383040630482008, 0.0965028265266736, 0.0682939950380697, 0.0262808255657387, -0.1496416660170396, -0.0918234347270829, -0.1926551220567895, 0.0294383029609861, 0.0555883622114782, 0.0563140174346051]| 13.5691652297973633|      0.72900000|[292, 20, 0, 10]                                                           |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
       6|[0.4432955057965508, -0.0574261031275788, 0.1911766714602842, 0.5514068553624303, -0.3499158474224955, -0.0097284896849176, 0.009304101193522, -0.0854861342501735, -0.1868556907082055, 0.0179990300164026, 0.0889619339581418, -0.0728491880532695, -0.0383040630482008, 0.0965028265266736, 0.0682939950380697, 0.0262808255657387, -0.1496416660170396, -0.0918234347270829, -0.1926551220567895, 0.0294383029609861, 0.0555883622114782, 0.0563140174346051]| 13.5691652297973633|      0.65610000|[350, 24, 0, 12]                                                           |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
       7|[0.4432955057965508, -0.0574261031275788, 0.1911766714602842, 0.5514068553624303, -0.3499158474224955, -0.0097284896849176, 0.009304101193522, -0.0854861342501735, -0.1868556907082055, 0.0179990300164026, 0.0889619339581418, -0.0728491880532695, -0.0383040630482008, 0.0965028265266736, 0.0682939950380697, 0.0262808255657387, -0.1496416660170396, -0.0918234347270829, -0.1926551220567895, 0.0294383029609861, 0.0555883622114782, 0.0563140174346051]| 13.5691652297973633|      0.59049000|[408, 28, 0, 14]                                                           |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
       8|[0.7454305580062197, 0.0109598129919509, 0.2062999808423445, 0.9839276823555259, -0.3709722106126225, -0.0026398333712719, 0.0786433988945132, -0.0276147566437443, -0.2103384103850919, -0.0136123617647559, 0.0768877352710172, -0.0364065582193515, -0.1040710866455888, 0.1619434506795194, -0.0260203602969614, 0.0797789608747836, -0.0055787633751763, -0.1465833305217245, -0.1492206038404402, 0.1069398133842667, 0.093791116231691, 0.0726764729043217]| 12.8365602493286133|      0.65610000|[467, 32, 0, 16]                                                           |  | trying linear partial model with 31 points | iterate success | actual_k=2
       9|[0.7454305580062197, 0.0109598129919509, 0.2062999808423445, 0.9839276823555259, -0.3709722106126225, -0.0026398333712719, 0.0786433988945132, -0.0276147566437443, -0.2103384103850919, -0.0136123617647559, 0.0768877352710172, -0.0364065582193515, -0.1040710866455888, 0.1619434506795194, -0.0260203602969614, 0.0797789608747836, -0.0055787633751763, -0.1465833305217245, -0.1492206038404402, 0.1069398133842667, 0.093791116231691, 0.0726764729043217]| 12.8365602493286133|      0.59049000|[526, 36, 0, 18]                                                           |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      10|[0.7454305580062197, 0.0109598129919509, 0.2062999808423445, 0.9839276823555259, -0.3709722106126225, -0.0026398333712719, 0.0786433988945132, -0.0276147566437443, -0.2103384103850919, -0.0136123617647559, 0.0768877352710172, -0.0364065582193515, -0.1040710866455888, 0.1619434506795194, -0.0260203602969614, 0.0797789608747836, -0.0055787633751763, -0.1465833305217245, -0.1492206038404402, 0.1069398133842667, 0.093791116231691, 0.0726764729043217]| 12.8365602493286133|      0.53144100|[585, 40, 0, 20]                                                           |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      11|[0.7454305580062197, 0.0109598129919509, 0.2062999808423445, 0.9839276823555259, -0.3709722106126225, -0.0026398333712719, 0.0786433988945132, -0.0276147566437443, -0.2103384103850919, -0.0136123617647559, 0.0768877352710172, -0.0364065582193515, -0.1040710866455888, 0.1619434506795194, -0.0260203602969614, 0.0797789608747836, -0.0055787633751763, -0.1465833305217245, -0.1492206038404402, 0.1069398133842667, 0.093791116231691, 0.0726764729043217]| 12.8365602493286133|      0.47829690|[643, 44, 0, 22]                                                           |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
