k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.9414589002263747, 2.0035265728360367, -7.939886369321088]                    | 40.9806060791015625|      2.00000000|[9, 0, 0, 2]                                                               |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       2|[2.399314593015603, 0.1653109639855324, -7.298535030382075]                     |  6.7924675941467285|      4.00000000|[17, 0, 0, 4]                                                              |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       3|[2.399314593015603, 0.1653109639855324, -7.298535030382075]                     |  6.7924675941467285|      2.00000000|[29, 0, 0, 7]                                                              |  | trying quadratic partial model with 5 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=0
       4|[2.399314593015603, 0.1653109639855324, -7.298535030382075]                     |  6.7924675941467285|      1.00000000|[41, 0, 0, 10]                                                             |  | trying quadratic partial model with 5 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=0
       5|[2.399314593015603, 0.1653109639855324, -7.298535030382075]                     |  6.7924675941467285|      0.50000000|[53, 0, 0, 13]                                                             |  | trying quadratic partial model with 5 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=0
       6|[2.399314593015603, 0.1653109639855324, -7.298535030382075]                     |  6.7924675941467285|      0.25000000|[65, 0, 0, 16]                                                             |  | trying quadratic partial model with 5 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=0
       7|[2.399314593015603, 0.1653109639855324, -7.298535030382075]                     |  6.7924675941467285|      0.12500000|[77, 0, 0, 19]                                                             |  | trying quadratic partial model with 5 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=0
       8|[2.399314593015603, 0.1653109639855324, -7.298535030382075]                     |  6.7924675941467285|      0.06250000|[89, 0, 0, 22]                                                             |  | trying quadratic partial model with 5 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=0
       9|[2.340283788054235, 0.1453349493767988, -7.293783935143646]                     |  6.5032773017883301|      0.12500000|[97, 0, 0, 24]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      10|[2.340283788054235, 0.1453349493767988, -7.293783935143646]                     |  6.5032773017883301|      0.06250000|[109, 0, 0, 27]                                                            |  | trying quadratic partial model with 5 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=0
      11|[2.2788835596664754, 0.1565898959890597, -7.296880405825908]                    |  6.2247562408447266|      0.12500000|[117, 0, 0, 29]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      12|[2.2788835596664754, 0.1565898959890597, -7.296880405825908]                    |  6.2247562408447266|      0.06250000|[129, 0, 0, 32]                                                            |  | trying quadratic partial model with 5 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=0
