k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      0.90000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
       2|[0.4825024841159284, 9.853072377322745, 1.7453882387832318]                     |  0.7268775105476379|      1.00000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[0.4825024841159284, 9.853072377322745, 1.7453882387832318]                     |  0.7268775105476379|      0.90000000|[28, 11, 0, 11]                                                            |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 8 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
       4|[0.4825024841159284, 9.853072377322745, 1.7453882387832318]                     |  0.7268775105476379|      0.81000000|[38, 15, 0, 15]                                                            |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       5|[0.4825024841159284, 9.853072377322745, 1.7453882387832318]                     |  0.7268775105476379|      0.72900000|[50, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 8 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
       6|[0.4825024841159284, 9.853072377322745, 1.7453882387832318]                     |  0.7268775105476379|      0.65610000|[60, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       7|[0.4825024841159284, 9.853072377322745, 1.7453882387832318]                     |  0.7268775105476379|      0.59049000|[70, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
       8|[0.4825024841159284, 9.853072377322745, 1.7453882387832318]                     |  0.7268775105476379|      0.53144100|[81, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
       9|[0.4825024841159284, 9.853072377322745, 1.7453882387832318]                     |  0.7268775105476379|      0.47829690|[93, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      10|[0.4825024841159284, 9.853072377322745, 1.7453882387832318]                     |  0.7268775105476379|      0.43046721|[103, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
