k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7514694982056085|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5314716456203009, 0.7749621670230222, 5.2490506421897525, 5.188982569578811, 6.352020073056315, 7.892720731646528]|188.6212768554687500|     10.00000000|[14, 2, 0, 2]                                                              |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       2|[0.5314716456203009, 0.7749621670230222, 5.2490506421897525, 5.188982569578811, 6.352020073056315, 7.892720731646528]|188.6212768554687500|      1.00000000|[41, 6, 0, 6]                                                              |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 21 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.1534653370175923, 0.9493894619981854, 4.676050186719633, 5.350117502450855, 5.686823440079176, 8.06565366760563]|120.2017593383789062|     10.00000000|[54, 8, 0, 8]                                                              |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       4|[0.1534653370175923, 0.9493894619981854, 4.676050186719633, 5.350117502450855, 5.686823440079176, 8.06565366760563]|120.2017593383789062|      1.00000000|[79, 12, 0, 12]                                                            |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 20 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-0.4567740559577303, 0.8055640690654385, 4.052563991969126, 5.337810751930158, 5.239271386457288, 7.932489078638308]| 69.4577102661132812|     10.00000000|[92, 14, 0, 14]                                                            |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       6|[-0.4567740559577303, 0.8055640690654385, 4.052563991969126, 5.337810751930158, 5.239271386457288, 7.932489078638308]| 69.4577102661132812|      1.00000000|[118, 18, 0, 18]                                                           |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 21 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[-0.4567740559577303, 0.8055640690654385, 4.052563991969126, 5.337810751930158, 5.239271386457288, 7.932489078638308]| 69.4577102661132812|      0.10000000|[144, 22, 0, 22]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | trying quadratic partial model with 20 points | exploitation failed, decreasing delta | actual_k=1
       8|[-0.5184634285620686, 0.8082910519830985, 3.9949447146877013, 5.346730968483995, 5.187422383659715, 7.9424447003138345]| 65.3521041870117188|      1.00000000|[164, 25, 0, 25]                                                           |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | iterate success | actual_k=1
       9|[-0.5184634285620686, 0.8082910519830985, 3.9949447146877013, 5.346730968483995, 5.187422383659715, 7.9424447003138345]| 65.3521041870117188|      0.10000000|[190, 29, 0, 29]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | trying quadratic partial model with 21 points | exploitation failed, decreasing delta | actual_k=1
      10|[-0.5781103171895918, 0.8115892004473567, 3.936311804515943, 5.354732583625583, 5.134061631390939, 7.951508750787559]| 61.4773674011230469|      1.00000000|[211, 32, 0, 32]                                                           |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | iterate success | actual_k=1
