k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  6.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0]                                                                      |  6.0000000000000000|      0.50000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       2|[1.278102459082416, 0.5844774106594044]                                         |  3.2097320556640625|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[1.278102459082416, 0.5844774106594044]                                         |  3.2097320556640625|      0.50000000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       4|[1.5737847753337184, 0.1812752679861979]                                        |  1.5830401182174683|      1.00000000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[1.5737847753337184, 0.1812752679861979]                                        |  1.5830401182174683|      0.50000000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       6|[1.5737847753337184, 0.1812752679861979]                                        |  1.5830401182174683|      0.25000000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       7|[1.6536810132922215, -0.0556141390375824]                                       |  1.0121724605560303|      0.50000000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[1.6536810132922215, -0.0556141390375824]                                       |  1.0121724605560303|      0.25000000|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[1.6536810132922215, -0.0556141390375824]                                       |  1.0121724605560303|      0.12500000|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[1.6950132477473077, -0.1735829755790596]                                       |  0.7787846922874451|      0.25000000|[57, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[1.6950132477473077, -0.1735829755790596]                                       |  0.7787846922874451|      0.12500000|[62, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[1.731204730156893, -0.2932290227389917]                                        |  0.5779885053634644|      0.25000000|[68, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[1.731204730156893, -0.2932290227389917]                                        |  0.5779885053634644|      0.12500000|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      14|[1.779495196674789, -0.4085244296010344]                                        |  0.4065804183483124|      0.25000000|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[1.779495196674789, -0.4085244296010344]                                        |  0.4065804183483124|      0.12500000|[85, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[1.779495196674789, -0.4085244296010344]                                        |  0.4065804183483124|      0.06250000|[90, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      17|[1.8058320598492832, -0.4652044052373027]                                       |  0.3318666219711304|      0.12500000|[95, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      18|[1.8058320598492832, -0.4652044052373027]                                       |  0.3318666219711304|      0.06250000|[100, 36, 0, 36]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[1.8304413680542122, -0.5226555318552796]                                       |  0.2644615173339844|      0.12500000|[106, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      20|[1.8304413680542122, -0.5226555318552796]                                       |  0.2644615173339844|      0.06250000|[111, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      21|[1.8615767573206323, -0.5768481285381153]                                       |  0.2045943886041641|      0.12500000|[116, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      22|[1.8615767573206323, -0.5768481285381153]                                       |  0.2045943886041641|      0.06250000|[121, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      23|[1.882933910062347, -0.6355858679121078]                                        |  0.1520383208990097|      0.12500000|[126, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      24|[1.882933910062347, -0.6355858679121078]                                        |  0.1520383208990097|      0.06250000|[131, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      25|[1.9081981592509876, -0.692752009227875]                                        |  0.1068733483552933|      0.12500000|[136, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      26|[1.9081981592509876, -0.692752009227875]                                        |  0.1068733483552933|      0.06250000|[142, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      27|[1.931034421177001, -0.750930657727531]                                         |  0.0694738253951073|      0.12500000|[147, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      28|[1.931034421177001, -0.750930657727531]                                         |  0.0694738253951073|      0.06250000|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      29|[1.931034421177001, -0.750930657727531]                                         |  0.0694738253951073|      0.03125000|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      30|[1.940945446957524, -0.7805673590955613]                                        |  0.0537629723548889|      0.06250000|[163, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      31|[1.940945446957524, -0.7805673590955613]                                        |  0.0537629723548889|      0.03125000|[169, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      32|[1.9530811819304976, -0.8093646929420434]                                       |  0.0399852544069290|      0.06250000|[174, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      33|[1.9530811819304976, -0.8093646929420434]                                       |  0.0399852544069290|      0.03125000|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      34|[1.9645913110883149, -0.8384177379936445]                                       |  0.0282439365983009|      0.06250000|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      35|[1.9645913110883149, -0.8384177379936445]                                       |  0.0282439365983009|      0.03125000|[191, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      36|[1.9712735409507849, -0.8689449439592273]                                       |  0.0186237245798111|      0.06250000|[196, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      37|[1.9712735409507849, -0.8689449439592273]                                       |  0.0186237245798111|      0.03125000|[201, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      38|[1.9712735409507849, -0.8689449439592273]                                       |  0.0186237245798111|      0.01562500|[206, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      39|[1.9763195056968963, -0.8837327384121199]                                       |  0.0145167903974652|      0.03125000|[211, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      40|[1.9763195056968963, -0.8837327384121199]                                       |  0.0145167903974652|      0.01562500|[216, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      41|[1.9820550191301556, -0.8982669914254984]                                       |  0.0109314620494843|      0.03125000|[221, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      42|[1.9820550191301556, -0.8982669914254984]                                       |  0.0109314620494843|      0.01562500|[226, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      43|[1.9862378636897304, -0.9133217061816947]                                       |  0.0078605096787214|      0.03125000|[231, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      44|[1.9862378636897304, -0.9133217061816947]                                       |  0.0078605096787214|      0.01562500|[237, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
