k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.4980033113474904, 0.2140185818806627, -0.0027164695336919, 0.6175791367459821, 0.2542754042280811, 0.0677289815056797, -0.0413612198666759, -0.0871196806384704, -0.08830080084793, -0.0503449473178893, -0.0505958149821465, 0.2145202723585628, 0.136339809964868, -0.0304852676980941, -0.121747437645349, -0.0842058230172757, 0.0675124134634633, 0.3004720150609064, 0.1290094661191727, 0.0852545985181584, -0.1538938461429587, 0.0587847575409721]| 13.4524440765380859|      2.00000000|[46, 14, 0, 2]                                                             |  | trying linear partial model with 26 points | iterate success | actual_k=7
       2|[0.4980033113474904, 0.2140185818806627, -0.0027164695336919, 0.6175791367459821, 0.2542754042280811, 0.0677289815056797, -0.0413612198666759, -0.0871196806384704, -0.08830080084793, -0.0503449473178893, -0.0505958149821465, 0.2145202723585628, 0.136339809964868, -0.0304852676980941, -0.121747437645349, -0.0842058230172757, 0.0675124134634633, 0.3004720150609064, 0.1290094661191727, 0.0852545985181584, -0.1538938461429587, 0.0587847575409721]| 13.4524440765380859|      1.00000000|[91, 28, 0, 4]                                                             |  | trying linear partial model with 26 points | exploitation failed, decreasing delta | actual_k=7
       3|[0.8598439433963352, -0.0650848424364502, 0.1603490813503025, 1.3474795712199619, 0.0853475798942536, -0.0152034543389519, 0.0725877218350225, -0.1659252787422745, -0.1478156346274888, -0.0917132489125526, -0.2876666949690301, 0.2293324753645667, 0.134523659483226, -0.2459757729855932, -0.0680378567853056, -0.0978768261972014, 0.1613409919475087, 0.2006964739708663, 0.0980780093353206, 0.2041646043369715, -0.3225644263302851, -0.0022647157927829]| 12.5001239776611328|      2.00000000|[136, 42, 0, 6]                                                            |  | trying linear partial model with 26 points | iterate success | actual_k=7
       4|[0.8598439433963352, -0.0650848424364502, 0.1603490813503025, 1.3474795712199619, 0.0853475798942536, -0.0152034543389519, 0.0725877218350225, -0.1659252787422745, -0.1478156346274888, -0.0917132489125526, -0.2876666949690301, 0.2293324753645667, 0.134523659483226, -0.2459757729855932, -0.0680378567853056, -0.0978768261972014, 0.1613409919475087, 0.2006964739708663, 0.0980780093353206, 0.2041646043369715, -0.3225644263302851, -0.0022647157927829]| 12.5001239776611328|      1.00000000|[181, 56, 0, 8]                                                            |  | trying linear partial model with 26 points | exploitation failed, decreasing delta | actual_k=7
       5|[0.8598439433963352, -0.0650848424364502, 0.1603490813503025, 1.3474795712199619, 0.0853475798942536, -0.0152034543389519, 0.0725877218350225, -0.1659252787422745, -0.1478156346274888, -0.0917132489125526, -0.2876666949690301, 0.2293324753645667, 0.134523659483226, -0.2459757729855932, -0.0680378567853056, -0.0978768261972014, 0.1613409919475087, 0.2006964739708663, 0.0980780093353206, 0.2041646043369715, -0.3225644263302851, -0.0022647157927829]| 12.5001239776611328|      0.50000000|[227, 70, 0, 10]                                                           |  | trying linear partial model with 26 points | exploitation failed, decreasing delta | actual_k=7
       6|[1.1513434795604163, -0.0763521640982096, 0.1785135082529125, 1.6517373729643854, -0.0264501474597242, -0.1074357574745691, -0.0053364807628164, -0.2101545399226104, -0.0915759147992171, -0.1233636684257238, -0.3548515358300242, 0.2724477682333059, 0.1458596849675419, -0.2969926815325117, -0.0727630640597245, -0.1239513026727444, 0.1607560212882584, 0.1022617133395487, 0.1675909915903827, 0.1416193825870632, -0.2828212680064535, 0.0924998761270623]| 12.2407159805297852|      1.00000000|[271, 84, 0, 12]                                                           |  | trying linear partial model with 26 points | iterate success | actual_k=7
       7|[1.1513434795604163, -0.0763521640982096, 0.1785135082529125, 1.6517373729643854, -0.0264501474597242, -0.1074357574745691, -0.0053364807628164, -0.2101545399226104, -0.0915759147992171, -0.1233636684257238, -0.3548515358300242, 0.2724477682333059, 0.1458596849675419, -0.2969926815325117, -0.0727630640597245, -0.1239513026727444, 0.1607560212882584, 0.1022617133395487, 0.1675909915903827, 0.1416193825870632, -0.2828212680064535, 0.0924998761270623]| 12.2407159805297852|      0.50000000|[316, 98, 0, 14]                                                           |  | trying linear partial model with 26 points | exploitation failed, decreasing delta | actual_k=7
       8|[1.4027985440081094, -0.0108635330541381, 0.1855968787765508, 2.020441453152758, -0.0422138661117027, -0.1069049816820893, 0.0372140661422116, -0.1559953830758258, -0.1285203983693384, -0.1527430259643154, -0.3575554714918934, 0.3160869763878421, 0.0923117445416938, -0.2429788811084826, -0.1486546544110895, -0.0661092331567598, 0.2797695075767783, 0.0567493002502703, 0.1958068453785446, 0.2080023997492526, -0.255976443653572, 0.110028682878924]| 12.1443405151367188|      1.00000000|[363, 112, 0, 16]                                                          |  | trying linear partial model with 26 points | iterate success | actual_k=7
       9|[1.4027985440081094, -0.0108635330541381, 0.1855968787765508, 2.020441453152758, -0.0422138661117027, -0.1069049816820893, 0.0372140661422116, -0.1559953830758258, -0.1285203983693384, -0.1527430259643154, -0.3575554714918934, 0.3160869763878421, 0.0923117445416938, -0.2429788811084826, -0.1486546544110895, -0.0661092331567598, 0.2797695075767783, 0.0567493002502703, 0.1958068453785446, 0.2080023997492526, -0.255976443653572, 0.110028682878924]| 12.1443405151367188|      0.50000000|[408, 126, 0, 18]                                                          |  | trying linear partial model with 26 points | exploitation failed, decreasing delta | actual_k=7
      10|[1.4027985440081094, -0.0108635330541381, 0.1855968787765508, 2.020441453152758, -0.0422138661117027, -0.1069049816820893, 0.0372140661422116, -0.1559953830758258, -0.1285203983693384, -0.1527430259643154, -0.3575554714918934, 0.3160869763878421, 0.0923117445416938, -0.2429788811084826, -0.1486546544110895, -0.0661092331567598, 0.2797695075767783, 0.0567493002502703, 0.1958068453785446, 0.2080023997492526, -0.255976443653572, 0.110028682878924]| 12.1443405151367188|      0.25000000|[452, 140, 0, 20]                                                          |  | trying linear partial model with 26 points | exploitation failed, decreasing delta | actual_k=7
      11|[1.4027985440081094, -0.0108635330541381, 0.1855968787765508, 2.020441453152758, -0.0422138661117027, -0.1069049816820893, 0.0372140661422116, -0.1559953830758258, -0.1285203983693384, -0.1527430259643154, -0.3575554714918934, 0.3160869763878421, 0.0923117445416938, -0.2429788811084826, -0.1486546544110895, -0.0661092331567598, 0.2797695075767783, 0.0567493002502703, 0.1958068453785446, 0.2080023997492526, -0.255976443653572, 0.110028682878924]| 12.1443405151367188|      0.12500000|[497, 154, 0, 22]                                                          |  | trying linear partial model with 26 points | exploitation failed, decreasing delta | actual_k=7
