k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.90000000|[17, 6, 0, 3]                                                              |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       2|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.81000000|[32, 12, 0, 6]                                                             |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.72900000|[47, 18, 0, 9]                                                             |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       4|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.65610000|[62, 24, 0, 12]                                                            |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
       5|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.59049000|[80, 32, 0, 16]                                                            |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 11 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.53144100|[96, 38, 0, 19]                                                            |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.47829690|[111, 44, 0, 22]                                                           |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.43046721|[126, 50, 0, 25]                                                           |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 11 points | exploitation failed, decreasing delta | actual_k=2
       9|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.38742049|[144, 58, 0, 29]                                                           |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 11 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.34867844|[162, 66, 0, 33]                                                           |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
