k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[3.0, 0.1]                                                                      | 87.6860481455954357|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[3.0, 0.1]                                                                      | 87.6860481455954357|      0.50000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[2.596442660672993, -0.195197347337856]                                         | 40.5792617797851562|      1.00000000|[12, 4, 0, 4]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       3|[1.6146686580514125, -0.3852494659169473]                                       |  6.4087734222412109|      2.00000000|[18, 6, 0, 6]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       4|[1.6146686580514125, -0.3852494659169473]                                       |  6.4087734222412109|      1.00000000|[24, 8, 0, 8]                                                              |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       5|[1.6146686580514125, -0.3852494659169473]                                       |  6.4087734222412109|      0.50000000|[32, 11, 0, 11]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
       6|[1.6146686580514125, -0.3852494659169473]                                       |  6.4087734222412109|      0.25000000|[38, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       7|[1.3768127300344208, -0.4622206131552191]                                       |  3.9333262443542480|      0.50000000|[44, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       8|[1.3768127300344208, -0.4622206131552191]                                       |  3.9333262443542480|      0.25000000|[52, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
       9|[1.3768127300344208, -0.4622206131552191]                                       |  3.9333262443542480|      0.12500000|[60, 21, 0, 21]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      10|[1.256048433017252, -0.4944849055842974]                                        |  3.1215212345123291|      0.25000000|[66, 23, 0, 23]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      11|[1.256048433017252, -0.4944849055842974]                                        |  3.1215212345123291|      0.12500000|[74, 26, 0, 26]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      12|[1.1362621276089948, -0.530209421489201]                                        |  2.5074505805969238|      0.25000000|[80, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      13|[1.1362621276089948, -0.530209421489201]                                        |  2.5074505805969238|      0.12500000|[87, 31, 0, 31]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      14|[1.1362621276089948, -0.530209421489201]                                        |  2.5074505805969238|      0.06250000|[94, 34, 0, 34]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      15|[1.0757590102555388, -0.545881779018109]                                        |  2.2582106590270996|      0.12500000|[99, 36, 0, 36]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      16|[1.0757590102555388, -0.545881779018109]                                        |  2.2582106590270996|      0.06250000|[105, 38, 0, 38]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      17|[1.0143427020485303, -0.5574700095224496]                                       |  2.0405263900756836|      0.12500000|[110, 40, 0, 40]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      18|[1.0143427020485303, -0.5574700095224496]                                       |  2.0405263900756836|      0.06250000|[118, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      19|[0.9535057106468987, -0.5717916880971771]                                       |  1.8494858741760254|      0.12500000|[123, 45, 0, 45]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      20|[0.9535057106468987, -0.5717916880971771]                                       |  1.8494858741760254|      0.06250000|[129, 47, 0, 47]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      21|[0.8927979900383636, -0.5866517910078589]                                       |  1.6814199686050415|      0.12500000|[134, 49, 0, 49]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      22|[0.8927979900383636, -0.5866517910078589]                                       |  1.6814199686050415|      0.06250000|[140, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      23|[0.8927979900383636, -0.5866517910078589]                                       |  1.6814199686050415|      0.03125000|[146, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
