k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[98.0, 36.0, 270.0]                                                             |235144.3534117177186999|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[97.86272077510468, 36.329535873370496, 269.0658905189572]                      |233073.6562500000000000|     10.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[103.45531176759934, 37.75997490675054, 260.9003060228877]                      |201383.9531250000000000|    100.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[103.45531176759934, 37.75997490675054, 260.9003060228877]                      |201383.9531250000000000|     10.00000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       4|[110.11362384217374, 39.20941434861258, 253.58142594312474]                     |171613.8281250000000000|    100.00000000|[22, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[110.11362384217374, 39.20941434861258, 253.58142594312474]                     |171613.8281250000000000|     10.00000000|[27, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       6|[119.06236177306337, 43.31241231257593, 251.8248676173155]                      |149330.3437500000000000|    100.00000000|[32, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[119.06236177306337, 43.31241231257593, 251.8248676173155]                      |149330.3437500000000000|     10.00000000|[37, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[119.06236177306337, 43.31241231257593, 251.8248676173155]                      |149330.3437500000000000|      1.00000000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[119.76262298858362, 43.124173815462335, 251.13624544352024]                    |146844.8437500000000000|     10.00000000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[123.44222899387039, 41.7274421164732, 241.9433329449213]                       |124438.0625000000000000|    100.00000000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[123.44222899387039, 41.7274421164732, 241.9433329449213]                       |124438.0625000000000000|     10.00000000|[58, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[130.90999735368317, 42.17743956421939, 235.3078270846872]                      |101442.2578125000000000|    100.00000000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[130.90999735368317, 42.17743956421939, 235.3078270846872]                      |101442.2578125000000000|     10.00000000|[69, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      14|[137.8815752992983, 43.719669848533286, 228.30649673264998]                     |80633.3515625000000000|    100.00000000|[74, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[137.8815752992983, 43.719669848533286, 228.30649673264998]                     |80633.3515625000000000|     10.00000000|[80, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
