k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.50000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       2|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.25000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.12500000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       4|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.06250000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       5|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.03125000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       6|[0.2247118602568412, 0.4022194387995852, 0.427740918177386, 0.395042500148817]  |  0.0036855444777757|      0.06250000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       7|[0.2247118602568412, 0.4022194387995852, 0.427740918177386, 0.395042500148817]  |  0.0036855444777757|      0.03125000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       8|[0.2247118602568412, 0.4022194387995852, 0.427740918177386, 0.395042500148817]  |  0.0036855444777757|      0.01562500|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       9|[0.2247118602568412, 0.4022194387995852, 0.427740918177386, 0.395042500148817]  |  0.0036855444777757|      0.00781250|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      10|[0.2274083184391303, 0.4028407061465477, 0.4227656499072507, 0.3896922663179503]|  0.0035399736370891|      0.01562500|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      11|[0.2274083184391303, 0.4028407061465477, 0.4227656499072507, 0.3896922663179503]|  0.0035399736370891|      0.00781250|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      12|[0.223000881915681, 0.4066179366879584, 0.4265808863262701, 0.3861164922694697] |  0.0034118713811040|      0.01562500|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      13|[0.223000881915681, 0.4066179366879584, 0.4265808863262701, 0.3861164922694697] |  0.0034118713811040|      0.00781250|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      14|[0.2291170211804962, 0.4107192947372318, 0.4242516680772855, 0.3849410769200535]|  0.0033634072169662|      0.01562500|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[0.2291170211804962, 0.4107192947372318, 0.4242516680772855, 0.3849410769200535]|  0.0033634072169662|      0.00781250|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      16|[0.2241809424392879, 0.4083221563125697, 0.4253521039007265, 0.3794901089984741]|  0.0032209563069046|      0.01562500|[129, 0, 0, 32]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      17|[0.2241809424392879, 0.4083221563125697, 0.4253521039007265, 0.3794901089984741]|  0.0032209563069046|      0.00781250|[137, 0, 0, 34]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      18|[0.2241809424392879, 0.4083221563125697, 0.4253521039007265, 0.3794901089984741]|  0.0032209563069046|      0.00390625|[145, 0, 0, 36]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      19|[0.2240639913162261, 0.4107726864029729, 0.4241530753403789, 0.3766968413269443]|  0.0031170998699963|      0.00781250|[153, 0, 0, 38]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      20|[0.2254433854789711, 0.414260409996718, 0.4208130449720962, 0.3707124943060598] |  0.0029481099918485|      0.01562500|[161, 0, 0, 40]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
