k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404945974|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.124306998867652, 39.08822447368111, 41.03523116145456, 38.903210864614685]  |851.9683837890625000|     10.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[16.389727353823947, 37.127663274716724, 37.241382072912195, 43.58713940729733] |365.3513793945312500|    100.00000000|[11, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[16.389727353823947, 37.127663274716724, 37.241382072912195, 43.58713940729733] |365.3513793945312500|     10.00000000|[16, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       4|[9.742565996068688, 32.323526799177046, 42.6836445422112, 45.35272651180789]    | 78.7884750366210938|    100.00000000|[21, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[9.742565996068688, 32.323526799177046, 42.6836445422112, 45.35272651180789]    | 78.7884750366210938|     10.00000000|[26, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[3.0474318431025322, 32.61061392910013, 50.052388659858735, 46.244000758184114] |  5.0745215415954590|    100.00000000|[31, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[3.0474318431025322, 32.61061392910013, 50.052388659858735, 46.244000758184114] |  5.0745215415954590|     10.00000000|[36, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[3.0474318431025322, 32.61061392910013, 50.052388659858735, 46.244000758184114] |  5.0745215415954590|      1.00000000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[2.435956355083687, 32.42922387212268, 50.13040972134035, 47.01023054665955]    |  2.8970077037811279|     10.00000000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[2.435956355083687, 32.42922387212268, 50.13040972134035, 47.01023054665955]    |  2.8970077037811279|      1.00000000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[2.435956355083687, 32.42922387212268, 50.13040972134035, 47.01023054665955]    |  2.8970077037811279|      0.10000000|[59, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[2.3710560118549378, 32.42112461690593, 50.171924564040204, 46.946993964293554] |  2.7100481986999512|      1.00000000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[2.3710560118549378, 32.42112461690593, 50.171924564040204, 46.946993964293554] |  2.7100481986999512|      0.10000000|[70, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      14|[2.2923578076474045, 32.36442513730121, 50.192666018422365, 46.959704343405754] |  2.4820685386657715|      1.00000000|[76, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[2.2923578076474045, 32.36442513730121, 50.192666018422365, 46.959704343405754] |  2.4820685386657715|      0.10000000|[81, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[2.2035684757049583, 32.31904232928762, 50.18541884456122, 46.957622579480216]  |  2.2436699867248535|      1.00000000|[86, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[1.3071432788619977, 32.26010493437003, 50.44370550402496, 47.31291999220433]   |  0.5351276993751526|     10.00000000|[92, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      18|[1.3071432788619977, 32.26010493437003, 50.44370550402496, 47.31291999220433]   |  0.5351276993751526|      1.00000000|[98, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[1.3071432788619977, 32.26010493437003, 50.44370550402496, 47.31291999220433]   |  0.5351276993751526|      0.10000000|[103, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[1.2673609247959774, 32.170554704313176, 50.46151275488129, 47.30391874680878]  |  0.4835281074047089|      1.00000000|[108, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
