k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404944837|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.12430721999568, 39.08822432884195, 41.03523090438543, 38.90320996636892]    |851.9684448242187500|      2.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[22.58213563393272, 38.70380724458672, 40.289946219185836, 39.861584132589876]  |735.5394897460937500|      4.00000000|[11, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[21.75518871912966, 35.42529610013771, 39.51691347365977, 37.86911233851957]    |611.6683959960937500|      8.00000000|[16, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[16.419730451586926, 31.554722781753327, 43.848270785319954, 39.20735413320716] |236.6925506591796875|     16.00000000|[21, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[11.963617875967739, 20.937824299703266, 37.38168909865665, 48.24106038396396]  | 59.6364822387695312|     32.00000000|[26, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[11.963617875967739, 20.937824299703266, 37.38168909865665, 48.24106038396396]  | 59.6364822387695312|     16.00000000|[31, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[6.385164405594849, 8.143648500038337, 44.9531600215547, 50.20644852625603]     |  1.9069107770919800|     32.00000000|[36, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[6.385164405594849, 8.143648500038337, 44.9531600215547, 50.20644852625603]     |  1.9069107770919800|     16.00000000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[6.385164405594849, 8.143648500038337, 44.9531600215547, 50.20644852625603]     |  1.9069107770919800|      8.00000000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[6.385164405594849, 8.143648500038337, 44.9531600215547, 50.20644852625603]     |  1.9069107770919800|      4.00000000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[6.385164405594849, 8.143648500038337, 44.9531600215547, 50.20644852625603]     |  1.9069107770919800|      2.00000000|[59, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[6.385164405594849, 8.143648500038337, 44.9531600215547, 50.20644852625603]     |  1.9069107770919800|      1.00000000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[6.385164405594849, 8.143648500038337, 44.9531600215547, 50.20644852625603]     |  1.9069107770919800|      0.50000000|[70, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      14|[5.994963907315004, 7.838054551140106, 44.99848325749574, 50.25442470599951]    |  1.5087261199951172|      1.00000000|[76, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[5.994963907315004, 7.838054551140106, 44.99848325749574, 50.25442470599951]    |  1.5087261199951172|      0.50000000|[81, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[5.55110361555551, 7.6110466566138495, 44.960605801173315, 50.249868882860326]  |  1.1697304248809814|      1.00000000|[86, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[5.55110361555551, 7.6110466566138495, 44.960605801173315, 50.249868882860326]  |  1.1697304248809814|      0.50000000|[92, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      18|[5.141227435291602, 7.705797373171343, 45.22972323229765, 50.22538160393538]    |  0.9672297239303589|      1.00000000|[98, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      19|[5.141227435291602, 7.705797373171343, 45.22972323229765, 50.22538160393538]    |  0.9672297239303589|      0.50000000|[103, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[4.943164284386322, 7.258231713430594, 45.33064618528502, 50.20893392827558]    |  0.7688468098640442|      1.00000000|[108, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
