k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[96.0, 0.009, 103.0, 106.0, 18.0, 72.0, 151.0, 18.0]                            |9158.1395820262569032|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[96.0, 0.009, 103.0, 106.0, 18.0, 72.0, 151.0, 18.0]                            |9158.1395820262569032|      0.10000000|[23, 8, 0, 2]                                                              |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       2|[96.0, 0.009, 103.0, 106.0, 18.0, 72.0, 151.0, 18.0]                            |9158.1395820262569032|      0.01000000|[43, 16, 0, 4]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       3|[96.0, 0.009, 103.0, 106.0, 18.0, 72.0, 151.0, 18.0]                            |9158.1395820262569032|      0.00100000|[65, 24, 0, 6]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       4|[96.0, 0.009, 103.0, 106.0, 18.0, 72.0, 151.0, 18.0]                            |9158.1395820262569032|      0.00010000|[85, 32, 0, 8]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       5|[96.00000854134258, 0.0089020894573871, 103.00000413619114, 106.00000385342409, 17.999995368668937, 71.99999307197885, 150.9999854198431, 17.99999484379222]|9089.6445312500000000|      0.00100000|[107, 40, 0, 10]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       6|[96.00000854134258, 0.0089020894573871, 103.00000413619114, 106.00000385342409, 17.999995368668937, 71.99999307197885, 150.9999854198431, 17.99999484379222]|9089.6445312500000000|      0.00010000|[128, 48, 0, 12]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       7|[96.00001407118089, 0.0088045363987455, 103.0000174700325, 106.0000126721097, 17.999991691369676, 72.00000541143412, 150.99998809054608, 17.999999777731425]|9073.2519531250000000|      0.00100000|[148, 56, 0, 14]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       8|[96.00001407118089, 0.0088045363987455, 103.0000174700325, 106.0000126721097, 17.999991691369676, 72.00000541143412, 150.99998809054608, 17.999999777731425]|9073.2519531250000000|      0.00010000|[169, 64, 0, 16]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[96.00001407118089, 0.0088045363987455, 103.0000174700325, 106.0000126721097, 17.999991691369676, 72.00000541143412, 150.99998809054608, 17.999999777731425]|9073.2519531250000000|      0.00001000|[191, 72, 0, 18]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      10|[96.00001374464792, 0.0088141386610061, 103.00001885883422, 106.00001483812962, 17.999991473321803, 72.00000515703513, 150.9999876285072, 17.99999891530485]|9072.5087890625000000|      0.00010000|[212, 80, 0, 20]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
      11|[96.00001374464792, 0.0088141386610061, 103.00001885883422, 106.00001483812962, 17.999991473321803, 72.00000515703513, 150.9999876285072, 17.99999891530485]|9072.5087890625000000|      0.00001000|[232, 88, 0, 22]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      12|[96.00001300099701, 0.0088218298788544, 103.0000222554704, 106.00001625837665, 17.99999102932819, 72.0000017366509, 150.99999025684136, 17.999996098637784]|9072.2939453125000000|      0.00010000|[253, 96, 0, 24]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
      13|[96.00001300099701, 0.0088218298788544, 103.0000222554704, 106.00001625837665, 17.99999102932819, 72.0000017366509, 150.99999025684136, 17.999996098637784]|9072.2939453125000000|      0.00001000|[275, 104, 0, 26]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      14|[96.00001300099701, 0.0088218298788544, 103.0000222554704, 106.00001625837665, 17.99999102932819, 72.0000017366509, 150.99999025684136, 17.999996098637784]|9072.2939453125000000|      0.00000100|[295, 112, 0, 28]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      15|[96.0000130552267, 0.00882268558109, 103.00002215521293, 106.00001645672627, 17.999991407247737, 72.00000169916235, 150.99999019223574, 17.999996357551343]|9072.2880859375000000|      0.00001000|[316, 120, 0, 30]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      16|[96.0000130552267, 0.00882268558109, 103.00002215521293, 106.00001645672627, 17.999991407247737, 72.00000169916235, 150.99999019223574, 17.999996357551343]|9072.2880859375000000|      0.00000100|[338, 128, 0, 32]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      17|[96.00001300392692, 0.0088231317395952, 103.00002214304968, 106.00001663626523, 17.99999214587336, 72.00000152490291, 150.99998989993045, 17.999996680896672]|9072.2851562500000000|      0.00001000|[358, 136, 0, 34]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      18|[96.00001300392692, 0.0088231317395952, 103.00002214304968, 106.00001663626523, 17.99999214587336, 72.00000152490291, 150.99998989993045, 17.999996680896672]|9072.2851562500000000|      0.00000100|[380, 144, 0, 36]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      19|[96.00001293610951, 0.0088231256976347, 103.00002217366207, 106.00001704939707, 17.999992956536815, 72.0000014979602, 150.99998968820378, 17.999997028775855]|9072.2822265625000000|      0.00001000|[403, 152, 0, 38]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      20|[96.0000116017691, 0.0088203818400331, 103.00002026739459, 106.0000206718067, 18.000000424915353, 72.00000312775215, 150.99998727602517, 18.000000140619107]|9072.2714843750000000|      0.00010000|[426, 160, 0, 40]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      21|[96.0000116017691, 0.0088203818400331, 103.00002026739459, 106.0000206718067, 18.000000424915353, 72.00000312775215, 150.99998727602517, 18.000000140619107]|9072.2714843750000000|      0.00001000|[447, 168, 0, 42]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      22|[96.0000116017691, 0.0088203818400331, 103.00002026739459, 106.0000206718067, 18.000000424915353, 72.00000312775215, 150.99998727602517, 18.000000140619107]|9072.2714843750000000|      0.00000100|[469, 176, 0, 44]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      23|[96.00001164423946, 0.0088212493157488, 103.00002028685148, 106.00002051780054, 18.000000649830856, 72.00000313307837, 150.99998686917334, 18.000000066849637]|9072.2597656250000000|      0.00001000|[490, 184, 0, 46]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
