k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7503748359903852|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.530218063484071, 0.7952683554427464, 5.253291017953994, 5.197970746852507, 6.362115094741397, 7.875064317074434]|189.0641174316406250|      1.11111111|[14, 2, 0, 2]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       2|[0.4010916966647631, 1.096094071313861, 4.6861290391017985, 5.8873925722008735, 5.791838263067847, 7.947226239383983]|131.4514617919921875|      1.23456790|[28, 4, 0, 4]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       3|[-0.4465824348216193, 0.7489537003169062, 4.197012116429502, 6.2226627735939175, 5.2229042773204215, 7.848369371809556]| 70.1545181274414062|      1.37174211|[42, 6, 0, 6]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       4|[-0.4465824348216193, 0.7489537003169062, 4.197012116429502, 6.2226627735939175, 5.2229042773204215, 7.848369371809556]| 70.1545181274414062|      1.23456790|[55, 8, 0, 8]                                                              |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       5|[-0.4465824348216193, 0.7489537003169062, 4.197012116429502, 6.2226627735939175, 5.2229042773204215, 7.848369371809556]| 70.1545181274414062|      1.11111111|[68, 10, 0, 10]                                                            |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       6|[-0.4465824348216193, 0.7489537003169062, 4.197012116429502, 6.2226627735939175, 5.2229042773204215, 7.848369371809556]| 70.1545181274414062|      1.00000000|[81, 12, 0, 12]                                                            |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       7|[-0.4465824348216193, 0.7489537003169062, 4.197012116429502, 6.2226627735939175, 5.2229042773204215, 7.848369371809556]| 70.1545181274414062|      0.90000000|[94, 14, 0, 14]                                                            |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       8|[-0.4465824348216193, 0.7489537003169062, 4.197012116429502, 6.2226627735939175, 5.2229042773204215, 7.848369371809556]| 70.1545181274414062|      0.81000000|[108, 16, 0, 16]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       9|[-0.7842189912814423, 1.015309217035373, 3.677709221949973, 6.434109494257246, 4.826982225097251, 7.8442692346298]| 44.9600219726562500|      0.90000000|[121, 18, 0, 18]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      10|[-0.7842189912814423, 1.015309217035373, 3.677709221949973, 6.434109494257246, 4.826982225097251, 7.8442692346298]| 44.9600219726562500|      0.81000000|[134, 20, 0, 20]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      11|[-0.7842189912814423, 1.015309217035373, 3.677709221949973, 6.434109494257246, 4.826982225097251, 7.8442692346298]| 44.9600219726562500|      0.72900000|[148, 22, 0, 22]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      12|[-0.7842189912814423, 1.015309217035373, 3.677709221949973, 6.434109494257246, 4.826982225097251, 7.8442692346298]| 44.9600219726562500|      0.65610000|[162, 24, 0, 24]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      13|[-1.0861120088610599, 1.1183006161701996, 3.260179143116469, 6.517123551654259, 4.458501127613763, 7.952526188134233]| 30.6962146759033203|      0.72900000|[176, 26, 0, 26]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      14|[-1.0861120088610599, 1.1183006161701996, 3.260179143116469, 6.517123551654259, 4.458501127613763, 7.952526188134233]| 30.6962146759033203|      0.65610000|[190, 28, 0, 28]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      15|[-1.0861120088610599, 1.1183006161701996, 3.260179143116469, 6.517123551654259, 4.458501127613763, 7.952526188134233]| 30.6962146759033203|      0.59049000|[203, 30, 0, 30]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      16|[-1.0861120088610599, 1.1183006161701996, 3.260179143116469, 6.517123551654259, 4.458501127613763, 7.952526188134233]| 30.6962146759033203|      0.53144100|[217, 32, 0, 32]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      17|[-1.0861120088610599, 1.1183006161701996, 3.260179143116469, 6.517123551654259, 4.458501127613763, 7.952526188134233]| 30.6962146759033203|      0.47829690|[230, 34, 0, 34]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
