k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7514694982056085|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5721014974766658, 0.8378913000140653, 5.258673204948442, 5.240777541443279, 6.354949475219205, 7.9341803422085]|190.2466888427734375|     10.00000000|[11, 4, 0, 2]                                                              |  | trying linear partial model with 7 points | iterate success | actual_k=2
       2|[0.5721014974766658, 0.8378913000140653, 5.258673204948442, 5.240777541443279, 6.354949475219205, 7.9341803422085]|190.2466888427734375|      1.00000000|[36, 14, 0, 7]                                                             |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 12 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 22 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[0.0540578454738182, 1.1735072146215835, 4.603914631557702, 5.594539432050762, 6.2910760523846285, 7.687083896134808]|132.3902130126953125|     10.00000000|[46, 18, 0, 9]                                                             |  | trying linear partial model with 7 points | iterate success | actual_k=2
       4|[0.0540578454738182, 1.1735072146215835, 4.603914631557702, 5.594539432050762, 6.2910760523846285, 7.687083896134808]|132.3902130126953125|      1.00000000|[72, 28, 0, 14]                                                            |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 11 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 22 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[-0.41569488182717, 1.5336529925095075, 4.1442727132515795, 5.593578378558046, 5.64666499486692, 7.535129409120613]| 83.2281341552734375|     10.00000000|[83, 32, 0, 16]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       6|[-0.41569488182717, 1.5336529925095075, 4.1442727132515795, 5.593578378558046, 5.64666499486692, 7.535129409120613]| 83.2281341552734375|      1.00000000|[108, 42, 0, 21]                                                           |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 11 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 21 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[-1.0690711848373229, 1.4426828385733832, 3.6310544035322336, 5.695811636808181, 5.119267763130631, 7.648404848607299]| 44.7882843017578125|     10.00000000|[123, 48, 0, 24]                                                           |  | trying linear partial model with 7 points | trying quadratic partial model with 11 points | iterate success | actual_k=2
       8|[-1.0690711848373229, 1.4426828385733832, 3.6310544035322336, 5.695811636808181, 5.119267763130631, 7.648404848607299]| 44.7882843017578125|      1.00000000|[146, 56, 0, 28]                                                           |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 18 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[-1.0690711848373229, 1.4426828385733832, 3.6310544035322336, 5.695811636808181, 5.119267763130631, 7.648404848607299]| 44.7882843017578125|      0.10000000|[170, 66, 0, 33]                                                           |  | trying linear partial model with 7 points | trying quadratic partial model with 11 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 16 points | trying quadratic partial model with 21 points | exploitation failed, decreasing delta | actual_k=2
      10|[-1.0450252887875289, 1.4904605152164285, 3.55501438216728, 5.660931301565268, 5.10864359833133, 7.643161473336376]| 43.5676155090332031|      1.00000000|[181, 70, 0, 35]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      11|[-1.0450252887875289, 1.4904605152164285, 3.55501438216728, 5.660931301565268, 5.10864359833133, 7.643161473336376]| 43.5676155090332031|      0.10000000|[206, 80, 0, 40]                                                           |  | trying linear partial model with 7 points | trying quadratic partial model with 12 points | trying quadratic partial model with 17 points | trying quadratic partial model with 21 points | exploitation failed, decreasing delta | actual_k=2
      12|[-1.1038090987562272, 1.510526252269669, 3.4916772677478987, 5.626630977084554, 5.080242749761553, 7.655290750319559]| 41.1004486083984375|      1.00000000|[217, 84, 0, 42]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      13|[-1.1038090987562272, 1.510526252269669, 3.4916772677478987, 5.626630977084554, 5.080242749761553, 7.655290750319559]| 41.1004486083984375|      0.10000000|[242, 94, 0, 47]                                                           |  | trying linear partial model with 7 points | trying quadratic partial model with 12 points | trying quadratic partial model with 16 points | trying quadratic partial model with 21 points | exploitation failed, decreasing delta | actual_k=2
      14|[-1.1532245896627802, 1.523172515585207, 3.42574794639883, 5.621694931846489, 5.025418531452953, 7.659921777562878]| 38.4515228271484375|      1.00000000|[252, 98, 0, 49]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      15|[-1.1532245896627802, 1.523172515585207, 3.42574794639883, 5.621694931846489, 5.025418531452953, 7.659921777562878]| 38.4515228271484375|      0.10000000|[276, 108, 0, 54]                                                          |  | trying linear partial model with 7 points | trying quadratic partial model with 12 points | trying quadratic partial model with 16 points | trying quadratic partial model with 21 points | exploitation failed, decreasing delta | actual_k=2
      16|[-1.2073075804995046, 1.534533236331284, 3.355681632211064, 5.661122243273532, 5.00560520354563, 7.669387235465036]| 36.3351631164550781|      1.00000000|[287, 112, 0, 56]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      17|[-1.2073075804995046, 1.534533236331284, 3.355681632211064, 5.661122243273532, 5.00560520354563, 7.669387235465036]| 36.3351631164550781|      0.10000000|[313, 122, 0, 61]                                                          |  | trying linear partial model with 7 points | trying quadratic partial model with 13 points | trying quadratic partial model with 17 points | trying quadratic partial model with 22 points | exploitation failed, decreasing delta | actual_k=2
      18|[-1.2524827343578646, 1.544563855240091, 3.2782061185014792, 5.667024943638547, 4.991260050063834, 7.709580663206401]| 34.4095115661621094|      1.00000000|[325, 126, 0, 63]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      19|[-1.2524827343578646, 1.544563855240091, 3.2782061185014792, 5.667024943638547, 4.991260050063834, 7.709580663206401]| 34.4095115661621094|      0.10000000|[350, 136, 0, 68]                                                          |  | trying linear partial model with 7 points | trying quadratic partial model with 12 points | trying quadratic partial model with 17 points | trying quadratic partial model with 22 points | exploitation failed, decreasing delta | actual_k=2
      20|[-1.3083458129895034, 1.497457877021846, 3.225127675100078, 5.693775202500158, 4.964009608680892, 7.729198491915346]| 32.9693107604980469|      1.00000000|[360, 140, 0, 70]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      21|[-1.3083458129895034, 1.497457877021846, 3.225127675100078, 5.693775202500158, 4.964009608680892, 7.729198491915346]| 32.9693107604980469|      0.10000000|[385, 150, 0, 75]                                                          |  | trying linear partial model with 7 points | trying quadratic partial model with 11 points | trying quadratic partial model with 16 points | trying quadratic partial model with 22 points | exploitation failed, decreasing delta | actual_k=2
      22|[-1.3562639701813373, 1.476886715412828, 3.2101298749102134, 5.617022551332926, 4.944831291961277, 7.700967901814133]| 32.2417411804199219|      1.00000000|[396, 154, 0, 77]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      23|[-1.3562639701813373, 1.476886715412828, 3.2101298749102134, 5.617022551332926, 4.944831291961277, 7.700967901814133]| 32.2417411804199219|      0.10000000|[420, 164, 0, 82]                                                          |  | trying linear partial model with 7 points | trying quadratic partial model with 12 points | trying quadratic partial model with 17 points | trying quadratic partial model with 21 points | exploitation failed, decreasing delta | actual_k=2
      24|[-1.3854575272758545, 1.4599546322313168, 3.1386595270705295, 5.615659683056085, 4.886875514928503, 7.720774483083134]| 30.4880657196044922|      1.00000000|[430, 168, 0, 84]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      25|[-1.3854575272758545, 1.4599546322313168, 3.1386595270705295, 5.615659683056085, 4.886875514928503, 7.720774483083134]| 30.4880657196044922|      0.10000000|[454, 178, 0, 89]                                                          |  | trying linear partial model with 7 points | trying quadratic partial model with 12 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 16 points | trying quadratic partial model with 20 points | exploitation failed, decreasing delta | actual_k=2
      26|[-1.4123048540715128, 1.4382539943454322, 3.062711339715209, 5.59999432915427, 4.8353923001773795, 7.708764009206783]| 28.9546546936035156|      1.00000000|[465, 182, 0, 91]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      27|[-1.4123048540715128, 1.4382539943454322, 3.062711339715209, 5.59999432915427, 4.8353923001773795, 7.708764009206783]| 28.9546546936035156|      0.10000000|[488, 192, 0, 96]                                                          |  | trying linear partial model with 7 points | trying quadratic partial model with 12 points | trying quadratic partial model with 16 points | trying quadratic partial model with 20 points | exploitation failed, decreasing delta | actual_k=2
      28|[-1.4321228614544523, 1.5026817633998597, 3.008668444576526, 5.599769871460781, 4.788259225240583, 7.691041212903304]| 27.2939739227294922|      1.00000000|[500, 196, 0, 98]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      29|[-1.4321228614544523, 1.5026817633998597, 3.008668444576526, 5.599769871460781, 4.788259225240583, 7.691041212903304]| 27.2939739227294922|      0.10000000|[525, 206, 0, 103]                                                         |  | trying linear partial model with 7 points | trying quadratic partial model with 12 points | trying quadratic partial model with 17 points | trying quadratic partial model with 21 points | exploitation failed, decreasing delta | actual_k=2
      30|[-1.4558318867306161, 1.5725549091067332, 2.96255102459757, 5.602530348926517, 4.741705806195798, 7.706977590890999]| 25.7373886108398438|      1.00000000|[535, 210, 0, 105]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
