k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |749.0383999999999105|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.3523386544900162, 0.4694623073445165]                                       | 28.1665019989013672|      1.11111111|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       2|[-0.3523386544900162, 0.4694623073445165]                                       | 28.1665019989013672|      1.00000000|[15, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[-0.3523386544900162, 0.4694623073445165]                                       | 28.1665019989013672|      0.90000000|[21, 7, 0, 7]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.5462573030767884, 0.4192098940233915]                                        |  6.7701535224914551|      1.00000000|[26, 9, 0, 9]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       5|[0.5462573030767884, 0.4192098940233915]                                        |  6.7701535224914551|      0.90000000|[32, 11, 0, 11]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       6|[0.5462573030767884, 0.4192098940233915]                                        |  6.7701535224914551|      0.81000000|[38, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.5462573030767884, 0.4192098940233915]                                        |  6.7701535224914551|      0.72900000|[44, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[0.5462573030767884, 0.4192098940233915]                                        |  6.7701535224914551|      0.65610000|[52, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[0.5462573030767884, 0.4192098940233915]                                        |  6.7701535224914551|      0.59049000|[60, 21, 0, 21]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      10|[0.0472545438901762, 0.1034969129406554]                                        |  1.9767019748687744|      0.65610000|[66, 23, 0, 23]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      11|[0.0472545438901762, 0.1034969129406554]                                        |  1.9767019748687744|      0.59049000|[74, 26, 0, 26]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[0.0472545438901762, 0.1034969129406554]                                        |  1.9767019748687744|      0.53144100|[80, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[0.0472545438901762, 0.1034969129406554]                                        |  1.9767019748687744|      0.47829690|[87, 31, 0, 31]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[0.0472545438901762, 0.1034969129406554]                                        |  1.9767019748687744|      0.43046721|[94, 34, 0, 34]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      15|[0.0472545438901762, 0.1034969129406554]                                        |  1.9767019748687744|      0.38742049|[101, 37, 0, 37]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      16|[0.0472545438901762, 0.1034969129406554]                                        |  1.9767019748687744|      0.34867844|[108, 40, 0, 40]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      17|[0.0472545438901762, 0.1034969129406554]                                        |  1.9767019748687744|      0.31381060|[116, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      18|[0.0472545438901762, 0.1034969129406554]                                        |  1.9767019748687744|      0.28242954|[123, 46, 0, 46]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[0.0472545438901762, 0.1034969129406554]                                        |  1.9767019748687744|      0.25418658|[130, 49, 0, 49]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[0.0472545438901762, 0.1034969129406554]                                        |  1.9767019748687744|      0.22876792|[136, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[0.0472545438901762, 0.1034969129406554]                                        |  1.9767019748687744|      0.20589113|[142, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[0.0472545438901762, 0.1034969129406554]                                        |  1.9767019748687744|      0.18530202|[149, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      23|[0.0338050463568287, -0.0813163691010464]                                       |  1.5953962802886963|      0.20589113|[155, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      24|[0.0338050463568287, -0.0813163691010464]                                       |  1.5953962802886963|      0.18530202|[163, 61, 0, 61]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[0.0338050463568287, -0.0813163691010464]                                       |  1.5953962802886963|      0.16677182|[169, 63, 0, 63]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      26|[0.0338050463568287, -0.0813163691010464]                                       |  1.5953962802886963|      0.15009464|[175, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      27|[0.085041680070045, 0.059762356831239]                                          |  1.1869894266128540|      0.16677182|[181, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      28|[0.2307750289741617, -0.0213217350830222]                                       |  0.7046846747398376|      0.18530202|[187, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      29|[0.2307750289741617, -0.0213217350830222]                                       |  0.7046846747398376|      0.16677182|[194, 72, 0, 72]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      30|[0.2307750289741617, -0.0213217350830222]                                       |  0.7046846747398376|      0.15009464|[201, 75, 0, 75]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      31|[0.2307750289741617, -0.0213217350830222]                                       |  0.7046846747398376|      0.13508517|[207, 77, 0, 77]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      32|[0.2307750289741617, -0.0213217350830222]                                       |  0.7046846747398376|      0.12157665|[213, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[0.2307750289741617, -0.0213217350830222]                                       |  0.7046846747398376|      0.10941899|[220, 82, 0, 82]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      34|[0.2307750289741617, -0.0213217350830222]                                       |  0.7046846747398376|      0.09847709|[227, 85, 0, 85]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      35|[0.2307750289741617, -0.0213217350830222]                                       |  0.7046846747398376|      0.08862938|[235, 88, 0, 88]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      36|[0.2307750289741617, -0.0213217350830222]                                       |  0.7046846747398376|      0.07976644|[241, 90, 0, 90]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      37|[0.2307750289741617, -0.0213217350830222]                                       |  0.7046846747398376|      0.07178980|[248, 93, 0, 93]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      38|[0.2307750289741617, -0.0213217350830222]                                       |  0.7046846747398376|      0.06461082|[255, 96, 0, 96]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[0.2476205439119912, 0.0410544346006692]                                        |  0.6330075263977051|      0.07178980|[261, 98, 0, 98]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      40|[0.2476205439119912, 0.0410544346006692]                                        |  0.6330075263977051|      0.06461082|[267, 100, 0, 100]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      41|[0.2476205439119912, 0.0410544346006692]                                        |  0.6330075263977051|      0.05814974|[273, 102, 0, 102]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      42|[0.2476205439119912, 0.0410544346006692]                                        |  0.6330075263977051|      0.05233476|[281, 105, 0, 105]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      43|[0.2822497319599114, 0.0018148272492291]                                        |  0.5578926801681519|      0.05814974|[286, 107, 0, 107]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      44|[0.3341161583547223, 0.0281067599768625]                                        |  0.4518502652645111|      0.06461082|[292, 109, 0, 109]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      45|[0.3341161583547223, 0.0281067599768625]                                        |  0.4518502652645111|      0.05814974|[298, 111, 0, 111]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      46|[0.3341161583547223, 0.0281067599768625]                                        |  0.4518502652645111|      0.05233476|[304, 113, 0, 113]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      47|[0.3341161583547223, 0.0281067599768625]                                        |  0.4518502652645111|      0.04710129|[311, 116, 0, 116]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      48|[0.3341161583547223, 0.0281067599768625]                                        |  0.4518502652645111|      0.04239116|[317, 118, 0, 118]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      49|[0.3641706134895326, 0.0580022450283566]                                        |  0.4136993587017059|      0.04710129|[325, 121, 0, 121]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      50|[0.3641706134895326, 0.0580022450283566]                                        |  0.4136993587017059|      0.04239116|[332, 124, 0, 124]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      51|[0.3641706134895326, 0.0580022450283566]                                        |  0.4136993587017059|      0.03815204|[340, 127, 0, 127]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      52|[0.3641706134895326, 0.0580022450283566]                                        |  0.4136993587017059|      0.03433684|[346, 129, 0, 129]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      53|[0.3641706134895326, 0.0580022450283566]                                        |  0.4136993587017059|      0.03090315|[353, 132, 0, 132]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      54|[0.3936421037827889, 0.0672993526802734]                                        |  0.3716425299644470|      0.03433684|[361, 135, 0, 135]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      55|[0.4261952780310714, 0.0782222325264869]                                        |  0.3293170034885406|      0.03815204|[369, 138, 0, 138]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      56|[0.4261952780310714, 0.0782222325264869]                                        |  0.3293170034885406|      0.03433684|[375, 140, 0, 140]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      57|[0.4548568489706294, 0.097130770519958]                                         |  0.2980950772762299|      0.03815204|[380, 142, 0, 142]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      58|[0.4548568489706294, 0.097130770519958]                                         |  0.2980950772762299|      0.03433684|[388, 145, 0, 145]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      59|[0.4548568489706294, 0.097130770519958]                                         |  0.2980950772762299|      0.03090315|[395, 148, 0, 148]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      60|[0.4758487212425086, 0.1198099735332461]                                        |  0.2892851829528809|      0.03433684|[401, 150, 0, 150]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      61|[0.4758487212425086, 0.1198099735332461]                                        |  0.2892851829528809|      0.03090315|[408, 153, 0, 153]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      62|[0.5062255244921479, 0.1141306447762949]                                        |  0.2681394815444946|      0.03433684|[413, 155, 0, 155]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      63|[0.5062255244921479, 0.1141306447762949]                                        |  0.2681394815444946|      0.03090315|[420, 158, 0, 158]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      64|[0.5062255244921479, 0.1141306447762949]                                        |  0.2681394815444946|      0.02781284|[426, 160, 0, 160]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
