k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7514694982056085|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5721014974766658, 0.8378913000140653, 5.258673204948442, 5.240777541443279, 6.354949475219205, 7.9341803422085]|190.2466888427734375|      2.00000000|[11, 4, 0, 2]                                                              |  | trying linear partial model with 7 points | iterate success | actual_k=2
       2|[0.2705790888113152, 1.5284071988844095, 4.320084257860062, 6.45969958525171, 5.353201874175227, 7.685074714403818]| 98.9988708496093750|      4.00000000|[22, 8, 0, 4]                                                              |  | trying linear partial model with 7 points | iterate success | actual_k=2
       3|[-2.0148155463504756, 0.3241255545409685, 2.719676616983847, 6.49635774562118, 2.946553103367146, 6.699138439108872]| 61.2369842529296875|      8.00000000|[33, 12, 0, 6]                                                             |  | trying linear partial model with 7 points | iterate success | actual_k=2
       4|[-2.0148155463504756, 0.3241255545409685, 2.719676616983847, 6.49635774562118, 2.946553103367146, 6.699138439108872]| 61.2369842529296875|      4.00000000|[43, 16, 0, 8]                                                             |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[-1.5000683080309956, 1.795274121254271, 2.3807740334578353, 3.4820818499940196, 5.024353400026953, 6.469379943246901]| 20.8537254333496094|      8.00000000|[53, 20, 0, 10]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       6|[-1.5000683080309956, 1.795274121254271, 2.3807740334578353, 3.4820818499940196, 5.024353400026953, 6.469379943246901]| 20.8537254333496094|      4.00000000|[64, 24, 0, 12]                                                            |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       7|[-1.5000683080309956, 1.795274121254271, 2.3807740334578353, 3.4820818499940196, 5.024353400026953, 6.469379943246901]| 20.8537254333496094|      2.00000000|[75, 28, 0, 14]                                                            |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[-1.5000683080309956, 1.795274121254271, 2.3807740334578353, 3.4820818499940196, 5.024353400026953, 6.469379943246901]| 20.8537254333496094|      1.00000000|[86, 32, 0, 16]                                                            |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       9|[-1.9892117384872836, 2.134570915955645, 1.7765045987878016, 3.7776816996504707, 4.585923958125692, 6.439796278368832]|  8.7809400558471680|      2.00000000|[96, 36, 0, 18]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
      10|[-1.9892117384872836, 2.134570915955645, 1.7765045987878016, 3.7776816996504707, 4.585923958125692, 6.439796278368832]|  8.7809400558471680|      1.00000000|[107, 40, 0, 20]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      11|[-1.9892117384872836, 2.134570915955645, 1.7765045987878016, 3.7776816996504707, 4.585923958125692, 6.439796278368832]|  8.7809400558471680|      0.50000000|[118, 44, 0, 22]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      12|[-2.033887389479459, 2.3779626288184015, 1.5303027665164939, 3.8024183992641953, 4.257606117639082, 6.2992804094613]|  6.0435199737548828|      1.00000000|[129, 48, 0, 24]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      13|[-2.033887389479459, 2.3779626288184015, 1.5303027665164939, 3.8024183992641953, 4.257606117639082, 6.2992804094613]|  6.0435199737548828|      0.50000000|[141, 52, 0, 26]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      14|[-2.033887389479459, 2.3779626288184015, 1.5303027665164939, 3.8024183992641953, 4.257606117639082, 6.2992804094613]|  6.0435199737548828|      0.25000000|[153, 56, 0, 28]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      15|[-2.0313735533970427, 2.5290197056536026, 1.5653540437406974, 3.6393294447348326, 4.340182408711865, 6.228357936335433]|  5.2884287834167480|      0.50000000|[163, 60, 0, 30]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      16|[-2.0313735533970427, 2.5290197056536026, 1.5653540437406974, 3.6393294447348326, 4.340182408711865, 6.228357936335433]|  5.2884287834167480|      0.25000000|[174, 64, 0, 32]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      17|[-2.0611787171506553, 2.7474131019231884, 1.5362830468902813, 3.6176155409934405, 4.229826057312278, 6.248872221886223]|  4.2779383659362793|      0.50000000|[185, 68, 0, 34]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      18|[-2.0611787171506553, 2.7474131019231884, 1.5362830468902813, 3.6176155409934405, 4.229826057312278, 6.248872221886223]|  4.2779383659362793|      0.25000000|[196, 72, 0, 36]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      19|[-2.0151919671595113, 2.906867283976771, 1.4297924208996675, 3.4934725823960653, 4.1444086279007735, 6.2186775566219215]|  3.4054529666900635|      0.50000000|[207, 76, 0, 38]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      20|[-2.0151919671595113, 2.906867283976771, 1.4297924208996675, 3.4934725823960653, 4.1444086279007735, 6.2186775566219215]|  3.4054529666900635|      0.25000000|[218, 80, 0, 40]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      21|[-2.046277132863858, 3.0173634861446637, 1.410754775441585, 3.3787826680759907, 4.016443562172142, 6.079275134328265]|  2.6642677783966064|      0.50000000|[229, 84, 0, 42]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      22|[-2.046277132863858, 3.0173634861446637, 1.410754775441585, 3.3787826680759907, 4.016443562172142, 6.079275134328265]|  2.6642677783966064|      0.25000000|[240, 88, 0, 44]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      23|[-2.046277132863858, 3.0173634861446637, 1.410754775441585, 3.3787826680759907, 4.016443562172142, 6.079275134328265]|  2.6642677783966064|      0.12500000|[251, 92, 0, 46]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      24|[-2.0220579484323844, 3.1072682735685495, 1.430634781761134, 3.3283290391900144, 3.963573339438426, 6.044353557433768]|  2.3109652996063232|      0.25000000|[261, 96, 0, 48]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      25|[-2.032497822616522, 3.293276451525206, 1.4716243346361202, 3.291646742448705, 3.833506295277497, 5.955760124017999]|  1.7252655029296875|      0.50000000|[271, 100, 0, 50]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      26|[-2.032497822616522, 3.293276451525206, 1.4716243346361202, 3.291646742448705, 3.833506295277497, 5.955760124017999]|  1.7252655029296875|      0.25000000|[281, 104, 0, 52]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      27|[-2.032497822616522, 3.293276451525206, 1.4716243346361202, 3.291646742448705, 3.833506295277497, 5.955760124017999]|  1.7252655029296875|      0.12500000|[291, 108, 0, 54]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      28|[-2.032497822616522, 3.293276451525206, 1.4716243346361202, 3.291646742448705, 3.833506295277497, 5.955760124017999]|  1.7252655029296875|      0.06250000|[302, 112, 0, 56]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      29|[-2.0377467571816053, 3.33439140420751, 1.4735373795246187, 3.2665496962828096, 3.799623417210596, 5.935593605757068]|  1.5851155519485474|      0.12500000|[314, 116, 0, 58]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      30|[-2.11065719167522, 3.3686061483748158, 1.459958134573969, 3.2580371215308492, 3.7493860514475656, 5.855857998388891]|  1.4314186573028564|      0.25000000|[325, 120, 0, 60]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      31|[-2.11065719167522, 3.3686061483748158, 1.459958134573969, 3.2580371215308492, 3.7493860514475656, 5.855857998388891]|  1.4314186573028564|      0.12500000|[335, 124, 0, 62]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      32|[-2.0771915219640973, 3.4368365920520287, 1.4608472709901705, 3.172518375758679, 3.7230379830030773, 5.812948927627226]|  1.1900936365127563|      0.25000000|[347, 128, 0, 64]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      33|[-2.0771915219640973, 3.4368365920520287, 1.4608472709901705, 3.172518375758679, 3.7230379830030773, 5.812948927627226]|  1.1900936365127563|      0.12500000|[358, 132, 0, 66]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      34|[-2.129022140340672, 3.480074555630665, 1.4072753026321274, 3.1323691607738655, 3.655458326020765, 5.768002957743649]|  1.0907697677612305|      0.25000000|[368, 136, 0, 68]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      35|[-2.129022140340672, 3.480074555630665, 1.4072753026321274, 3.1323691607738655, 3.655458326020765, 5.768002957743649]|  1.0907697677612305|      0.12500000|[378, 140, 0, 70]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      36|[-2.045623389691749, 3.5266656501683746, 1.4650212865945755, 3.0884550881905946, 3.651779298136894, 5.733040998142297]|  0.9085761904716492|      0.25000000|[388, 144, 0, 72]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      37|[-2.045623389691749, 3.5266656501683746, 1.4650212865945755, 3.0884550881905946, 3.651779298136894, 5.733040998142297]|  0.9085761904716492|      0.12500000|[400, 148, 0, 74]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      38|[-2.0714733400487173, 3.5646631471713413, 1.4322217288820882, 3.0336443077877098, 3.5667880833894126, 5.6860364125224745]|  0.7572141885757446|      0.25000000|[410, 152, 0, 76]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      39|[-2.0714733400487173, 3.5646631471713413, 1.4322217288820882, 3.0336443077877098, 3.5667880833894126, 5.6860364125224745]|  0.7572141885757446|      0.12500000|[421, 156, 0, 78]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      40|[-2.0025452662688665, 3.608499790791266, 1.4342952202134212, 2.998967078666388, 3.5175815335347984, 5.613069466672242]|  0.6127200126647949|      0.25000000|[432, 160, 0, 80]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
