k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.10000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       2|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.01000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       3|[0.2481113656652408, 0.3835702395091065, 0.4163209316861163, 0.3826961393866033]|  0.0049865082837641|      0.10000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[0.2481113656652408, 0.3835702395091065, 0.4163209316861163, 0.3826961393866033]|  0.0049865082837641|      0.01000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       5|[0.2481113656652408, 0.3835702395091065, 0.4163209316861163, 0.3826961393866033]|  0.0049865082837641|      0.00100000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[0.2473008402884707, 0.3839755783552324, 0.4167107493326679, 0.3828598196721296]|  0.0048881964758039|      0.01000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       7|[0.2431077303746798, 0.3749573988445858, 0.4169452586251396, 0.3838773033114911]|  0.0045284782536328|      0.10000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       8|[0.2431077303746798, 0.3749573988445858, 0.4169452586251396, 0.3838773033114911]|  0.0045284782536328|      0.01000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       9|[0.2370797319739369, 0.3739539561424083, 0.4189636104497398, 0.3915312300119645]|  0.0042760558426380|      0.10000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[0.2370797319739369, 0.3739539561424083, 0.4189636104497398, 0.3915312300119645]|  0.0042760558426380|      0.01000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[0.2336172089020766, 0.3722124608812354, 0.4184068416629746, 0.3823297009678203]|  0.0039774877950549|      0.10000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      12|[0.2336172089020766, 0.3722124608812354, 0.4184068416629746, 0.3823297009678203]|  0.0039774877950549|      0.01000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      13|[0.2257313101507507, 0.3779725001972445, 0.4179878922455342, 0.3802180595807725]|  0.0037407819181681|      0.10000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      14|[0.2257313101507507, 0.3779725001972445, 0.4179878922455342, 0.3802180595807725]|  0.0037407819181681|      0.01000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      15|[0.2257313101507507, 0.3779725001972445, 0.4179878922455342, 0.3802180595807725]|  0.0037407819181681|      0.00100000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      16|[0.2262264596778172, 0.3782442993542455, 0.4182518786503554, 0.3794362262595531]|  0.0037146981339902|      0.01000000|[129, 0, 0, 32]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      17|[0.2262264596778172, 0.3782442993542455, 0.4182518786503554, 0.3794362262595531]|  0.0037146981339902|      0.00100000|[137, 0, 0, 34]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      18|[0.2265926458142856, 0.3778066100365293, 0.4185930028905127, 0.3786892523460912]|  0.0037049890961498|      0.01000000|[145, 0, 0, 36]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      19|[0.227053267729658, 0.3844061024336483, 0.4155304425379319, 0.3718441627456369] |  0.0034236346837133|      0.10000000|[153, 0, 0, 38]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      20|[0.227053267729658, 0.3844061024336483, 0.4155304425379319, 0.3718441627456369] |  0.0034236346837133|      0.01000000|[161, 0, 0, 40]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
