k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.284986152433074, -0.9679842660915151, -0.4381677604630489, 0.7510560715756788, -0.3720941489113726, -0.106063352311071, -0.0119457605684036]|1281343.8750000000000000|      1.11111111|[30, 2, 0, 2]                                                              |  | trying quadratic partial model with 16 points | iterate success | actual_k=1
       2|[9.997460199629945, -0.9998143828019871, -0.4797259985683668, 0.2472552974554326, -0.7613912932733222, -0.9641046012381677, 0.0749692136426057]|39858.3359375000000000|      1.23456790|[59, 4, 0, 4]                                                              |  | trying quadratic partial model with 16 points | iterate success | actual_k=1
       3|[9.997460199629945, -0.9998143828019871, -0.4797259985683668, 0.2472552974554326, -0.7613912932733222, -0.9641046012381677, 0.0749692136426057]|39858.3359375000000000|      1.11111111|[102, 7, 0, 7]                                                             |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[9.997460199629945, -0.9998143828019871, -0.4797259985683668, 0.2472552974554326, -0.7613912932733222, -0.9641046012381677, 0.0749692136426057]|39858.3359375000000000|      1.00000000|[146, 10, 0, 10]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[9.997460199629945, -0.9998143828019871, -0.4797259985683668, 0.2472552974554326, -0.7613912932733222, -0.9641046012381677, 0.0749692136426057]|39858.3359375000000000|      0.90000000|[189, 13, 0, 13]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[9.997460199629945, -0.9998143828019871, -0.4797259985683668, 0.2472552974554326, -0.7613912932733222, -0.9641046012381677, 0.0749692136426057]|39858.3359375000000000|      0.81000000|[232, 16, 0, 16]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[9.997460199629945, -0.9998143828019871, -0.4797259985683668, 0.2472552974554326, -0.7613912932733222, -0.9641046012381677, 0.0749692136426057]|39858.3359375000000000|      0.72900000|[275, 19, 0, 19]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[9.997460199629945, -0.9998143828019871, -0.4797259985683668, 0.2472552974554326, -0.7613912932733222, -0.9641046012381677, 0.0749692136426057]|39858.3359375000000000|      0.65610000|[319, 22, 0, 22]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[9.997460199629945, -0.9998143828019871, -0.4797259985683668, 0.2472552974554326, -0.7613912932733222, -0.9641046012381677, 0.0749692136426057]|39858.3359375000000000|      0.59049000|[362, 25, 0, 25]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[9.997460199629945, -0.9998143828019871, -0.4797259985683668, 0.2472552974554326, -0.7613912932733222, -0.9641046012381677, 0.0749692136426057]|39858.3359375000000000|      0.53144100|[405, 28, 0, 28]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[9.997460199629945, -0.9998143828019871, -0.4797259985683668, 0.2472552974554326, -0.7613912932733222, -0.9641046012381677, 0.0749692136426057]|39858.3359375000000000|      0.47829690|[448, 31, 0, 31]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[9.997460199629945, -0.9998143828019871, -0.4797259985683668, 0.2472552974554326, -0.7613912932733222, -0.9641046012381677, 0.0749692136426057]|39858.3359375000000000|      0.43046721|[491, 34, 0, 34]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[9.997460199629945, -0.9998143828019871, -0.4797259985683668, 0.2472552974554326, -0.7613912932733222, -0.9641046012381677, 0.0749692136426057]|39858.3359375000000000|      0.38742049|[534, 37, 0, 37]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[9.997460199629945, -0.9998143828019871, -0.4797259985683668, 0.2472552974554326, -0.7613912932733222, -0.9641046012381677, 0.0749692136426057]|39858.3359375000000000|      0.34867844|[577, 40, 0, 40]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[9.997460199629945, -0.9998143828019871, -0.4797259985683668, 0.2472552974554326, -0.7613912932733222, -0.9641046012381677, 0.0749692136426057]|39858.3359375000000000|      0.31381060|[620, 43, 0, 43]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[9.997460199629945, -0.9998143828019871, -0.4797259985683668, 0.2472552974554326, -0.7613912932733222, -0.9641046012381677, 0.0749692136426057]|39858.3359375000000000|      0.28242954|[663, 46, 0, 46]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[9.997460199629945, -0.9998143828019871, -0.4797259985683668, 0.2472552974554326, -0.7613912932733222, -0.9641046012381677, 0.0749692136426057]|39858.3359375000000000|      0.25418658|[706, 49, 0, 49]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[9.997460199629945, -0.9998143828019871, -0.4797259985683668, 0.2472552974554326, -0.7613912932733222, -0.9641046012381677, 0.0749692136426057]|39858.3359375000000000|      0.22876792|[750, 52, 0, 52]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[9.997460199629945, -0.9998143828019871, -0.4797259985683668, 0.2472552974554326, -0.7613912932733222, -0.9641046012381677, 0.0749692136426057]|39858.3359375000000000|      0.20589113|[793, 55, 0, 55]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[9.997460199629945, -0.9998143828019871, -0.4797259985683668, 0.2472552974554326, -0.7613912932733222, -0.9641046012381677, 0.0749692136426057]|39858.3359375000000000|      0.18530202|[836, 58, 0, 58]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
