k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.951501376384468, 2.0080419418278086, -7.883093651435629]                     | 41.2925186157226562|      5.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[1.951501376384468, 2.0080419418278086, -7.883093651435629]                     | 41.2925186157226562|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[2.585762901606531, 1.2809351420969164, -8.14582549078534]                      | 16.2220954895019531|      5.00000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[2.585762901606531, 1.2809351420969164, -8.14582549078534]                      | 16.2220954895019531|      1.00000000|[22, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[2.585762901606531, 1.2809351420969164, -8.14582549078534]                      | 16.2220954895019531|      0.20000000|[27, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[2.5485230695634398, 1.0929537312635875, -8.088587530562132]                    | 12.7270193099975586|      1.00000000|[32, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[2.5485230695634398, 1.0929537312635875, -8.088587530562132]                    | 12.7270193099975586|      0.20000000|[37, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[2.4603298033993615, 0.9156560552670541, -8.06052542284478]                     | 10.1293954849243164|      1.00000000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[2.4603298033993615, 0.9156560552670541, -8.06052542284478]                     | 10.1293954849243164|      0.20000000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[2.5421291999031563, 0.7700920146795036, -7.950434692901514]                    |  9.3198499679565430|      1.00000000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[2.5421291999031563, 0.7700920146795036, -7.950434692901514]                    |  9.3198499679565430|      0.20000000|[58, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[2.5421291999031563, 0.7700920146795036, -7.950434692901514]                    |  9.3198499679565430|      0.04000000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[2.520756090552011, 0.7390259855797188, -7.937089580214267]                     |  9.0051984786987305|      0.20000000|[69, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[2.520756090552011, 0.7390259855797188, -7.937089580214267]                     |  9.0051984786987305|      0.04000000|[74, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[2.533428697686514, 0.706885081858154, -7.957248135132109]                      |  8.8733758926391602|      0.20000000|[80, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      16|[2.533428697686514, 0.706885081858154, -7.957248135132109]                      |  8.8733758926391602|      0.04000000|[85, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[2.5038402405747138, 0.7051841226200414, -7.930384964369643]                    |  8.7144279479980469|      0.20000000|[91, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      18|[2.5038402405747138, 0.7051841226200414, -7.930384964369643]                    |  8.7144279479980469|      0.04000000|[97, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[2.484049925652597, 0.6705798094088251, -7.9270857307520455]                    |  8.4247589111328125|      0.20000000|[103, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      20|[2.3163150355806086, 0.5620817820325731, -7.93673895342637]                     |  7.1355156898498535|      1.00000000|[108, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      21|[2.3163150355806086, 0.5620817820325731, -7.93673895342637]                     |  7.1355156898498535|      0.20000000|[113, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[2.3163150355806086, 0.5620817820325731, -7.93673895342637]                     |  7.1355156898498535|      0.04000000|[118, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      23|[2.301032930937591, 0.5349962051501963, -7.96189504220481]                      |  6.9684534072875977|      0.20000000|[124, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      24|[2.301032930937591, 0.5349962051501963, -7.96189504220481]                      |  6.9684534072875977|      0.04000000|[129, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[2.301032930937591, 0.5349962051501963, -7.96189504220481]                      |  6.9684534072875977|      0.00800000|[134, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      26|[2.2953451727805043, 0.5307442144010491, -7.958211296581717]                    |  6.9279584884643555|      0.04000000|[140, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      27|[2.2595320127711838, 0.5129287043069483, -7.958369947877942]                    |  6.7069997787475586|      0.20000000|[146, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      28|[2.2595320127711838, 0.5129287043069483, -7.958369947877942]                    |  6.7069997787475586|      0.04000000|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[2.2312553257269943, 0.4846633254976882, -7.95714629328043]                     |  6.4955692291259766|      0.20000000|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      30|[2.050742887957976, 0.4003059477308805, -7.97444058791752]                      |  5.5190753936767578|      1.00000000|[164, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      31|[2.050742887957976, 0.4003059477308805, -7.97444058791752]                      |  5.5190753936767578|      0.20000000|[170, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      32|[1.8960028894901306, 0.2737151107848652, -7.968936691526911]                    |  4.7156815528869629|      1.00000000|[175, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      33|[1.8960028894901306, 0.2737151107848652, -7.968936691526911]                    |  4.7156815528869629|      0.20000000|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      34|[1.8080620094779862, 0.0997801898778444, -8.013803660577182]                    |  4.2804684638977051|      1.00000000|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      35|[1.8080620094779862, 0.0997801898778444, -8.013803660577182]                    |  4.2804684638977051|      0.20000000|[192, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      36|[1.6092882113389069, 0.0777720736176892, -8.01165424390188]                     |  3.5961713790893555|      1.00000000|[197, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      37|[1.6092882113389069, 0.0777720736176892, -8.01165424390188]                     |  3.5961713790893555|      0.20000000|[203, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      38|[1.6092882113389069, 0.0777720736176892, -8.01165424390188]                     |  3.5961713790893555|      0.04000000|[209, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      39|[1.5832729386017104, 0.0825188487312757, -8.041665470308516]                    |  3.5140893459320068|      0.20000000|[214, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      40|[1.4257458053066114, 0.0215665701044704, -7.934567281686913]                    |  3.0325202941894531|      1.00000000|[219, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      41|[1.4257458053066114, 0.0215665701044704, -7.934567281686913]                    |  3.0325202941894531|      0.20000000|[225, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      42|[1.4257458053066114, 0.0215665701044704, -7.934567281686913]                    |  3.0325202941894531|      0.04000000|[231, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      43|[1.3858349767315663, 0.0210806082927804, -7.937192087121788]                    |  2.9202876091003418|      0.20000000|[236, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      44|[1.3858349767315663, 0.0210806082927804, -7.937192087121788]                    |  2.9202876091003418|      0.04000000|[241, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      45|[1.370513934943989, -0.0098154603697542, -7.916926386548078]                    |  2.8776741027832031|      0.20000000|[246, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      46|[1.370513934943989, -0.0098154603697542, -7.916926386548078]                    |  2.8776741027832031|      0.04000000|[251, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      47|[1.3317261095875657, -0.0014387509314445, -7.921959809151609]                   |  2.7727713584899902|      0.20000000|[257, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      48|[1.1339723976356768, -0.0311840360399988, -7.919012365672897]                   |  2.2860786914825439|      1.00000000|[263, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      49|[1.1339723976356768, -0.0311840360399988, -7.919012365672897]                   |  2.2860786914825439|      0.20000000|[269, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      50|[0.9410599284830752, -0.014173065190864, -7.869058325633913]                    |  1.8850243091583252|      1.00000000|[275, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      51|[0.9410599284830752, -0.014173065190864, -7.869058325633913]                    |  1.8850243091583252|      0.20000000|[280, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      52|[0.9410599284830752, -0.014173065190864, -7.869058325633913]                    |  1.8850243091583252|      0.04000000|[286, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      53|[0.9015134060792491, -0.0140736420530615, -7.87506354676251]                    |  1.8121589422225952|      0.20000000|[292, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      54|[0.9015134060792491, -0.0140736420530615, -7.87506354676251]                    |  1.8121589422225952|      0.04000000|[297, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      55|[0.8713828599940446, -0.0347693768319238, -7.858820494260891]                   |  1.7596619129180908|      0.20000000|[302, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      56|[0.8713828599940446, -0.0347693768319238, -7.858820494260891]                   |  1.7596619129180908|      0.04000000|[307, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      57|[0.8533963910860685, -0.0042610340845194, -7.840226732967669]                   |  1.7275164127349854|      0.20000000|[313, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      58|[0.8533963910860685, -0.0042610340845194, -7.840226732967669]                   |  1.7275164127349854|      0.04000000|[318, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      59|[0.8227124857212402, 0.0182312244024696, -7.852579718830072]                    |  1.6764230728149414|      0.20000000|[323, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
