k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0]                                                              |83210000.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.837735710342441, 10.088547766945183, 9.017233703635014]                      |33320054.0000000000000000|      2.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[10.81561832209714, 10.665254504742816, 7.3706751907947865]                     |5525594.5000000000000000|      4.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[8.72679777600936, 11.243285067725107, 4.008724954027454]                       |2163650.5000000000000000|      8.00000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[8.72679777600936, 11.243285067725107, 4.008724954027454]                       |2163650.5000000000000000|      4.00000000|[28, 11, 0, 11]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[6.434718291670415, 9.696657932751787, 1.118341563742225]                       |934855.6875000000000000|      8.00000000|[33, 13, 0, 13]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[5.286312656891927, 1.984332388355301, 2.907531099609927]                       |5358.4243164062500000|     16.00000000|[43, 17, 0, 17]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | iterate success | actual_k=1
       7|[5.286312656891927, 1.984332388355301, 2.907531099609927]                       |5358.4243164062500000|      8.00000000|[54, 21, 0, 21]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[5.286312656891927, 1.984332388355301, 2.907531099609927]                       |5358.4243164062500000|      4.00000000|[65, 25, 0, 25]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[3.949119205066339, -0.2732659723053246, -0.1116017749646958]                   |249.8770751953125000|      8.00000000|[71, 27, 0, 27]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[3.949119205066339, -0.2732659723053246, -0.1116017749646958]                   |249.8770751953125000|      4.00000000|[82, 31, 0, 31]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[0.088965889227588, -0.8136049046609382, -1.0100728186827865]                   |  9.7813291549682617|      8.00000000|[94, 35, 0, 35]                                                            |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | iterate success | actual_k=1
      12|[0.088965889227588, -0.8136049046609382, -1.0100728186827865]                   |  9.7813291549682617|      4.00000000|[105, 39, 0, 39]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[0.088965889227588, -0.8136049046609382, -1.0100728186827865]                   |  9.7813291549682617|      2.00000000|[116, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[0.088965889227588, -0.8136049046609382, -1.0100728186827865]                   |  9.7813291549682617|      1.00000000|[126, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[0.4855131237441427, -0.3237296948845708, -0.2336885261807858]                  |  0.4736399054527283|      2.00000000|[137, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | iterate success | actual_k=1
      16|[0.4855131237441427, -0.3237296948845708, -0.2336885261807858]                  |  0.4736399054527283|      1.00000000|[148, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      17|[0.4855131237441427, -0.3237296948845708, -0.2336885261807858]                  |  0.4736399054527283|      0.50000000|[159, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      18|[0.4855131237441427, -0.3237296948845708, -0.2336885261807858]                  |  0.4736399054527283|      0.25000000|[170, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      19|[0.4855131237441427, -0.3237296948845708, -0.2336885261807858]                  |  0.4736399054527283|      0.12500000|[181, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      20|[0.4855131237441427, -0.3237296948845708, -0.2336885261807858]                  |  0.4736399054527283|      0.06250000|[191, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      21|[0.4605375032967487, -0.2752365715453023, -0.2031781120231541]                  |  0.3036499023437500|      0.12500000|[199, 75, 0, 75]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | iterate success | actual_k=1
      22|[0.4605375032967487, -0.2752365715453023, -0.2031781120231541]                  |  0.3036499023437500|      0.06250000|[210, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 8 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      23|[0.4605375032967487, -0.2752365715453023, -0.2031781120231541]                  |  0.3036499023437500|      0.03125000|[221, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      24|[0.4411297700802325, -0.2512479846339604, -0.2081228151885147]                  |  0.2546332180500031|      0.06250000|[226, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      25|[0.4411297700802325, -0.2512479846339604, -0.2081228151885147]                  |  0.2546332180500031|      0.03125000|[236, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      26|[0.4149439556951335, -0.2342529392405563, -0.2066966114634881]                  |  0.2074103653430939|      0.06250000|[241, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
