k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337744340301|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.554448037949173, -1.0132943423015919, 0.6081551689875485, 0.1428982192504011, -0.1686250974195233, 0.2065920144863121, 0.5514613212168805]|53761.4453125000000000|      5.00000000|[14, 2, 0, 2]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       2|[10.554448037949173, -1.0132943423015919, 0.6081551689875485, 0.1428982192504011, -0.1686250974195233, 0.2065920144863121, 0.5514613212168805]|53761.4453125000000000|      1.00000000|[47, 7, 0, 7]                                                              |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 20 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[10.554448037949173, -1.0132943423015919, 0.6081551689875485, 0.1428982192504011, -0.1686250974195233, 0.2065920144863121, 0.5514613212168805]|53761.4453125000000000|      0.20000000|[78, 12, 0, 12]                                                            |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 20 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 26 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[10.507747308153478, -1.0133529035984696, 0.6434088081081354, 0.297829472361169, -0.1852746469218361, 0.1705880218988628, 0.4465850552434036]|51111.6679687500000000|      1.00000000|[91, 14, 0, 14]                                                            |  | trying linear partial model with 8 points | iterate success | actual_k=1
       5|[10.507747308153478, -1.0133529035984696, 0.6434088081081354, 0.297829472361169, -0.1852746469218361, 0.1705880218988628, 0.4465850552434036]|51111.6679687500000000|      0.20000000|[119, 18, 0, 18]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 22 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[10.53244428890895, -1.057106561091484, 0.6417035150135771, 0.4758602540167117, -0.2016442873593836, 0.09804534100689, 0.4308559841622238]|48359.4492187500000000|      1.00000000|[132, 20, 0, 20]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
       7|[10.53244428890895, -1.057106561091484, 0.6417035150135771, 0.4758602540167117, -0.2016442873593836, 0.09804534100689, 0.4308559841622238]|48359.4492187500000000|      0.20000000|[165, 25, 0, 25]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 21 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[10.559651353916472, -1.1166865065953229, 0.6292265217963741, 0.6378837116334481, -0.1941851051895865, 0.0738393239178816, 0.337790636864446]|43652.5273437500000000|      1.00000000|[179, 27, 0, 27]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
       9|[10.559651353916472, -1.1166865065953229, 0.6292265217963741, 0.6378837116334481, -0.1941851051895865, 0.0738393239178816, 0.337790636864446]|43652.5273437500000000|      0.20000000|[210, 32, 0, 32]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 20 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 26 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[10.587912617556112, -1.145406944663791, 0.6000959012399787, 0.7831339009623117, -0.1947133319224472, 0.1470448555866656, 0.2325723021019913]|35586.2578125000000000|      1.00000000|[224, 34, 0, 34]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      11|[10.587912617556112, -1.145406944663791, 0.6000959012399787, 0.7831339009623117, -0.1947133319224472, 0.1470448555866656, 0.2325723021019913]|35586.2578125000000000|      0.20000000|[256, 39, 0, 39]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 20 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[10.544635822343627, -1.1281570425358258, 0.5442101316042183, 0.8677689641560151, -0.2680336452017607, 0.1464504571191288, 0.0836863556388885]|11203.5000000000000000|      1.00000000|[269, 41, 0, 41]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      13|[10.544635822343627, -1.1281570425358258, 0.5442101316042183, 0.8677689641560151, -0.2680336452017607, 0.1464504571191288, 0.0836863556388885]|11203.5000000000000000|      0.20000000|[301, 46, 0, 46]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 20 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[10.544635822343627, -1.1281570425358258, 0.5442101316042183, 0.8677689641560151, -0.2680336452017607, 0.1464504571191288, 0.0836863556388885]|11203.5000000000000000|      0.04000000|[333, 51, 0, 51]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 21 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[10.544635822343627, -1.1281570425358258, 0.5442101316042183, 0.8677689641560151, -0.2680336452017607, 0.1464504571191288, 0.0836863556388885]|11203.5000000000000000|      0.00800000|[366, 56, 0, 56]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 21 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[10.545103217255242, -1.1322557987335067, 0.5428175983519405, 0.8651055762089079, -0.2689014883913452, 0.1463898885263538, 0.0775878201542877]|9872.0439453125000000|      0.04000000|[380, 58, 0, 58]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
