k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6086585485476752, 0.050599473707634, 0.1384813977418705, 0.7794992754388204, -0.0047327376407361, 0.0009223873009766, -0.0040463495215168, 0.0039738893039355, 0.0032375379429151, 0.0004216718425405, -0.0012149941420723, -0.0014573707017666, -0.0010809541638961, -0.0027838741981676, 0.0010316381100019, 0.0031647868917324, 0.0079071868142221, 0.00114406518138, -0.0003495236642305, 0.0036037853978884, 0.0029761956023178, 0.0016656623243788]| 13.1513357162475586|     10.00000000|[118, 8, 0, 2]                                                             |  | trying linear partial model with 61 points | iterate success | actual_k=4
       2|[0.6086585485476752, 0.050599473707634, 0.1384813977418705, 0.7794992754388204, -0.0047327376407361, 0.0009223873009766, -0.0040463495215168, 0.0039738893039355, 0.0032375379429151, 0.0004216718425405, -0.0012149941420723, -0.0014573707017666, -0.0010809541638961, -0.0027838741981676, 0.0010316381100019, 0.0031647868917324, 0.0079071868142221, 0.00114406518138, -0.0003495236642305, 0.0036037853978884, 0.0029761956023178, 0.0016656623243788]| 13.1513357162475586|      1.00000000|[234, 16, 0, 4]                                                            |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       3|[0.6086585485476752, 0.050599473707634, 0.1384813977418705, 0.7794992754388204, -0.0047327376407361, 0.0009223873009766, -0.0040463495215168, 0.0039738893039355, 0.0032375379429151, 0.0004216718425405, -0.0012149941420723, -0.0014573707017666, -0.0010809541638961, -0.0027838741981676, 0.0010316381100019, 0.0031647868917324, 0.0079071868142221, 0.00114406518138, -0.0003495236642305, 0.0036037853978884, 0.0029761956023178, 0.0016656623243788]| 13.1513357162475586|      0.10000000|[351, 24, 0, 6]                                                            |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       4|[0.6695876971292893, 0.0557456447718921, 0.1520240038499243, 0.8574589199438452, -0.0047019756160724, 0.0010019057176781, -0.0040303251031744, 0.0038702309952608, 0.0032971185756632, 0.0003620018575618, -0.001303795874166, -0.0014239399612575, -0.0011646813327621, -0.0027608626814999, 0.0010533661354676, 0.0031353326032999, 0.0079263648064383, 0.0011366759541193, -0.0003136045102111, 0.0035990688820754, 0.0030088481403301, 0.0016287912753962]| 13.0182876586914062|      1.00000000|[468, 32, 0, 8]                                                            |  | trying linear partial model with 61 points | iterate success | actual_k=4
       5|[0.6695876971292893, 0.0557456447718921, 0.1520240038499243, 0.8574589199438452, -0.0047019756160724, 0.0010019057176781, -0.0040303251031744, 0.0038702309952608, 0.0032971185756632, 0.0003620018575618, -0.001303795874166, -0.0014239399612575, -0.0011646813327621, -0.0027608626814999, 0.0010533661354676, 0.0031353326032999, 0.0079263648064383, 0.0011366759541193, -0.0003136045102111, 0.0035990688820754, 0.0030088481403301, 0.0016287912753962]| 13.0182876586914062|      0.10000000|[585, 40, 0, 10]                                                           |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       6|[0.7304863721787384, 0.0609151530102979, 0.1655716588350092, 0.9354402481084029, -0.0046968958227257, 0.0010107965568831, -0.0040292975997238, 0.00386461930528, 0.0033112944941133, 0.000363380311889, -0.0013044539166461, -0.0014227119765447, -0.0011586904766184, -0.0027646388294609, 0.0010638247038362, 0.0031410897499068, 0.0079132614138144, 0.0011347689972612, -0.0003014633626154, 0.0035887785837055, 0.003017589395364, 0.0016336878799862]| 12.8946647644042969|      1.00000000|[701, 48, 0, 12]                                                           |  | trying linear partial model with 61 points | iterate success | actual_k=4
       7|[0.7304863721787384, 0.0609151530102979, 0.1655716588350092, 0.9354402481084029, -0.0046968958227257, 0.0010107965568831, -0.0040292975997238, 0.00386461930528, 0.0033112944941133, 0.000363380311889, -0.0013044539166461, -0.0014227119765447, -0.0011586904766184, -0.0027646388294609, 0.0010638247038362, 0.0031410897499068, 0.0079132614138144, 0.0011347689972612, -0.0003014633626154, 0.0035887785837055, 0.003017589395364, 0.0016336878799862]| 12.8946647644042969|      0.10000000|[818, 56, 0, 14]                                                           |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       8|[0.7913826622994181, 0.0660179864671667, 0.1792093030073348, 1.0134104961426247, -0.0047623260736391, 0.0011265352996021, -0.0040913096875855, 0.0040369481184807, 0.0034603825956283, 0.0003575104331919, -0.0012376920384505, -0.0014005541843806, -0.0010557925585737, -0.0025554642569993, 0.0010233026234151, 0.0030422501804964, 0.0076341631675094, 0.0011718896337671, -0.0003409561346795, 0.0037112056837183, 0.0029715390287502, 0.0017597762138466]| 12.7804689407348633|      1.00000000|[934, 64, 0, 16]                                                           |  | trying linear partial model with 61 points | iterate success | actual_k=4
       9|[0.7913826622994181, 0.0660179864671667, 0.1792093030073348, 1.0134104961426247, -0.0047623260736391, 0.0011265352996021, -0.0040913096875855, 0.0040369481184807, 0.0034603825956283, 0.0003575104331919, -0.0012376920384505, -0.0014005541843806, -0.0010557925585737, -0.0025554642569993, 0.0010233026234151, 0.0030422501804964, 0.0076341631675094, 0.0011718896337671, -0.0003409561346795, 0.0037112056837183, 0.0029715390287502, 0.0017597762138466]| 12.7804689407348633|      0.10000000|[1050, 72, 0, 18]                                                          |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      10|[0.8522714482575953, 0.0711687128839021, 0.1926415530699638, 1.091420449592977, -0.0047102002838825, 0.0011426115838404, -0.0041477064645164, 0.0040320635186086, 0.0034695748407909, 0.0004144257796131, -0.0012183550348157, -0.0014008526260441, -0.0009549861251692, -0.002592298471246, 0.0010630589204332, 0.0030375595591883, 0.0075929675083281, 0.0012821185734644, -0.0002564358401431, 0.0037283497036831, 0.0029268396610622, 0.00172371251076]| 12.6756973266601562|      1.00000000|[1166, 80, 0, 20]                                                          |  | trying linear partial model with 61 points | iterate success | actual_k=4
      11|[0.8522714482575953, 0.0711687128839021, 0.1926415530699638, 1.091420449592977, -0.0047102002838825, 0.0011426115838404, -0.0041477064645164, 0.0040320635186086, 0.0034695748407909, 0.0004144257796131, -0.0012183550348157, -0.0014008526260441, -0.0009549861251692, -0.002592298471246, 0.0010630589204332, 0.0030375595591883, 0.0075929675083281, 0.0012821185734644, -0.0002564358401431, 0.0037283497036831, 0.0029268396610622, 0.00172371251076]| 12.6756973266601562|      0.10000000|[1282, 88, 0, 22]                                                          |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
