k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7503748359903852|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.531471817192044, 0.7749618310540234, 5.2490505469316, 5.188982242849098, 6.3520195232681225, 7.892720929329142]|188.6204223632812500|     10.00000000|[14, 2, 0, 2]                                                              |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       2|[0.531471817192044, 0.7749618310540234, 5.2490505469316, 5.188982242849098, 6.3520195232681225, 7.892720929329142]|188.6204223632812500|      1.00000000|[41, 6, 0, 6]                                                              |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 21 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.1534655306900434, 0.9493888977008376, 4.676049915748404, 5.350116845236287, 5.686822802346263, 8.065653531339123]|120.2011337280273438|     10.00000000|[54, 8, 0, 8]                                                              |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       4|[0.1534655306900434, 0.9493888977008376, 4.676049915748404, 5.350116845236287, 5.686822802346263, 8.065653531339123]|120.2011337280273438|      1.00000000|[79, 12, 0, 12]                                                            |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 20 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-0.4567729932507988, 0.8055637496431611, 4.052563323943145, 5.337809697330482, 5.239269936573675, 7.9324893207834295]| 69.4573135375976562|     10.00000000|[92, 14, 0, 14]                                                            |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       6|[-0.4567729932507988, 0.8055637496431611, 4.052563323943145, 5.337809697330482, 5.239269936573675, 7.9324893207834295]| 69.4573135375976562|      1.00000000|[118, 18, 0, 18]                                                           |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 21 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[-0.4567729932507988, 0.8055637496431611, 4.052563323943145, 5.337809697330482, 5.239269936573675, 7.9324893207834295]| 69.4573135375976562|      0.10000000|[144, 22, 0, 22]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | trying quadratic partial model with 20 points | exploitation failed, decreasing delta | actual_k=1
       8|[-0.5183182722871956, 0.8069318935411711, 3.994061631907136, 5.346646083785569, 5.188015213015192, 7.941584947583719]| 65.3523864746093750|      1.00000000|[164, 25, 0, 25]                                                           |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | iterate success | actual_k=1
       9|[-0.5183182722871956, 0.8069318935411711, 3.994061631907136, 5.346646083785569, 5.188015213015192, 7.941584947583719]| 65.3523864746093750|      0.10000000|[190, 29, 0, 29]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | trying quadratic partial model with 21 points | exploitation failed, decreasing delta | actual_k=1
      10|[-0.5316521925506595, 0.8233331183482779, 3.920430254600689, 5.349493551490484, 5.124960196923865, 7.953733344374323]| 61.9560852050781250|      1.00000000|[204, 31, 0, 31]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
      11|[-0.5316521925506595, 0.8233331183482779, 3.920430254600689, 5.349493551490484, 5.124960196923865, 7.953733344374323]| 61.9560852050781250|      0.10000000|[230, 35, 0, 35]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | trying quadratic partial model with 20 points | exploitation failed, decreasing delta | actual_k=1
      12|[-0.5901276011679377, 0.8261983107068566, 3.860842585564405, 5.356227747606266, 5.071122768158298, 7.962559941974732]| 58.2270317077636719|      1.00000000|[249, 38, 0, 38]                                                           |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | iterate success | actual_k=1
