k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0]                                                                      | 24.0625000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.9627928310498483, -0.27024056778918]                                         | 12.0766210556030273|      5.00000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       2|[0.9627928310498483, -0.27024056778918]                                         | 12.0766210556030273|      1.00000000|[15, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.9627928310498483, -0.27024056778918]                                         | 12.0766210556030273|      0.20000000|[21, 7, 0, 7]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[1.0497047242301274, -0.0901119392377485]                                       |  8.0415477752685547|      1.00000000|[26, 9, 0, 9]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       5|[1.0497047242301274, -0.0901119392377485]                                       |  8.0415477752685547|      0.20000000|[32, 11, 0, 11]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[1.1160607402492129, 0.0985594129545621]                                        |  4.0253810882568359|      1.00000000|[38, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       7|[1.1160607402492129, 0.0985594129545621]                                        |  4.0253810882568359|      0.20000000|[44, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[1.0671859323653452, 0.2924956219365724]                                        |  2.0980322360992432|      1.00000000|[49, 17, 0, 17]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       9|[1.0671859323653452, 0.2924956219365724]                                        |  2.0980322360992432|      0.20000000|[56, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[0.8707329862717326, 0.3299954882182008]                                        |  1.5279098749160767|      1.00000000|[64, 23, 0, 23]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      11|[0.8707329862717326, 0.3299954882182008]                                        |  1.5279098749160767|      0.20000000|[72, 26, 0, 26]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[0.8707329862717326, 0.3299954882182008]                                        |  1.5279098749160767|      0.04000000|[78, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[0.8714685570864847, 0.3699887243410314]                                        |  1.2355681657791138|      0.20000000|[83, 30, 0, 30]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      14|[0.7318150441742557, 0.5131560960821998]                                        |  0.7474930286407471|      1.00000000|[88, 32, 0, 32]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      15|[0.7318150441742557, 0.5131560960821998]                                        |  0.7474930286407471|      0.20000000|[95, 35, 0, 35]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[0.7318150441742557, 0.5131560960821998]                                        |  0.7474930286407471|      0.04000000|[103, 38, 0, 38]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[0.6960203448313043, 0.4953028191015524]                                        |  0.5840979218482971|      0.20000000|[108, 40, 0, 40]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      18|[0.6960203448313043, 0.4953028191015524]                                        |  0.5840979218482971|      0.04000000|[116, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[0.6599373279973759, 0.5125659560170276]                                        |  0.5223611593246460|      0.20000000|[123, 46, 0, 46]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      20|[0.6599373279973759, 0.5125659560170276]                                        |  0.5223611593246460|      0.04000000|[130, 49, 0, 49]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[0.6599373279973759, 0.5125659560170276]                                        |  0.5223611593246460|      0.00800000|[136, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      22|[0.6625217246344611, 0.520137012351663]                                         |  0.4965675175189972|      0.04000000|[142, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      23|[0.6362595924120673, 0.5503081974648385]                                        |  0.4203656911849976|      0.20000000|[149, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      24|[0.6362595924120673, 0.5503081974648385]                                        |  0.4203656911849976|      0.04000000|[155, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[0.5982745104093802, 0.5628434894538247]                                        |  0.3860611617565155|      0.20000000|[163, 61, 0, 61]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      26|[0.5982745104093802, 0.5628434894538247]                                        |  0.3860611617565155|      0.04000000|[169, 63, 0, 63]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      27|[0.586000841107675, 0.6009139115932282]                                         |  0.3330470323562622|      0.20000000|[175, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      28|[0.586000841107675, 0.6009139115932282]                                         |  0.3330470323562622|      0.04000000|[181, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[0.586000841107675, 0.6009139115932282]                                         |  0.3330470323562622|      0.00800000|[187, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[0.5799532757221273, 0.5956768367505774]                                        |  0.3186053335666656|      0.04000000|[192, 71, 0, 71]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      31|[0.5466039594292369, 0.617763554541973]                                         |  0.2835150063037872|      0.20000000|[199, 74, 0, 74]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
