k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[94.9, 0.009, 90.1, 113.0, 20.0, 73.8, 140.0, 20.0]                             |18905.1353157950870809|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[94.9, 0.009, 90.1, 113.0, 20.0, 73.8, 140.0, 20.0]                             |18905.1353157950870809|      0.20000000|[28, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       2|[94.9, 0.009, 90.1, 113.0, 20.0, 73.8, 140.0, 20.0]                             |18905.1353157950870809|      0.04000000|[54, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[94.9, 0.009, 90.1, 113.0, 20.0, 73.8, 140.0, 20.0]                             |18905.1353157950870809|      0.00800000|[81, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       4|[94.9, 0.009, 90.1, 113.0, 20.0, 73.8, 140.0, 20.0]                             |18905.1353157950870809|      0.00160000|[107, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[94.9, 0.009, 90.1, 113.0, 20.0, 73.8, 140.0, 20.0]                             |18905.1353157950870809|      0.00032000|[134, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[94.9, 0.009, 90.1, 113.0, 20.0, 73.8, 140.0, 20.0]                             |18905.1353157950870809|      0.00006400|[160, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[94.89999960571842, 0.009063941006675, 90.09999861053441, 112.99999822215948, 20.00000047377849, 73.79999886363044, 140.00000076730228, 19.99999955691843]|18899.8847656250000000|      0.00032000|[186, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       8|[94.89999960571842, 0.009063941006675, 90.09999861053441, 112.99999822215948, 20.00000047377849, 73.79999886363044, 140.00000076730228, 19.99999955691843]|18899.8847656250000000|      0.00006400|[212, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[94.89999960571842, 0.009063941006675, 90.09999861053441, 112.99999822215948, 20.00000047377849, 73.79999886363044, 140.00000076730228, 19.99999955691843]|18899.8847656250000000|      0.00001280|[238, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[94.899999962776, 0.0090516571669914, 90.09999709134607, 112.99999543290296, 20.000001057990044, 73.79999909347549, 140.00000182558094, 20.00000066046806]|18899.2363281250000000|      0.00006400|[264, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      11|[94.899999962776, 0.0090516571669914, 90.09999709134607, 112.99999543290296, 20.000001057990044, 73.79999909347549, 140.00000182558094, 20.00000066046806]|18899.2363281250000000|      0.00001280|[290, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      12|[94.899999962776, 0.0090516571669914, 90.09999709134607, 112.99999543290296, 20.000001057990044, 73.79999909347549, 140.00000182558094, 20.00000066046806]|18899.2363281250000000|      0.00000256|[316, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      13|[94.8999999419879, 0.0090491920152296, 90.09999703050326, 112.99999494832535, 20.00000109354925, 73.79999907870348, 140.00000230029772, 20.000000764576857]|18899.1992187500000000|      0.00001280|[343, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      14|[94.8999999419879, 0.0090491920152296, 90.09999703050326, 112.99999494832535, 20.00000109354925, 73.79999907870348, 140.00000230029772, 20.000000764576857]|18899.1992187500000000|      0.00000256|[369, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
