k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.9414589002263747, 2.0035265728360367, -7.939886369321088]                    | 40.9806060791015625|      2.00000000|[9, 0, 0, 2]                                                               |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       2|[2.399314593015603, 0.1653109639855324, -7.298535030382075]                     |  6.7924675941467285|      4.00000000|[17, 0, 0, 4]                                                              |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       3|[2.399314593015603, 0.1653109639855324, -7.298535030382075]                     |  6.7924675941467285|      2.00000000|[29, 0, 0, 7]                                                              |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.7969753514157167, -0.9037286656016676, -6.760331328052591]                   |  1.6404229402542114|      4.00000000|[41, 0, 0, 10]                                                             |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | iterate success | actual_k=0
       5|[0.7969753514157167, -0.9037286656016676, -6.760331328052591]                   |  1.6404229402542114|      2.00000000|[53, 0, 0, 13]                                                             |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[0.7969753514157167, -0.9037286656016676, -6.760331328052591]                   |  1.6404229402542114|      1.00000000|[65, 0, 0, 16]                                                             |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[-0.1919665241802688, -0.8020463185351648, -6.652374545086518]                  |  1.0594781637191772|      2.00000000|[73, 0, 0, 18]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       8|[-0.1919665241802688, -0.8020463185351648, -6.652374545086518]                  |  1.0594781637191772|      1.00000000|[85, 0, 0, 21]                                                             |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[-0.1919665241802688, -0.8020463185351648, -6.652374545086518]                  |  1.0594781637191772|      0.50000000|[97, 0, 0, 24]                                                             |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=0
      10|[-0.1919665241802688, -0.8020463185351648, -6.652374545086518]                  |  1.0594781637191772|      0.25000000|[109, 0, 0, 27]                                                            |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[0.0534619896368357, -0.8460517548058358, -6.634253668061552]                   |  1.0171953439712524|      0.50000000|[117, 0, 0, 29]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      12|[0.0534619896368357, -0.8460517548058358, -6.634253668061552]                   |  1.0171953439712524|      0.25000000|[129, 0, 0, 32]                                                            |  | trying quadratic partial model with 5 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=0
