k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6086585916488357, 0.0505992677921722, 0.1384813989461593, 0.7794992559302371, -0.0047328177995176, 0.0009225121810408, -0.0040463374032924, 0.0039738724421261, 0.0032374911823596, 0.0004216686889395, -0.0012149530103179, -0.0014572357961419, -0.001080912962843, -0.0027840416150861, 0.00103171614351, 0.003164626559806, 0.0079070976958251, 0.0011439820497373, -0.0003495454572224, 0.0036036976647497, 0.0029763042734688, 0.0016656842165277]| 13.1513357162475586|     10.00000000|[118, 8, 0, 2]                                                             |  | trying linear partial model with 61 points | iterate success | actual_k=4
       2|[0.6086585916488357, 0.0505992677921722, 0.1384813989461593, 0.7794992559302371, -0.0047328177995176, 0.0009225121810408, -0.0040463374032924, 0.0039738724421261, 0.0032374911823596, 0.0004216686889395, -0.0012149530103179, -0.0014572357961419, -0.001080912962843, -0.0027840416150861, 0.00103171614351, 0.003164626559806, 0.0079070976958251, 0.0011439820497373, -0.0003495454572224, 0.0036036976647497, 0.0029763042734688, 0.0016656842165277]| 13.1513357162475586|      1.00000000|[234, 16, 0, 4]                                                            |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       3|[0.6086585916488357, 0.0505992677921722, 0.1384813989461593, 0.7794992559302371, -0.0047328177995176, 0.0009225121810408, -0.0040463374032924, 0.0039738724421261, 0.0032374911823596, 0.0004216686889395, -0.0012149530103179, -0.0014572357961419, -0.001080912962843, -0.0027840416150861, 0.00103171614351, 0.003164626559806, 0.0079070976958251, 0.0011439820497373, -0.0003495454572224, 0.0036036976647497, 0.0029763042734688, 0.0016656842165277]| 13.1513357162475586|      0.10000000|[351, 24, 0, 6]                                                            |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       4|[0.6695877303207509, 0.0557453379684377, 0.1520239090812164, 0.8574589317441752, -0.0047021044920025, 0.0010021056136939, -0.004030330450936, 0.0038702455184193, 0.0032970989382752, 0.0003620631329091, -0.0013036978529834, -0.0014238787923438, -0.0011646334153974, -0.0027610808399767, 0.0010533268237149, 0.003135181581001, 0.0079262128499991, 0.0011365827454353, -0.0003137869456801, 0.0035989032862494, 0.0030089600212969, 0.0016287693661033]| 13.0182876586914062|      1.00000000|[468, 32, 0, 8]                                                            |  | trying linear partial model with 61 points | iterate success | actual_k=4
       5|[0.6695877303207509, 0.0557453379684377, 0.1520239090812164, 0.8574589317441752, -0.0047021044920025, 0.0010021056136939, -0.004030330450936, 0.0038702455184193, 0.0032970989382752, 0.0003620631329091, -0.0013036978529834, -0.0014238787923438, -0.0011646334153974, -0.0027610808399767, 0.0010533268237149, 0.003135181581001, 0.0079262128499991, 0.0011365827454353, -0.0003137869456801, 0.0035989032862494, 0.0030089600212969, 0.0016287693661033]| 13.0182876586914062|      0.10000000|[585, 40, 0, 10]                                                           |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       6|[0.7304863986653655, 0.0609148466312749, 0.1655715655575163, 0.9354402648613886, -0.0046970280875994, 0.0010109960064974, -0.0040292965994308, 0.0038646392442703, 0.0033112765366298, 0.0003634434677524, -0.0013043504897822, -0.0014226620443749, -0.0011586356316964, -0.0027648531948007, 0.0010637752203349, 0.0031409386884748, 0.0079131130366831, 0.0011346786361014, -0.0003016448944195, 0.003588618960448, 0.0030176939962918, 0.0016336630898301]| 12.8946647644042969|      1.00000000|[701, 48, 0, 12]                                                           |  | trying linear partial model with 61 points | iterate success | actual_k=4
       7|[0.7304863986653655, 0.0609148466312749, 0.1655715655575163, 0.9354402648613886, -0.0046970280875994, 0.0010109960064974, -0.0040292965994308, 0.0038646392442703, 0.0033112765366298, 0.0003634434677524, -0.0013043504897822, -0.0014226620443749, -0.0011586356316964, -0.0027648531948007, 0.0010637752203349, 0.0031409386884748, 0.0079131130366831, 0.0011346786361014, -0.0003016448944195, 0.003588618960448, 0.0030176939962918, 0.0016336630898301]| 12.8946647644042969|      0.10000000|[818, 56, 0, 14]                                                           |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       8|[0.7913826921470263, 0.0660176479241502, 0.179209246374706, 1.0134105060105465, -0.0047624771950811, 0.0011266258610383, -0.004091441140255, 0.0040369036531166, 0.0034603582133358, 0.0003575244766399, -0.001237504378007, -0.0014006185850251, -0.0010558014528199, -0.0025556967770589, 0.0010230670842252, 0.0030420502248099, 0.0076339831923116, 0.0011718525185735, -0.0003411033236255, 0.0037111511047125, 0.0029716821620104, 0.0017596385161218]| 12.7804689407348633|      1.00000000|[934, 64, 0, 16]                                                           |  | trying linear partial model with 61 points | iterate success | actual_k=4
       9|[0.7913826921470263, 0.0660176479241502, 0.179209246374706, 1.0134105060105465, -0.0047624771950811, 0.0011266258610383, -0.004091441140255, 0.0040369036531166, 0.0034603582133358, 0.0003575244766399, -0.001237504378007, -0.0014006185850251, -0.0010558014528199, -0.0025556967770589, 0.0010230670842252, 0.0030420502248099, 0.0076339831923116, 0.0011718525185735, -0.0003411033236255, 0.0037111511047125, 0.0029716821620104, 0.0017596385161218]| 12.7804689407348633|      0.10000000|[1050, 72, 0, 18]                                                          |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      10|[0.8522714768158962, 0.0711683684499933, 0.1926415010099459, 1.091420460067386, -0.0047103501594324, 0.0011427042715489, -0.0041478361458396, 0.0040320259299633, 0.0034695433545855, 0.0004144403711953, -0.0012181726485914, -0.0014009172955424, -0.0009549943575324, -0.0025925317823602, 0.0010628279988907, 0.0030373542010261, 0.0075927868816276, 0.0012820825948607, -0.0002565911450279, 0.0037282948876104, 0.0029269781708536, 0.0017235661935811]| 12.6756973266601562|      1.00000000|[1166, 80, 0, 20]                                                          |  | trying linear partial model with 61 points | iterate success | actual_k=4
      11|[0.8522714768158962, 0.0711683684499933, 0.1926415010099459, 1.091420460067386, -0.0047103501594324, 0.0011427042715489, -0.0041478361458396, 0.0040320259299633, 0.0034695433545855, 0.0004144403711953, -0.0012181726485914, -0.0014009172955424, -0.0009549943575324, -0.0025925317823602, 0.0010628279988907, 0.0030373542010261, 0.0075927868816276, 0.0012820825948607, -0.0002565911450279, 0.0037282948876104, 0.0029269781708536, 0.0017235661935811]| 12.6756973266601562|      0.10000000|[1282, 88, 0, 22]                                                          |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
