k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0077973724840422, -0.0246352516362426]                                       |  0.0000011898538332|     10.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[0.0077973724840422, -0.0246352516362426]                                       |  0.0000011898538332|      1.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.0077973724840422, -0.0246352516362426]                                       |  0.0000011898538332|      0.10000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       4|[0.0077973724840422, -0.0246352516362426]                                       |  0.0000011898538332|      0.01000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       5|[0.0077973724840422, -0.0246352516362426]                                       |  0.0000011898538332|      0.00100000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       6|[0.0077973724840422, -0.0246352516362426]                                       |  0.0000011898538332|      0.00010000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       7|[0.0077842096866358, -0.0245361217176285]                                       |  0.0000011712614878|      0.00100000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       8|[0.0077842096866358, -0.0245361217176285]                                       |  0.0000011712614878|      0.00010000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       9|[0.0077710047476775, -0.0244369974038245]                                       |  0.0000011528891264|      0.00100000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[0.0077710047476775, -0.0244369974038245]                                       |  0.0000011528891264|      0.00010000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[0.0077577571810054, -0.0243378787780407]                                       |  0.0000011347352711|      0.00100000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      12|[0.0077577571810054, -0.0243378787780407]                                       |  0.0000011347352711|      0.00010000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
