k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  6.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0]                                                                      |  6.0000000000000000|      0.50000000|[9, 0, 0, 2]                                                               |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       2|[1.2601785101065246, 0.5730255945858709]                                        |  3.2014677524566650|      1.00000000|[17, 0, 0, 4]                                                              |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       3|[1.2601785101065246, 0.5730255945858709]                                        |  3.2014677524566650|      0.50000000|[25, 0, 0, 6]                                                              |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       4|[1.2601785101065246, 0.5730255945858709]                                        |  3.2014677524566650|      0.25000000|[33, 0, 0, 8]                                                              |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       5|[1.3750150993746837, 0.3509612846095577]                                        |  2.2638149261474609|      0.50000000|[41, 0, 0, 10]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       6|[1.3750150993746837, 0.3509612846095577]                                        |  2.2638149261474609|      0.25000000|[49, 0, 0, 12]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       7|[1.4828915078302025, 0.1254337242123015]                                        |  1.5382094383239746|      0.50000000|[57, 0, 0, 14]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       8|[1.4828915078302025, 0.1254337242123015]                                        |  1.5382094383239746|      0.25000000|[65, 0, 0, 16]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       9|[1.5881760217557908, -0.1013154127815415]                                       |  0.9789738655090332|      0.50000000|[73, 0, 0, 18]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      10|[1.5881760217557908, -0.1013154127815415]                                       |  0.9789738655090332|      0.25000000|[81, 0, 0, 20]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[1.5881760217557908, -0.1013154127815415]                                       |  0.9789738655090332|      0.12500000|[89, 0, 0, 22]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      12|[1.6416609765251704, -0.2142948782313193]                                       |  0.7516361474990845|      0.25000000|[97, 0, 0, 24]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      13|[1.6416609765251704, -0.2142948782313193]                                       |  0.7516361474990845|      0.12500000|[105, 0, 0, 26]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      14|[1.6971099381874832, -0.3263235024778545]                                       |  0.5553517937660217|      0.25000000|[113, 0, 0, 28]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      15|[1.6971099381874832, -0.3263235024778545]                                       |  0.5553517937660217|      0.12500000|[121, 0, 0, 30]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      16|[1.7555622817292584, -0.4368147850954179]                                       |  0.3883280754089355|      0.25000000|[129, 0, 0, 32]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      17|[1.7555622817292584, -0.4368147850954179]                                       |  0.3883280754089355|      0.12500000|[137, 0, 0, 34]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      18|[1.7555622817292584, -0.4368147850954179]                                       |  0.3883280754089355|      0.06250000|[145, 0, 0, 36]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      19|[1.7852419348509725, -0.4918181321806157]                                       |  0.3155258297920227|      0.12500000|[153, 0, 0, 38]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      20|[1.7852419348509725, -0.4918181321806157]                                       |  0.3155258297920227|      0.06250000|[161, 0, 0, 40]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      21|[1.8153164895406915, -0.5466065539521461]                                       |  0.2498643547296524|      0.12500000|[169, 0, 0, 42]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      22|[1.8153164895406915, -0.5466065539521461]                                       |  0.2498643547296524|      0.06250000|[177, 0, 0, 44]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      23|[1.8458450945358846, -0.6011432780657877]                                       |  0.1914380043745041|      0.12500000|[185, 0, 0, 46]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      24|[1.8458450945358846, -0.6011432780657877]                                       |  0.1914380043745041|      0.06250000|[193, 0, 0, 48]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      25|[1.8754705878492994, -0.6561758152227898]                                       |  0.1403996944427490|      0.12500000|[201, 0, 0, 50]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      26|[1.8754705878492994, -0.6561758152227898]                                       |  0.1403996944427490|      0.06250000|[209, 0, 0, 52]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      27|[1.9043986520437692, -0.7115781355890041]                                       |  0.0969545766711235|      0.12500000|[217, 0, 0, 54]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      28|[1.9043986520437692, -0.7115781355890041]                                       |  0.0969545766711235|      0.06250000|[225, 0, 0, 56]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      29|[1.933289898022081, -0.7669996648517435]                                        |  0.0613574162125587|      0.12500000|[233, 0, 0, 58]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      30|[1.933289898022081, -0.7669996648517435]                                        |  0.0613574162125587|      0.06250000|[241, 0, 0, 60]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      31|[1.933289898022081, -0.7669996648517435]                                        |  0.0613574162125587|      0.03125000|[249, 0, 0, 62]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      32|[1.9464989201517335, -0.7953207565393595]                                       |  0.0465665049850941|      0.06250000|[257, 0, 0, 64]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      33|[1.9464989201517335, -0.7953207565393595]                                       |  0.0465665049850941|      0.03125000|[265, 0, 0, 66]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      34|[1.9587133343332392, -0.8240848067792446]                                       |  0.0338083580136299|      0.06250000|[273, 0, 0, 68]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      35|[1.9587133343332392, -0.8240848067792446]                                       |  0.0338083580136299|      0.03125000|[281, 0, 0, 70]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      36|[1.97033874262769, -0.853091915942126]                                          |  0.0231020562350750|      0.06250000|[289, 0, 0, 72]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      37|[1.97033874262769, -0.853091915942126]                                          |  0.0231020562350750|      0.03125000|[297, 0, 0, 74]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      38|[1.97033874262769, -0.853091915942126]                                          |  0.0231020562350750|      0.01562500|[305, 0, 0, 76]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      39|[1.9753802902775333, -0.867881216882142]                                        |  0.0185180511325598|      0.03125000|[313, 0, 0, 78]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      40|[1.9753802902775333, -0.867881216882142]                                        |  0.0185180511325598|      0.01562500|[321, 0, 0, 80]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      41|[1.980102840144261, -0.8827754489119]                                           |  0.0144460117444396|      0.03125000|[329, 0, 0, 82]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
