k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.0948809526749828, -0.9829609176219597, -0.1574339202563493]                 |1375.1679687500000000|     10.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[-1.0948809526749828, -0.9829609176219597, -0.1574339202563493]                 |1375.1679687500000000|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[-0.6754878791097403, -1.652524171362073, -0.7704547185058471]                  |613.1546020507812500|     10.00000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[-0.6754878791097403, -1.652524171362073, -0.7704547185058471]                  |613.1546020507812500|      1.00000000|[22, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-0.107146761036929, -0.8748788907154796, -0.5016496013748154]                  |482.2767333984375000|     10.00000000|[27, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[-0.107146761036929, -0.8748788907154796, -0.5016496013748154]                  |482.2767333984375000|      1.00000000|[32, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[-0.5259335529068354, -1.4609305982291216, -1.195307311687082]                  |375.9544982910156250|     10.00000000|[37, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[-0.5259335529068354, -1.4609305982291216, -1.195307311687082]                  |375.9544982910156250|      1.00000000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[0.06510758490343, -1.6579722047887466, -1.977512514111835]                     | 68.5334854125976562|     10.00000000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[0.06510758490343, -1.6579722047887466, -1.977512514111835]                     | 68.5334854125976562|      1.00000000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[0.06510758490343, -1.6579722047887466, -1.977512514111835]                     | 68.5334854125976562|      0.10000000|[58, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[0.1579331210694708, -1.633684654133576, -2.005682262400728]                    | 56.7730712890625000|      1.00000000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[0.1579331210694708, -1.633684654133576, -2.005682262400728]                    | 56.7730712890625000|      0.10000000|[69, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[0.1919199328954011, -1.5997748630859885, -2.0934035408513854]                  | 46.4347915649414062|      1.00000000|[74, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[0.1919199328954011, -1.5997748630859885, -2.0934035408513854]                  | 46.4347915649414062|      0.10000000|[80, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[0.1980329308064145, -1.50002522728764, -2.0969590175615855]                    | 34.4870986938476562|      1.00000000|[85, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[0.1980329308064145, -1.50002522728764, -2.0969590175615855]                    | 34.4870986938476562|      0.10000000|[91, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[0.178899524528785, -1.4423076488443491, -2.0175701398591155]                   | 32.8050041198730469|      1.00000000|[97, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      19|[0.4916309758644104, -0.5752459812636959, -1.6297517494264668]                  | 15.0914440155029297|     10.00000000|[103, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      20|[0.4916309758644104, -0.5752459812636959, -1.6297517494264668]                  | 15.0914440155029297|      1.00000000|[108, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[0.4916309758644104, -0.5752459812636959, -1.6297517494264668]                  | 15.0914440155029297|      0.10000000|[113, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[0.5368016776315889, -0.6328842343439834, -1.56165300139309]                    |  8.6165904998779297|      1.00000000|[118, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      23|[0.5368016776315889, -0.6328842343439834, -1.56165300139309]                    |  8.6165904998779297|      0.10000000|[124, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      24|[0.4491336238172453, -0.6754728478002368, -1.584025358092356]                   |  6.1072511672973633|      1.00000000|[129, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      25|[0.4491336238172453, -0.6754728478002368, -1.584025358092356]                   |  6.1072511672973633|      0.10000000|[134, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      26|[0.4895333995938179, -0.7665523317643668, -1.5755173784243943]                  |  3.3405508995056152|      1.00000000|[140, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      27|[0.4895333995938179, -0.7665523317643668, -1.5755173784243943]                  |  3.3405508995056152|      0.10000000|[146, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[0.5706381472420579, -0.8242642003805769, -1.5659591291212738]                  |  2.5411014556884766|      1.00000000|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      29|[0.5706381472420579, -0.8242642003805769, -1.5659591291212738]                  |  2.5411014556884766|      0.10000000|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[0.5706381472420579, -0.8242642003805769, -1.5659591291212738]                  |  2.5411014556884766|      0.01000000|[164, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      31|[0.5638330893302473, -0.8185487108949847, -1.5613738955659366]                  |  2.4872214794158936|      0.10000000|[170, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      32|[0.5638330893302473, -0.8185487108949847, -1.5613738955659366]                  |  2.4872214794158936|      0.01000000|[175, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[0.5661062803860257, -0.8235432247201175, -1.5530140251079398]                  |  2.4250729084014893|      0.10000000|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      34|[0.5661062803860257, -0.8235432247201175, -1.5530140251079398]                  |  2.4250729084014893|      0.01000000|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      35|[0.5584451066650401, -0.8174446974186156, -1.5509856311694468]                  |  2.4179372787475586|      0.10000000|[192, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      36|[0.5584451066650401, -0.8174446974186156, -1.5509856311694468]                  |  2.4179372787475586|      0.01000000|[197, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      37|[0.5638795704643923, -0.8247206291347725, -1.5467990548981538]                  |  2.3928389549255371|      0.10000000|[203, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      38|[0.5638795704643923, -0.8247206291347725, -1.5467990548981538]                  |  2.3928389549255371|      0.01000000|[209, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[0.5695817294593168, -0.821625959594659, -1.5391892977907229]                   |  2.3706650733947754|      0.10000000|[214, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      40|[0.5695817294593168, -0.821625959594659, -1.5391892977907229]                   |  2.3706650733947754|      0.01000000|[219, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      41|[0.5695817294593168, -0.821625959594659, -1.5391892977907229]                   |  2.3706650733947754|      0.00100000|[225, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      42|[0.5692435598838294, -0.8217166749090082, -1.5382525950257238]                  |  2.3668508529663086|      0.01000000|[231, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
