k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  6.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0]                                                                      |  6.0000000000000000|      0.10000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[1.0554723178140968, 0.9167965027397775]                                        |  5.3160929679870605|      1.00000000|[12, 4, 0, 4]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       3|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|     10.00000000|[17, 6, 0, 6]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       4|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      1.00000000|[23, 8, 0, 8]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      1.00000000|[26, 9, 0, 9]                                                              |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       4|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      1.00000000|[29, 10, 0, 10]                                                            |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       4|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      1.00000000|[32, 11, 0, 11]                                                            |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[37, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[40, 14, 0, 14]                                                            |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[43, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[46, 16, 0, 16]                                                            |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[49, 17, 0, 17]                                                            |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[52, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[55, 19, 0, 19]                                                            |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[58, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[61, 21, 0, 21]                                                            |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[64, 22, 0, 22]                                                            |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[67, 23, 0, 23]                                                            |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[70, 24, 0, 24]                                                            |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[73, 25, 0, 25]                                                            |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[76, 26, 0, 26]                                                            |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[79, 27, 0, 27]                                                            |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[82, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[85, 29, 0, 29]                                                            |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[88, 30, 0, 30]                                                            |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[91, 31, 0, 31]                                                            |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[94, 32, 0, 32]                                                            |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[97, 33, 0, 33]                                                            |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[100, 34, 0, 34]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[103, 35, 0, 35]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[106, 36, 0, 36]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[109, 37, 0, 37]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[112, 38, 0, 38]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[115, 39, 0, 39]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[118, 40, 0, 40]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[121, 41, 0, 41]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[124, 42, 0, 42]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[127, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[130, 44, 0, 44]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[133, 45, 0, 45]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[136, 46, 0, 46]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[139, 47, 0, 47]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[142, 48, 0, 48]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[145, 49, 0, 49]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[148, 50, 0, 50]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[151, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[154, 52, 0, 52]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[157, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[160, 54, 0, 54]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[163, 55, 0, 55]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[166, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[169, 57, 0, 57]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[172, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[175, 59, 0, 59]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[178, 60, 0, 60]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
