k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      0.10000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       2|[0.0325119852782127, 9.907575131506864, 1.0200153565368129]                     |  1.6372137069702148|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[0.0325119852782127, 9.907575131506864, 1.0200153565368129]                     |  1.6372137069702148|      0.10000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.0747378042674332, 9.81798042827802, 1.0062396763712134]                      |  1.4869034290313721|      1.00000000|[22, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[0.0747378042674332, 9.81798042827802, 1.0062396763712134]                      |  1.4869034290313721|      0.10000000|[27, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       6|[0.1725949470863497, 9.79738984217681, 1.006153866541172]                       |  1.0927677154541016|      1.00000000|[32, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[0.1725949470863497, 9.79738984217681, 1.006153866541172]                       |  1.0927677154541016|      0.10000000|[37, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[0.2381620963475525, 9.803122158270817, 1.0814405817700725]                     |  0.6841728091239929|      1.00000000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[0.2381620963475525, 9.803122158270817, 1.0814405817700725]                     |  0.6841728091239929|      0.10000000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[0.2652749889748842, 9.741296755067403, 1.15521395482644]                       |  0.4682878255844116|      1.00000000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[0.2652749889748842, 9.741296755067403, 1.15521395482644]                       |  0.4682878255844116|      0.10000000|[58, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[0.3330943556496272, 9.786160094407883, 1.2134188883549448]                     |  0.2640372812747955|      1.00000000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[0.3330943556496272, 9.786160094407883, 1.2134188883549448]                     |  0.2640372812747955|      0.10000000|[69, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      14|[0.4150850425805471, 9.744440226694232, 1.2526232235049182]                     |  0.1387162804603577|      1.00000000|[74, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[0.4150850425805471, 9.744440226694232, 1.2526232235049182]                     |  0.1387162804603577|      0.10000000|[80, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[0.4150850425805471, 9.744440226694232, 1.2526232235049182]                     |  0.1387162804603577|      0.01000000|[85, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      17|[0.4233475732060669, 9.73982628992322, 1.2558546589654298]                      |  0.1303767561912537|      0.10000000|[91, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      18|[0.5088152478409848, 9.738531874700827, 1.307754573047554]                      |  0.0815134868025780|      1.00000000|[97, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      19|[0.5088152478409848, 9.738531874700827, 1.307754573047554]                      |  0.0815134868025780|      0.10000000|[103, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[0.5088152478409848, 9.738531874700827, 1.307754573047554]                      |  0.0815134868025780|      0.01000000|[108, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      21|[0.518553546685588, 9.736369197662283, 1.3070557428534795]                      |  0.0792527273297310|      0.10000000|[113, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      22|[0.518553546685588, 9.736369197662283, 1.3070557428534795]                      |  0.0792527273297310|      0.01000000|[118, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      23|[0.518553546685588, 9.736369197662283, 1.3070557428534795]                      |  0.0792527273297310|      0.00100000|[124, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      24|[0.5193033422304995, 9.73607038362763, 1.3064653897273548]                      |  0.0789466947317123|      0.01000000|[129, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      25|[0.5244586308195487, 9.739013095211215, 1.2984178156767818]                     |  0.0757335945963860|      0.10000000|[134, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      26|[0.5244586308195487, 9.739013095211215, 1.2984178156767818]                     |  0.0757335945963860|      0.01000000|[140, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      27|[0.5310465632943273, 9.741839317574179, 1.2914456128066099]                     |  0.0726209506392479|      0.10000000|[146, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      28|[0.5310465632943273, 9.741839317574179, 1.2914456128066099]                     |  0.0726209506392479|      0.01000000|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      29|[0.5358188774086562, 9.744807144759363, 1.2831741546647188]                     |  0.0697555914521217|      0.10000000|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      30|[0.5358188774086562, 9.744807144759363, 1.2831741546647188]                     |  0.0697555914521217|      0.01000000|[164, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      31|[0.5431213221972137, 9.739279334161457, 1.2791594803188049]                     |  0.0674327909946442|      0.10000000|[170, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      32|[0.5431213221972137, 9.739279334161457, 1.2791594803188049]                     |  0.0674327909946442|      0.01000000|[175, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      33|[0.5416067292966811, 9.737202563879444, 1.269495473202634]                      |  0.0662284344434738|      0.10000000|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      34|[0.5416067292966811, 9.737202563879444, 1.269495473202634]                      |  0.0662284344434738|      0.01000000|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
