k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 0.0]                                                                      |416.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0034050668271703, -0.0824532544793889]                                       | 56.9047622680664062|      2.00000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[1.0034050668271703, -0.0824532544793889]                                       | 56.9047622680664062|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[1.0034050668271703, -0.0824532544793889]                                       | 56.9047622680664062|      0.50000000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[1.0620158766914964, 0.4140996359230815]                                        | 21.4477386474609375|      1.00000000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[1.0620158766914964, 0.4140996359230815]                                        | 21.4477386474609375|      0.50000000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[1.0620158766914964, 0.4140996359230815]                                        | 21.4477386474609375|      0.25000000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.9300979717884544, 0.626461747341272]                                         | 10.2960052490234375|      0.50000000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[0.9300979717884544, 0.626461747341272]                                         | 10.2960052490234375|      0.25000000|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[1.021161883288545, 0.859286496932684]                                          |  1.4473578929901123|      0.50000000|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[1.021161883288545, 0.859286496932684]                                          |  1.4473578929901123|      0.25000000|[57, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[1.021161883288545, 0.859286496932684]                                          |  1.4473578929901123|      0.12500000|[62, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[1.021161883288545, 0.859286496932684]                                          |  1.4473578929901123|      0.06250000|[68, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[1.020143926643486, 0.9217782064969836]                                         |  0.4738632440567017|      0.12500000|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[1.020143926643486, 0.9217782064969836]                                         |  0.4738632440567017|      0.06250000|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[0.9855487298531246, 0.973830318452563]                                         |  0.1048336327075958|      0.12500000|[85, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      16|[0.9855487298531246, 0.973830318452563]                                         |  0.1048336327075958|      0.06250000|[90, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[0.9855487298531246, 0.973830318452563]                                         |  0.1048336327075958|      0.03125000|[95, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[1.0151636680825677, 0.9838061860171546]                                        |  0.0474998801946640|      0.06250000|[100, 36, 0, 36]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      19|[1.0151636680825677, 0.9838061860171546]                                        |  0.0474998801946640|      0.03125000|[106, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[1.0151636680825677, 0.9838061860171546]                                        |  0.0474998801946640|      0.01562500|[111, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[1.0067787828218455, 0.9969908105535047]                                        |  0.0073270853608847|      0.03125000|[116, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      22|[1.0067787828218455, 0.9969908105535047]                                        |  0.0073270853608847|      0.01562500|[121, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[1.0067787828218455, 0.9969908105535047]                                        |  0.0073270853608847|      0.00781250|[126, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      24|[0.9992005035310134, 0.9950921691339246]                                        |  0.0022132664453238|      0.01562500|[131, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      25|[0.9992005035310134, 0.9950921691339246]                                        |  0.0022132664453238|      0.00781250|[136, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      26|[0.9992005035310134, 0.9950921691339246]                                        |  0.0022132664453238|      0.00390625|[142, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      27|[1.0018542673419368, 0.9979585826941656]                                        |  0.0007166731520556|      0.00781250|[147, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      28|[1.0018542673419368, 0.9979585826941656]                                        |  0.0007166731520556|      0.00390625|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[0.9985932268009746, 1.0001090253585259]                                        |  0.0003177418548148|      0.00781250|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      30|[0.9985932268009746, 1.0001090253585259]                                        |  0.0003177418548148|      0.00390625|[163, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      31|[0.9985932268009746, 1.0001090253585259]                                        |  0.0003177418548148|      0.00195312|[169, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      32|[1.000328931133588, 1.0010045853706817]                                         |  0.0001144239067798|      0.00390625|[174, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      33|[1.000328931133588, 1.0010045853706817]                                         |  0.0001144239067798|      0.00195312|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      34|[1.000328931133588, 1.0010045853706817]                                         |  0.0001144239067798|      0.00097656|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      35|[1.0002814315222752, 1.0000291787358204]                                        |  0.0000134551028168|      0.00195312|[191, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      36|[1.0002814315222752, 1.0000291787358204]                                        |  0.0000134551028168|      0.00097656|[196, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      37|[1.0002814315222752, 1.0000291787358204]                                        |  0.0000134551028168|      0.00048828|[201, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
