k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.50000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.5083745345046766, 0.0088715100722794]                                        |  0.2004216611385345|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[0.5083745345046766, 0.0088715100722794]                                        |  0.2004216611385345|      0.50000000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       4|[0.5083745345046766, 0.0088715100722794]                                        |  0.2004216611385345|      0.25000000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       5|[0.5083745345046766, 0.0088715100722794]                                        |  0.2004216611385345|      0.12500000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       6|[0.3844529603386177, -0.0075127340728118]                                       |  0.0655548349022865|      0.25000000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[0.3844529603386177, -0.0075127340728118]                                       |  0.0655548349022865|      0.12500000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[0.3844529603386177, -0.0075127340728118]                                       |  0.0655548349022865|      0.06250000|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[0.3219851343524723, -0.0095179065254103]                                       |  0.0322639718651772|      0.12500000|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[0.3219851343524723, -0.0095179065254103]                                       |  0.0322639718651772|      0.06250000|[57, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[0.3219851343524723, -0.0095179065254103]                                       |  0.0322639718651772|      0.03125000|[62, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[0.2907389432704877, -0.0100058028956598]                                       |  0.0214524809271097|      0.06250000|[68, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[0.2907389432704877, -0.0100058028956598]                                       |  0.0214524809271097|      0.03125000|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      14|[0.2907389432704877, -0.0100058028956598]                                       |  0.0214524809271097|      0.01562500|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      15|[0.2751282919176886, -0.0093363334479969]                                       |  0.0172026827931404|      0.03125000|[85, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      16|[0.2751282919176886, -0.0093363334479969]                                       |  0.0172026827931404|      0.01562500|[90, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      17|[0.2595075887829818, -0.0089699203241046]                                       |  0.0136165767908096|      0.03125000|[95, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      18|[0.2595075887829818, -0.0089699203241046]                                       |  0.0136165767908096|      0.01562500|[100, 36, 0, 36]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[0.2438826070525213, -0.0089460263337143]                                       |  0.0106226969510317|      0.03125000|[106, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      20|[0.2438826070525213, -0.0089460263337143]                                       |  0.0106226969510317|      0.01562500|[111, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      21|[0.2282753210783382, -0.0082022188854685]                                       |  0.0081532644107938|      0.03125000|[116, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      22|[0.2282753210783382, -0.0082022188854685]                                       |  0.0081532644107938|      0.01562500|[121, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      23|[0.2282753210783382, -0.0082022188854685]                                       |  0.0081532644107938|      0.00781250|[126, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      24|[0.220462925982906, -0.0082427049678558]                                        |  0.0070936367847025|      0.01562500|[131, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      25|[0.220462925982906, -0.0082427049678558]                                        |  0.0070936367847025|      0.00781250|[136, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      26|[0.2126504683456162, -0.008268432687388]                                        |  0.0061408029869199|      0.01562500|[142, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
