k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7514694982056085|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5721014974766658, 0.8378913000140653, 5.258673204948442, 5.240777541443279, 6.354949475219205, 7.9341803422085]|190.2466888427734375|     10.00000000|[11, 4, 0, 2]                                                              |  | trying linear partial model with 7 points | iterate success | actual_k=2
       2|[0.5721014974766658, 0.8378913000140653, 5.258673204948442, 5.240777541443279, 6.354949475219205, 7.9341803422085]|190.2466888427734375|      1.00000000|[22, 8, 0, 4]                                                              |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[-0.1477033748643349, 0.5418513569174009, 4.900138929449987, 5.5050642950214765, 5.913671573182657, 7.900702047813514]|120.9489593505859375|     10.00000000|[33, 12, 0, 6]                                                             |  | trying linear partial model with 7 points | iterate success | actual_k=2
       4|[-0.1477033748643349, 0.5418513569174009, 4.900138929449987, 5.5050642950214765, 5.913671573182657, 7.900702047813514]|120.9489593505859375|      1.00000000|[43, 16, 0, 8]                                                             |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[-0.6565710362741203, 0.5912750502024106, 4.289695089948542, 5.732424026873397, 5.50981725623205, 8.289518924428611]| 74.3535766601562500|     10.00000000|[53, 20, 0, 10]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       6|[-0.6565710362741203, 0.5912750502024106, 4.289695089948542, 5.732424026873397, 5.50981725623205, 8.289518924428611]| 74.3535766601562500|      1.00000000|[64, 24, 0, 12]                                                            |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[-0.6565710362741203, 0.5912750502024106, 4.289695089948542, 5.732424026873397, 5.50981725623205, 8.289518924428611]| 74.3535766601562500|      0.10000000|[75, 28, 0, 14]                                                            |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       8|[-0.6921960769085792, 0.622823047031609, 4.23494017604628, 5.7265236652632, 5.441406419321347, 8.28476257020925]| 70.8168411254882812|      1.00000000|[86, 32, 0, 16]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       9|[-0.6921960769085792, 0.622823047031609, 4.23494017604628, 5.7265236652632, 5.441406419321347, 8.28476257020925]| 70.8168411254882812|      0.10000000|[96, 36, 0, 18]                                                            |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      10|[-0.7542871474246429, 0.5999888990965782, 4.168985056422834, 5.702953372596127, 5.4171621048881375, 8.273366195041701]| 67.9414672851562500|      1.00000000|[107, 40, 0, 20]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      11|[-0.7542871474246429, 0.5999888990965782, 4.168985056422834, 5.702953372596127, 5.4171621048881375, 8.273366195041701]| 67.9414672851562500|      0.10000000|[118, 44, 0, 22]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      12|[-0.7920608390789962, 0.635501183592467, 4.117070078200811, 5.717261950820424, 5.353851544853091, 8.293463420774119]| 64.6624374389648438|      1.00000000|[129, 48, 0, 24]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      13|[-0.9281055121419377, 1.022069238833283, 3.5483994944632093, 5.91335460485423, 4.7428214292797914, 8.604687811988118]| 39.3271102905273438|     10.00000000|[141, 52, 0, 26]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      14|[-0.9281055121419377, 1.022069238833283, 3.5483994944632093, 5.91335460485423, 4.7428214292797914, 8.604687811988118]| 39.3271102905273438|      1.00000000|[153, 56, 0, 28]                                                           |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      15|[-0.9281055121419377, 1.022069238833283, 3.5483994944632093, 5.91335460485423, 4.7428214292797914, 8.604687811988118]| 39.3271102905273438|      0.10000000|[163, 60, 0, 30]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      16|[-0.9357643752838976, 1.065461332572799, 3.5010580030567366, 5.90893291452569, 4.6797197253110285, 8.562074729272105]| 37.4772796630859375|      1.00000000|[174, 64, 0, 32]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      17|[-0.9357643752838976, 1.065461332572799, 3.5010580030567366, 5.90893291452569, 4.6797197253110285, 8.562074729272105]| 37.4772796630859375|      0.10000000|[185, 68, 0, 34]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      18|[-0.9555226467985065, 1.0852108103310432, 3.442547922982735, 5.92605041738478, 4.605844075864134, 8.555327961198868]| 35.3617973327636719|      1.00000000|[196, 72, 0, 36]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      19|[-0.9555226467985065, 1.0852108103310432, 3.442547922982735, 5.92605041738478, 4.605844075864134, 8.555327961198868]| 35.3617973327636719|      0.10000000|[207, 76, 0, 38]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      20|[-0.9805412893817697, 1.1423200989450735, 3.3742584356795997, 5.924078312197611, 4.568118631657186, 8.550632829498426]| 33.4574432373046875|      1.00000000|[218, 80, 0, 40]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      21|[-0.9805412893817697, 1.1423200989450735, 3.3742584356795997, 5.924078312197611, 4.568118631657186, 8.550632829498426]| 33.4574432373046875|      0.10000000|[229, 84, 0, 42]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      22|[-0.9923438692101315, 1.165711362372163, 3.31016177243906, 5.8885574338493365, 4.506541418832981, 8.53831699707515]| 31.6305103302001953|      1.00000000|[240, 88, 0, 44]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      23|[-0.9923438692101315, 1.165711362372163, 3.31016177243906, 5.8885574338493365, 4.506541418832981, 8.53831699707515]| 31.6305103302001953|      0.10000000|[251, 92, 0, 46]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      24|[-1.0283663863259156, 1.1760246447560743, 3.291618377170842, 5.836341125765726, 4.437761313801763, 8.566511168122576]| 30.2496452331542969|      1.00000000|[261, 96, 0, 48]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      25|[-1.0283663863259156, 1.1760246447560743, 3.291618377170842, 5.836341125765726, 4.437761313801763, 8.566511168122576]| 30.2496452331542969|      0.10000000|[271, 100, 0, 50]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      26|[-1.057908654186173, 1.1868991683283405, 3.2877811628578684, 5.919977884799347, 4.410429256563402, 8.531125773981259]| 29.7163429260253906|      1.00000000|[281, 104, 0, 52]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      27|[-1.057908654186173, 1.1868991683283405, 3.2877811628578684, 5.919977884799347, 4.410429256563402, 8.531125773981259]| 29.7163429260253906|      0.10000000|[291, 108, 0, 54]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      28|[-1.077632791910752, 1.217017351996311, 3.207444857776634, 5.960662614722729, 4.389345326594876, 8.543379432112724]| 28.2898788452148438|      1.00000000|[302, 112, 0, 56]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      29|[-1.077632791910752, 1.217017351996311, 3.207444857776634, 5.960662614722729, 4.389345326594876, 8.543379432112724]| 28.2898788452148438|      0.10000000|[314, 116, 0, 58]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      30|[-1.10883548562765, 1.229247802080841, 3.143312518099006, 5.984756115169846, 4.325178833689743, 8.535254444268245]| 26.7156829833984375|      1.00000000|[325, 120, 0, 60]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      31|[-1.10883548562765, 1.229247802080841, 3.143312518099006, 5.984756115169846, 4.325178833689743, 8.535254444268245]| 26.7156829833984375|      0.10000000|[335, 124, 0, 62]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      32|[-1.127529309703426, 1.3080813773437532, 3.116773578160255, 5.99539516216257, 4.2744536421403385, 8.541981898540179]| 25.3847637176513672|      1.00000000|[347, 128, 0, 64]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      33|[-1.127529309703426, 1.3080813773437532, 3.116773578160255, 5.99539516216257, 4.2744536421403385, 8.541981898540179]| 25.3847637176513672|      0.10000000|[358, 132, 0, 66]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
