k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404944837|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.19074570784984, 38.522810533633724, 41.799376279922306, 39.166647972821416] |810.4356689453125000|      1.11111111|[15, 2, 0, 2]                                                              |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       2|[23.28747368376171, 37.99473979702867, 42.118942808148304, 39.360777009581206]  |721.3528442382812500|      1.23456790|[28, 4, 0, 4]                                                              |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       3|[22.273033537725368, 37.415086898428505, 42.46483810775284, 39.5593419906942]   |631.2352294921875000|      1.37174211|[41, 6, 0, 6]                                                              |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       4|[21.123568098384037, 36.787559917232116, 42.815209337205154, 39.76875907777494] |541.2004394531250000|      1.52415790|[55, 8, 0, 8]                                                              |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       5|[19.84850186584091, 36.09066225395563, 43.21315287717017, 39.999492692772904]   |452.5906066894531250|      1.69350878|[68, 10, 0, 10]                                                            |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       6|[18.38874785248949, 35.363427943181144, 43.619158133971226, 40.20777183234078]  |366.8910522460937500|      1.88167642|[81, 12, 0, 12]                                                            |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       7|[16.789323839177165, 34.51727720551404, 44.08279721742928, 40.43496495844198]   |285.9037475585937500|      2.09075158|[94, 14, 0, 14]                                                            |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       8|[14.91972953423075, 33.73941162648517, 44.53686678915779, 40.689140635014844]   |211.2052917480468750|      2.32305731|[107, 16, 0, 16]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       9|[12.833231086687078, 32.880579854230824, 45.01172598447747, 40.972047399407174] |144.7578887939453125|      2.58117479|[120, 18, 0, 18]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
      10|[10.426619670539294, 32.07555398334402, 45.405650596861115, 41.23174249755914]  | 88.3701858520507812|      2.86797199|[133, 20, 0, 20]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
      11|[7.696979200953583, 31.312380553772506, 45.74120199580389, 41.51334118689105]   | 43.9991950988769531|      3.18663555|[146, 22, 0, 22]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
      12|[4.587004336569272, 30.68340566431694, 46.00949516386242, 41.636271272848866]   | 13.7265577316284180|      3.54070616|[159, 24, 0, 24]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
      13|[1.1391522093873334, 30.36392366835425, 46.181813670600796, 42.355405069485464] |  0.3917614221572876|      3.93411796|[172, 26, 0, 26]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
      14|[1.1391522093873334, 30.36392366835425, 46.181813670600796, 42.355405069485464] |  0.3917614221572876|      3.54070616|[191, 29, 0, 29]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      15|[1.1391522093873334, 30.36392366835425, 46.181813670600796, 42.355405069485464] |  0.3917614221572876|      3.18663555|[210, 32, 0, 32]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      16|[1.1391522093873334, 30.36392366835425, 46.181813670600796, 42.355405069485464] |  0.3917614221572876|      2.86797199|[229, 35, 0, 35]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      17|[1.1391522093873334, 30.36392366835425, 46.181813670600796, 42.355405069485464] |  0.3917614221572876|      2.58117479|[249, 38, 0, 38]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      18|[1.1391522093873334, 30.36392366835425, 46.181813670600796, 42.355405069485464] |  0.3917614221572876|      2.32305731|[270, 41, 0, 41]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      19|[1.1391522093873334, 30.36392366835425, 46.181813670600796, 42.355405069485464] |  0.3917614221572876|      2.09075158|[289, 44, 0, 44]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      20|[1.1391522093873334, 30.36392366835425, 46.181813670600796, 42.355405069485464] |  0.3917614221572876|      1.88167642|[309, 47, 0, 47]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      21|[1.1391522093873334, 30.36392366835425, 46.181813670600796, 42.355405069485464] |  0.3917614221572876|      1.69350878|[328, 50, 0, 50]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      22|[1.1391522093873334, 30.36392366835425, 46.181813670600796, 42.355405069485464] |  0.3917614221572876|      1.52415790|[347, 53, 0, 53]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      23|[1.1391522093873334, 30.36392366835425, 46.181813670600796, 42.355405069485464] |  0.3917614221572876|      1.37174211|[366, 56, 0, 56]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      24|[1.1391522093873334, 30.36392366835425, 46.181813670600796, 42.355405069485464] |  0.3917614221572876|      1.23456790|[386, 59, 0, 59]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      25|[1.1391522093873334, 30.36392366835425, 46.181813670600796, 42.355405069485464] |  0.3917614221572876|      1.11111111|[405, 62, 0, 62]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      26|[1.1391522093873334, 30.36392366835425, 46.181813670600796, 42.355405069485464] |  0.3917614221572876|      1.00000000|[424, 65, 0, 65]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
