k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.0948809526749828, -0.9829609176219597, -0.1574339202563493]                 |1375.1679687500000000|      1.11111111|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[-0.39058040361691, -1.7450807655236553, -0.5545510003037346]                   |589.5537109375000000|      1.23456790|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[0.1094880809714618, -2.5634222259087105, -1.3319869575986556]                  |367.9512634277343750|      1.37174211|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[0.1652917985492573, -1.280113959507175, -1.813320793567938]                    | 35.0029678344726562|      1.52415790|[22, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[0.1652917985492573, -1.280113959507175, -1.813320793567938]                    | 35.0029678344726562|      1.37174211|[27, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.1652917985492573, -1.280113959507175, -1.813320793567938]                    | 35.0029678344726562|      1.23456790|[32, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.1652917985492573, -1.280113959507175, -1.813320793567938]                    | 35.0029678344726562|      1.11111111|[37, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[0.1652917985492573, -1.280113959507175, -1.813320793567938]                    | 35.0029678344726562|      1.00000000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[0.1652917985492573, -1.280113959507175, -1.813320793567938]                    | 35.0029678344726562|      0.90000000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[0.1652917985492573, -1.280113959507175, -1.813320793567938]                    | 35.0029678344726562|      0.81000000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[0.177703755067926, -1.2533512160811053, -2.622783392394894]                    | 25.9855461120605469|      0.90000000|[58, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[0.177703755067926, -1.2533512160811053, -2.622783392394894]                    | 25.9855461120605469|      0.81000000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[0.177703755067926, -1.2533512160811053, -2.622783392394894]                    | 25.9855461120605469|      0.72900000|[69, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[0.177703755067926, -1.2533512160811053, -2.622783392394894]                    | 25.9855461120605469|      0.65610000|[74, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[0.177703755067926, -1.2533512160811053, -2.622783392394894]                    | 25.9855461120605469|      0.59049000|[80, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[0.177703755067926, -1.2533512160811053, -2.622783392394894]                    | 25.9855461120605469|      0.53144100|[85, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[0.177703755067926, -1.2533512160811053, -2.622783392394894]                    | 25.9855461120605469|      0.47829690|[91, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[-0.1041737567328021, -0.9731597565868384, -2.3566899146147855]                 | 15.3983087539672852|      0.53144100|[97, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      19|[-0.1041737567328021, -0.9731597565868384, -2.3566899146147855]                 | 15.3983087539672852|      0.47829690|[103, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[-0.1041737567328021, -0.9731597565868384, -2.3566899146147855]                 | 15.3983087539672852|      0.43046721|[108, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[-0.1041737567328021, -0.9731597565868384, -2.3566899146147855]                 | 15.3983087539672852|      0.38742049|[113, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[-0.1041737567328021, -0.9731597565868384, -2.3566899146147855]                 | 15.3983087539672852|      0.34867844|[118, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[-0.1041737567328021, -0.9731597565868384, -2.3566899146147855]                 | 15.3983087539672852|      0.31381060|[124, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      24|[-0.1041737567328021, -0.9731597565868384, -2.3566899146147855]                 | 15.3983087539672852|      0.28242954|[129, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[-0.0359001062541882, -0.9083927897839877, -2.622979966509998]                  |  8.0676393508911133|      0.31381060|[134, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      26|[-0.0359001062541882, -0.9083927897839877, -2.622979966509998]                  |  8.0676393508911133|      0.28242954|[140, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      27|[-0.0359001062541882, -0.9083927897839877, -2.622979966509998]                  |  8.0676393508911133|      0.25418658|[146, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[-0.0359001062541882, -0.9083927897839877, -2.622979966509998]                  |  8.0676393508911133|      0.22876792|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[-0.0359001062541882, -0.9083927897839877, -2.622979966509998]                  |  8.0676393508911133|      0.20589113|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[-0.0359001062541882, -0.9083927897839877, -2.622979966509998]                  |  8.0676393508911133|      0.18530202|[164, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      31|[-0.0359001062541882, -0.9083927897839877, -2.622979966509998]                  |  8.0676393508911133|      0.16677182|[170, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      32|[-0.0359001062541882, -0.9083927897839877, -2.622979966509998]                  |  8.0676393508911133|      0.15009464|[175, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[-0.0017176765058471, -1.0067934952283422, -2.51491858483508]                   |  6.3443250656127930|      0.16677182|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      34|[-0.0017176765058471, -1.0067934952283422, -2.51491858483508]                   |  6.3443250656127930|      0.15009464|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      35|[-0.0017176765058471, -1.0067934952283422, -2.51491858483508]                   |  6.3443250656127930|      0.13508517|[192, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      36|[-0.0017176765058471, -1.0067934952283422, -2.51491858483508]                   |  6.3443250656127930|      0.12157665|[197, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      37|[-0.0017176765058471, -1.0067934952283422, -2.51491858483508]                   |  6.3443250656127930|      0.10941899|[203, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      38|[-0.0017176765058471, -1.0067934952283422, -2.51491858483508]                   |  6.3443250656127930|      0.09847709|[209, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[-0.0017176765058471, -1.0067934952283422, -2.51491858483508]                   |  6.3443250656127930|      0.08862938|[214, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      40|[-0.0017176765058471, -1.0067934952283422, -2.51491858483508]                   |  6.3443250656127930|      0.07976644|[219, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      41|[-0.0017176765058471, -1.0067934952283422, -2.51491858483508]                   |  6.3443250656127930|      0.07178980|[225, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      42|[-0.0017176765058471, -1.0067934952283422, -2.51491858483508]                   |  6.3443250656127930|      0.06461082|[231, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      43|[-0.0017176765058471, -1.0067934952283422, -2.51491858483508]                   |  6.3443250656127930|      0.05814974|[236, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      44|[-0.0017176765058471, -1.0067934952283422, -2.51491858483508]                   |  6.3443250656127930|      0.05233476|[241, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      45|[-0.0017176765058471, -1.0067934952283422, -2.51491858483508]                   |  6.3443250656127930|      0.04710129|[246, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      46|[-0.0017176765058471, -1.0067934952283422, -2.51491858483508]                   |  6.3443250656127930|      0.04239116|[251, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      47|[-0.0017176765058471, -1.0067934952283422, -2.51491858483508]                   |  6.3443250656127930|      0.03815204|[257, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
