k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404944837|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.197024512336142, 38.5160007425223, 41.80170257342005, 39.1730625383026]     |810.4403686523437500|      2.00000000|[15, 2, 0, 2]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       2|[22.57685719967747, 37.556042842831175, 42.38261069889142, 39.51377423398433]   |655.6222534179687500|      4.00000000|[28, 4, 0, 4]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       3|[22.57685719967747, 37.556042842831175, 42.38261069889142, 39.51377423398433]   |655.6222534179687500|      2.00000000|[41, 6, 0, 6]                                                              |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[20.914047863371575, 36.63695320378094, 42.92842326262442, 39.81779395662689]   |524.0139160156250000|      4.00000000|[55, 8, 0, 8]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       5|[20.914047863371575, 36.63695320378094, 42.92842326262442, 39.81779395662689]   |524.0139160156250000|      2.00000000|[68, 10, 0, 10]                                                            |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[19.21988123325592, 35.749593392845, 43.43497526189749, 40.110705320986064]     |412.7882080078125000|      4.00000000|[81, 12, 0, 12]                                                            |  | trying linear partial model with 8 points | iterate success | actual_k=1
       7|[19.21988123325592, 35.749593392845, 43.43497526189749, 40.110705320986064]     |412.7882080078125000|      2.00000000|[94, 14, 0, 14]                                                            |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[17.48802510880557, 34.914976841831255, 43.90754759073787, 40.39489710656776]   |319.4566650390625000|      4.00000000|[107, 16, 0, 16]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
       9|[17.48802510880557, 34.914976841831255, 43.90754759073787, 40.39489710656776]   |319.4566650390625000|      2.00000000|[120, 18, 0, 18]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[15.721523288346615, 34.09518214015922, 44.30770373691354, 40.61234370714706]   |241.8057098388671875|      4.00000000|[133, 20, 0, 20]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      11|[15.721523288346615, 34.09518214015922, 44.30770373691354, 40.61234370714706]   |241.8057098388671875|      2.00000000|[146, 22, 0, 22]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      12|[13.928440903482189, 33.33089152691471, 44.692716480214415, 40.841430169189614] |177.8965759277343750|      4.00000000|[159, 24, 0, 24]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      13|[13.928440903482189, 33.33089152691471, 44.692716480214415, 40.841430169189614] |177.8965759277343750|      2.00000000|[172, 26, 0, 26]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      14|[12.115652092657278, 32.62897160797551, 45.109104192528456, 41.05989395973228]  |126.1174087524414062|      4.00000000|[185, 28, 0, 28]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      15|[12.115652092657278, 32.62897160797551, 45.109104192528456, 41.05989395973228]  |126.1174087524414062|      2.00000000|[198, 30, 0, 30]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      16|[12.115652092657278, 32.62897160797551, 45.109104192528456, 41.05989395973228]  |126.1174087524414062|      1.00000000|[211, 32, 0, 32]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[11.186052130151227, 32.30663037086413, 45.261271912799785, 41.15362240511403]  |104.2579498291015625|      2.00000000|[224, 34, 0, 34]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      18|[11.186052130151227, 32.30663037086413, 45.261271912799785, 41.15362240511403]  |104.2579498291015625|      1.00000000|[237, 36, 0, 36]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[10.247978755605779, 32.00385416905783, 45.405875373563006, 41.239847428883046] | 84.8685684204101562|      2.00000000|[250, 38, 0, 38]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      20|[10.247978755605779, 32.00385416905783, 45.405875373563006, 41.239847428883046] | 84.8685684204101562|      1.00000000|[264, 40, 0, 40]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      21|[9.298764087678578, 31.72320343086129, 45.524125894772304, 41.31886319677349]   | 67.7962188720703125|      2.00000000|[277, 42, 0, 42]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      22|[9.298764087678578, 31.72320343086129, 45.524125894772304, 41.31886319677349]   | 67.7962188720703125|      1.00000000|[290, 44, 0, 44]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      23|[8.34242369436479, 31.460336261168905, 45.622136457158526, 41.40076455741593]   | 52.9051628112792969|      2.00000000|[304, 46, 0, 46]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      24|[8.34242369436479, 31.460336261168905, 45.622136457158526, 41.40076455741593]   | 52.9051628112792969|      1.00000000|[317, 48, 0, 48]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      25|[7.379959234913582, 31.228386142525096, 45.7518548617134, 41.455850329391616]   | 40.0679473876953125|      2.00000000|[330, 50, 0, 50]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      26|[7.379959234913582, 31.228386142525096, 45.7518548617134, 41.455850329391616]   | 40.0679473876953125|      1.00000000|[343, 52, 0, 52]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      27|[6.408714528362918, 31.014451968979753, 45.84334798299249, 41.50629731290295]   | 29.1703929901123047|      2.00000000|[356, 54, 0, 54]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      28|[6.408714528362918, 31.014451968979753, 45.84334798299249, 41.50629731290295]   | 29.1703929901123047|      1.00000000|[369, 56, 0, 56]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      29|[6.408714528362918, 31.014451968979753, 45.84334798299249, 41.50629731290295]   | 29.1703929901123047|      0.50000000|[383, 58, 0, 58]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[5.920307546296574, 30.91945247766972, 45.88523876974042, 41.53235260997132]    | 24.4184894561767578|      1.00000000|[396, 60, 0, 60]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      31|[5.920307546296574, 30.91945247766972, 45.88523876974042, 41.53235260997132]    | 24.4184894561767578|      0.50000000|[409, 62, 0, 62]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      32|[5.430227004778228, 30.831971995024674, 45.92514204880928, 41.55635169955462]   | 20.1160945892333984|      1.00000000|[422, 64, 0, 64]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      33|[5.430227004778228, 30.831971995024674, 45.92514204880928, 41.55635169955462]   | 20.1160945892333984|      0.50000000|[435, 66, 0, 66]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      34|[4.938837577499944, 30.751295571214232, 45.962307053886455, 41.58177821716698]  | 16.2532978057861328|      1.00000000|[449, 68, 0, 68]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      35|[4.938837577499944, 30.751295571214232, 45.962307053886455, 41.58177821716698]  | 16.2532978057861328|      0.50000000|[463, 70, 0, 70]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      36|[4.445750067814468, 30.677998363867825, 45.9954109764665, 41.601686946338056]   | 12.8203067779541016|      1.00000000|[477, 72, 0, 72]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      37|[4.445750067814468, 30.677998363867825, 45.9954109764665, 41.601686946338056]   | 12.8203067779541016|      0.50000000|[490, 74, 0, 74]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      38|[3.9521603909313447, 30.613640624207072, 46.03798397512034, 41.622054862426666] |  9.8101491928100586|      1.00000000|[504, 76, 0, 76]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      39|[3.9521603909313447, 30.613640624207072, 46.03798397512034, 41.622054862426666] |  9.8101491928100586|      0.50000000|[517, 78, 0, 78]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      40|[3.4566374000633986, 30.554897161462712, 46.065649337088544, 41.63757255727017] |  7.2127780914306641|      1.00000000|[530, 80, 0, 80]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      41|[3.4566374000633986, 30.554897161462712, 46.065649337088544, 41.63757255727017] |  7.2127780914306641|      0.50000000|[543, 82, 0, 82]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      42|[3.4566374000633986, 30.554897161462712, 46.065649337088544, 41.63757255727017] |  7.2127780914306641|      0.25000000|[556, 84, 0, 84]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      43|[3.2083581403197927, 30.528966344237617, 46.077452468190415, 41.64433184683328] |  6.0671324729919434|      0.50000000|[569, 86, 0, 86]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      44|[3.2083581403197927, 30.528966344237617, 46.077452468190415, 41.64433184683328] |  6.0671324729919434|      0.25000000|[582, 88, 0, 88]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      45|[2.9598559527348303, 30.50474607559917, 46.08844102654161, 41.6506002547597]    |  5.0224952697753906|      0.50000000|[595, 90, 0, 90]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      46|[2.9598559527348303, 30.50474607559917, 46.08844102654161, 41.6506002547597]    |  5.0224952697753906|      0.25000000|[609, 92, 0, 92]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      47|[2.710883636430931, 30.48378397260897, 46.095631223886535, 41.65525611285896]   |  4.0781841278076172|      0.50000000|[623, 94, 0, 94]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      48|[2.710883636430931, 30.48378397260897, 46.095631223886535, 41.65525611285896]   |  4.0781841278076172|      0.25000000|[636, 96, 0, 96]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      49|[2.4621785516362666, 30.46100722393134, 46.10603369859343, 41.65959074513026]   |  3.2335951328277588|      0.50000000|[649, 98, 0, 98]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      50|[2.4621785516362666, 30.46100722393134, 46.10603369859343, 41.65959074513026]   |  3.2335951328277588|      0.25000000|[662, 100, 0, 100]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      51|[2.213090729633429, 30.443160177763275, 46.1170124256699, 41.66361658972958]    |  2.4881188869476318|      0.50000000|[675, 102, 0, 102]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      52|[2.213090729633429, 30.443160177763275, 46.1170124256699, 41.66361658972958]    |  2.4881188869476318|      0.25000000|[688, 104, 0, 104]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      53|[1.9636986994468886, 30.428520809589315, 46.125825278524495, 41.6670280122285]  |  1.8411959409713745|      0.50000000|[701, 106, 0, 106]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      54|[1.9636986994468886, 30.428520809589315, 46.125825278524495, 41.6670280122285]  |  1.8411959409713745|      0.25000000|[715, 108, 0, 108]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
