k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7503748359903852|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7503748359903852|      0.20000000|[11, 4, 0, 2]                                                              |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       2|[1.1527088453071963, 0.4000343455370315, 5.543274485474241, 5.626809577660185, 6.408978342864484, 7.613163637359667]|253.1628875732421875|      1.00000000|[22, 8, 0, 4]                                                              |  | trying linear partial model with 7 points | iterate success | actual_k=2
       3|[0.3922649042220714, 0.1065252006093781, 5.1974943502561, 5.920063091124577, 6.048401491938343, 7.613615097505015]|163.4162902832031250|      5.00000000|[33, 12, 0, 6]                                                             |  | trying linear partial model with 7 points | iterate success | actual_k=2
       4|[0.3922649042220714, 0.1065252006093781, 5.1974943502561, 5.920063091124577, 6.048401491938343, 7.613615097505015]|163.4162902832031250|      1.00000000|[43, 16, 0, 8]                                                             |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[0.3922649042220714, 0.1065252006093781, 5.1974943502561, 5.920063091124577, 6.048401491938343, 7.613615097505015]|163.4162902832031250|      0.20000000|[53, 20, 0, 10]                                                            |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[0.2380042798608379, 0.1624536160099267, 5.143480001768147, 5.933866549164702, 5.980844359297327, 7.540105773910339]|149.8510284423828125|      1.00000000|[64, 24, 0, 12]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       7|[-0.408133317612836, 0.0163061558348334, 4.544829846136257, 5.938659960419136, 5.558868849962343, 7.383010869768741]| 92.5695419311523438|      5.00000000|[75, 28, 0, 14]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       8|[-0.408133317612836, 0.0163061558348334, 4.544829846136257, 5.938659960419136, 5.558868849962343, 7.383010869768741]| 92.5695419311523438|      1.00000000|[86, 32, 0, 16]                                                            |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[-0.408133317612836, 0.0163061558348334, 4.544829846136257, 5.938659960419136, 5.558868849962343, 7.383010869768741]| 92.5695419311523438|      0.20000000|[96, 36, 0, 18]                                                            |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[-0.408133317612836, 0.0163061558348334, 4.544829846136257, 5.938659960419136, 5.558868849962343, 7.383010869768741]| 92.5695419311523438|      0.04000000|[107, 40, 0, 20]                                                           |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[-0.4267117979496318, 0.0239211047445339, 4.514807115059856, 5.940344861570465, 5.54637537463542, 7.394696862347801]| 90.9212036132812500|      0.20000000|[118, 44, 0, 22]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      12|[-0.5118362346737574, 0.0903740881703105, 4.415342239301176, 5.971288419516466, 5.424336240232534, 7.445623433529856]| 82.9511871337890625|      1.00000000|[129, 48, 0, 24]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      13|[-0.5118362346737574, 0.0903740881703105, 4.415342239301176, 5.971288419516466, 5.424336240232534, 7.445623433529856]| 82.9511871337890625|      0.20000000|[141, 52, 0, 26]                                                           |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      14|[-0.6107266619239341, 0.2079027985538186, 4.363802200326684, 5.9641813539080974, 5.312333769135593, 7.411619814560808]| 76.8814163208007812|      1.00000000|[153, 56, 0, 28]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      15|[-0.6107266619239341, 0.2079027985538186, 4.363802200326684, 5.9641813539080974, 5.312333769135593, 7.411619814560808]| 76.8814163208007812|      0.20000000|[163, 60, 0, 30]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      16|[-0.6293259346656663, 0.295507912641866, 4.276971888326508, 5.970212588028892, 5.1815297503863444, 7.326215828406312]| 71.3822631835937500|      1.00000000|[174, 64, 0, 32]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      17|[-0.6293259346656663, 0.295507912641866, 4.276971888326508, 5.970212588028892, 5.1815297503863444, 7.326215828406312]| 71.3822631835937500|      0.20000000|[185, 68, 0, 34]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      18|[-0.6815299641163031, 0.3241331259057916, 4.162767536893666, 6.024052093805901, 5.038410260395699, 7.320664090748542]| 64.7707672119140625|      1.00000000|[196, 72, 0, 36]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      19|[-0.6815299641163031, 0.3241331259057916, 4.162767536893666, 6.024052093805901, 5.038410260395699, 7.320664090748542]| 64.7707672119140625|      0.20000000|[207, 76, 0, 38]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      20|[-0.731893577189816, 0.4409785037392812, 4.0275737464119725, 6.030901320587225, 4.9643694804924445, 7.322750757022386]| 59.0639419555664062|      1.00000000|[218, 80, 0, 40]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      21|[-0.731893577189816, 0.4409785037392812, 4.0275737464119725, 6.030901320587225, 4.9643694804924445, 7.322750757022386]| 59.0639419555664062|      0.20000000|[229, 84, 0, 42]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      22|[-0.7606295544653284, 0.4746374643467844, 3.89943018568455, 5.955148777577488, 4.8404391890955765, 7.299873236903577]| 53.8430061340332031|      1.00000000|[240, 88, 0, 44]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      23|[-0.7606295544653284, 0.4746374643467844, 3.89943018568455, 5.955148777577488, 4.8404391890955765, 7.299873236903577]| 53.8430061340332031|      0.20000000|[251, 92, 0, 46]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      24|[-0.839411516799438, 0.4842346057551834, 3.8576177312693076, 5.854209932301411, 4.707798031410819, 7.364454106715982]| 49.9476242065429688|      1.00000000|[261, 96, 0, 48]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
