k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  6.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0]                                                                      |  6.0000000000000000|      0.50000000|[9, 0, 0, 2]                                                               |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       2|[1.0, 1.0]                                                                      |  6.0000000000000000|      0.25000000|[17, 0, 0, 4]                                                              |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       3|[1.0, 1.0]                                                                      |  6.0000000000000000|      0.12500000|[25, 0, 0, 6]                                                              |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       4|[1.0679341314379207, 0.8950716731012291]                                        |  5.1560425758361816|      0.25000000|[33, 0, 0, 8]                                                              |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       5|[1.0679341314379207, 0.8950716731012291]                                        |  5.1560425758361816|      0.12500000|[41, 0, 0, 10]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       6|[1.134011415999595, 0.7889642159412561]                                         |  4.4171380996704102|      0.25000000|[49, 0, 0, 12]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       7|[1.134011415999595, 0.7889642159412561]                                         |  4.4171380996704102|      0.12500000|[57, 0, 0, 14]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       8|[1.1961180241487626, 0.6804848666428494]                                        |  3.7694969177246094|      0.25000000|[65, 0, 0, 16]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       9|[1.1961180241487626, 0.6804848666428494]                                        |  3.7694969177246094|      0.12500000|[73, 0, 0, 18]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      10|[1.1961180241487626, 0.6804848666428494]                                        |  3.7694969177246094|      0.06250000|[81, 0, 0, 20]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[1.226094141771311, 0.6256425255888869]                                         |  3.4760823249816895|      0.12500000|[89, 0, 0, 22]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      12|[1.226094141771311, 0.6256425255888869]                                         |  3.4760823249816895|      0.06250000|[97, 0, 0, 24]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      13|[1.255711219767789, 0.5706054590704893]                                         |  3.2011332511901855|      0.12500000|[105, 0, 0, 26]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      14|[1.255711219767789, 0.5706054590704893]                                         |  3.2011332511901855|      0.06250000|[113, 0, 0, 28]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      15|[1.28434209909434, 0.5150489765595486]                                          |  2.9434046745300293|      0.12500000|[121, 0, 0, 30]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      16|[1.28434209909434, 0.5150489765595486]                                          |  2.9434046745300293|      0.06250000|[129, 0, 0, 32]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      17|[1.3128127755187524, 0.459410225819292]                                         |  2.7017714977264404|      0.12500000|[137, 0, 0, 34]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      18|[1.3128127755187524, 0.459410225819292]                                         |  2.7017714977264404|      0.06250000|[145, 0, 0, 36]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      19|[1.3406644824217022, 0.4034590647715338]                                        |  2.4751846790313721|      0.12500000|[153, 0, 0, 38]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      20|[1.3406644824217022, 0.4034590647715338]                                        |  2.4751846790313721|      0.06250000|[161, 0, 0, 40]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      21|[1.3679899487591727, 0.3472490221684564]                                        |  2.2626814842224121|      0.12500000|[169, 0, 0, 42]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
