k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[3.0, 0.1]                                                                      | 87.6860481455954357|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.1401527526657613, -0.4105513796394371]                                       | 16.5282554626464844|      5.00000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       2|[2.1401527526657613, -0.4105513796394371]                                       | 16.5282554626464844|      1.00000000|[15, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[1.4183651462011486, -1.1026660024831427]                                       |  3.9482703208923340|      5.00000000|[21, 7, 0, 7]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       4|[1.4183651462011486, -1.1026660024831427]                                       |  3.9482703208923340|      1.00000000|[28, 10, 0, 10]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.5171803061543377, -0.6692310199658071]                                       |  0.9959197044372559|      5.00000000|[36, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
       6|[0.5171803061543377, -0.6692310199658071]                                       |  0.9959197044372559|      1.00000000|[42, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.5171803061543377, -0.6692310199658071]                                       |  0.9959197044372559|      0.20000000|[50, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
       8|[0.3171836003894251, -0.6680831161445078]                                       |  0.8257669210433960|      1.00000000|[55, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       9|[0.3171836003894251, -0.6680831161445078]                                       |  0.8257669210433960|      0.20000000|[63, 23, 0, 23]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[0.1226584413930177, -0.6216077192399994]                                       |  0.7815988659858704|      1.00000000|[68, 25, 0, 25]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      11|[0.1226584413930177, -0.6216077192399994]                                       |  0.7815988659858704|      0.20000000|[76, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[0.1226584413930177, -0.6216077192399994]                                       |  0.7815988659858704|      0.04000000|[83, 31, 0, 31]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      13|[0.1068427389796217, -0.6583482085831056]                                       |  0.7773079276084900|      0.20000000|[88, 33, 0, 33]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      14|[0.1068427389796217, -0.6583482085831056]                                       |  0.7773079276084900|      0.04000000|[95, 36, 0, 36]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      15|[0.1280967521287643, -0.692234296068327]                                        |  0.7745321989059448|      0.20000000|[101, 38, 0, 38]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      16|[0.1280967521287643, -0.692234296068327]                                        |  0.7745321989059448|      0.04000000|[108, 41, 0, 41]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      17|[0.1280967521287643, -0.692234296068327]                                        |  0.7745321989059448|      0.00800000|[114, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      18|[0.1356677993448974, -0.6896498727185095]                                       |  0.7738249897956848|      0.04000000|[119, 45, 0, 45]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      19|[0.1356677993448974, -0.6896498727185095]                                       |  0.7738249897956848|      0.00800000|[125, 47, 0, 47]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[0.1436586329190201, -0.6900327288150706]                                       |  0.7734130620956421|      0.04000000|[130, 49, 0, 49]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      21|[0.1436586329190201, -0.6900327288150706]                                       |  0.7734130620956421|      0.00800000|[136, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[0.1516387461994806, -0.6894689983555259]                                       |  0.7732478976249695|      0.04000000|[142, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      23|[0.1516387461994806, -0.6894689983555259]                                       |  0.7732478976249695|      0.00800000|[149, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      24|[0.1516387461994806, -0.6894689983555259]                                       |  0.7732478976249695|      0.00160000|[155, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      25|[0.1518075425882165, -0.6910600696233041]                                       |  0.7732280492782593|      0.00800000|[160, 60, 0, 60]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      26|[0.1518075425882165, -0.6910600696233041]                                       |  0.7732280492782593|      0.00160000|[166, 62, 0, 62]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      27|[0.1528545139455941, -0.6922699667167922]                                       |  0.7732126116752625|      0.00800000|[171, 64, 0, 64]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      28|[0.1528545139455941, -0.6922699667167922]                                       |  0.7732126116752625|      0.00160000|[177, 66, 0, 66]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[0.1537141374199238, -0.6936194286400718]                                       |  0.7732037305831909|      0.00800000|[183, 68, 0, 68]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      30|[0.1537141374199238, -0.6936194286400718]                                       |  0.7732037305831909|      0.00160000|[190, 71, 0, 71]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      31|[0.1549204486540029, -0.6946705295898071]                                       |  0.7731996774673462|      0.00800000|[195, 73, 0, 73]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      32|[0.1549204486540029, -0.6946705295898071]                                       |  0.7731996774673462|      0.00160000|[202, 76, 0, 76]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      33|[0.1549204486540029, -0.6946705295898071]                                       |  0.7731996774673462|      0.00032000|[210, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      34|[0.1551912174071433, -0.6944999884442651]                                       |  0.7731991410255432|      0.00160000|[215, 81, 0, 81]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      35|[0.1551912174071433, -0.6944999884442651]                                       |  0.7731991410255432|      0.00032000|[222, 84, 0, 84]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
