k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3747608920950057, 0.0797095312778555, -0.004230393703097, 0.3412320516556853, 0.2813863685060732, 0.2369410940818939, 0.1407433950978369, -0.1597388580050057, -0.3424089535477906, 0.0291293031903155, 0.099735241409874, -0.0846681391623341, 0.0930650738771747, -0.2868813583100472, 0.1484125021073299, 0.0725495723862729, -0.0584381798738602, 0.1477149775037801, -0.1459984815515477, 0.3529909438652921, -0.1685676998119672, 0.3210466598085497]| 13.9616107940673828|      1.11111111|[27, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       2|[0.9706788341306045, -0.1248435245034811, -0.2852972046817287, 0.7480366811669502, 0.5309735190703484, 0.1153992291499793, 0.3600953830328931, -0.1806038873760712, -0.4026520696952519, 0.0253669972880414, 0.0249017902154806, -0.1473365387110513, 0.4363167316896695, -0.2879739832658521, -0.0269897346352358, -0.1258516812499392, -0.1370668159897249, 0.2334761795187785, -0.1978166766957652, 0.6403914406489799, -0.5762608143157684, 0.2843801834216713]| 12.9808702468872070|      1.23456790|[53, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       3|[1.324662841868936, -0.1269909065132273, -0.2649390986643342, 1.383276622852768, 0.2051166515164624, 0.4469276964777907, 0.6211096381047286, 0.1109210649108874, -0.8452493358830382, -0.1736471483900557, -0.1352263603923284, -0.055977751568792, 0.4893070222493642, -0.0563746336900367, -0.0077617156514118, -0.1721645880879007, 0.1926445488593833, -0.0363016574348532, -0.4242916178332127, 0.8207387749682784, -0.605528310778745, 0.1080686704119616]| 12.3251085281372070|      1.37174211|[79, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | iterate success | actual_k=2
       4|[1.324662841868936, -0.1269909065132273, -0.2649390986643342, 1.383276622852768, 0.2051166515164624, 0.4469276964777907, 0.6211096381047286, 0.1109210649108874, -0.8452493358830382, -0.1736471483900557, -0.1352263603923284, -0.055977751568792, 0.4893070222493642, -0.0563746336900367, -0.0077617156514118, -0.1721645880879007, 0.1926445488593833, -0.0363016574348532, -0.4242916178332127, 0.8207387749682784, -0.605528310778745, 0.1080686704119616]| 12.3251085281372070|      1.23456790|[105, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       5|[1.324662841868936, -0.1269909065132273, -0.2649390986643342, 1.383276622852768, 0.2051166515164624, 0.4469276964777907, 0.6211096381047286, 0.1109210649108874, -0.8452493358830382, -0.1736471483900557, -0.1352263603923284, -0.055977751568792, 0.4893070222493642, -0.0563746336900367, -0.0077617156514118, -0.1721645880879007, 0.1926445488593833, -0.0363016574348532, -0.4242916178332127, 0.8207387749682784, -0.605528310778745, 0.1080686704119616]| 12.3251085281372070|      1.11111111|[131, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       6|[1.324662841868936, -0.1269909065132273, -0.2649390986643342, 1.383276622852768, 0.2051166515164624, 0.4469276964777907, 0.6211096381047286, 0.1109210649108874, -0.8452493358830382, -0.1736471483900557, -0.1352263603923284, -0.055977751568792, 0.4893070222493642, -0.0563746336900367, -0.0077617156514118, -0.1721645880879007, 0.1926445488593833, -0.0363016574348532, -0.4242916178332127, 0.8207387749682784, -0.605528310778745, 0.1080686704119616]| 12.3251085281372070|      1.00000000|[157, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       7|[1.324662841868936, -0.1269909065132273, -0.2649390986643342, 1.383276622852768, 0.2051166515164624, 0.4469276964777907, 0.6211096381047286, 0.1109210649108874, -0.8452493358830382, -0.1736471483900557, -0.1352263603923284, -0.055977751568792, 0.4893070222493642, -0.0563746336900367, -0.0077617156514118, -0.1721645880879007, 0.1926445488593833, -0.0363016574348532, -0.4242916178332127, 0.8207387749682784, -0.605528310778745, 0.1080686704119616]| 12.3251085281372070|      0.90000000|[184, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       8|[1.324662841868936, -0.1269909065132273, -0.2649390986643342, 1.383276622852768, 0.2051166515164624, 0.4469276964777907, 0.6211096381047286, 0.1109210649108874, -0.8452493358830382, -0.1736471483900557, -0.1352263603923284, -0.055977751568792, 0.4893070222493642, -0.0563746336900367, -0.0077617156514118, -0.1721645880879007, 0.1926445488593833, -0.0363016574348532, -0.4242916178332127, 0.8207387749682784, -0.605528310778745, 0.1080686704119616]| 12.3251085281372070|      0.81000000|[212, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       9|[1.324662841868936, -0.1269909065132273, -0.2649390986643342, 1.383276622852768, 0.2051166515164624, 0.4469276964777907, 0.6211096381047286, 0.1109210649108874, -0.8452493358830382, -0.1736471483900557, -0.1352263603923284, -0.055977751568792, 0.4893070222493642, -0.0563746336900367, -0.0077617156514118, -0.1721645880879007, 0.1926445488593833, -0.0363016574348532, -0.4242916178332127, 0.8207387749682784, -0.605528310778745, 0.1080686704119616]| 12.3251085281372070|      0.72900000|[238, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      10|[1.324662841868936, -0.1269909065132273, -0.2649390986643342, 1.383276622852768, 0.2051166515164624, 0.4469276964777907, 0.6211096381047286, 0.1109210649108874, -0.8452493358830382, -0.1736471483900557, -0.1352263603923284, -0.055977751568792, 0.4893070222493642, -0.0563746336900367, -0.0077617156514118, -0.1721645880879007, 0.1926445488593833, -0.0363016574348532, -0.4242916178332127, 0.8207387749682784, -0.605528310778745, 0.1080686704119616]| 12.3251085281372070|      0.65610000|[264, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      11|[1.324662841868936, -0.1269909065132273, -0.2649390986643342, 1.383276622852768, 0.2051166515164624, 0.4469276964777907, 0.6211096381047286, 0.1109210649108874, -0.8452493358830382, -0.1736471483900557, -0.1352263603923284, -0.055977751568792, 0.4893070222493642, -0.0563746336900367, -0.0077617156514118, -0.1721645880879007, 0.1926445488593833, -0.0363016574348532, -0.4242916178332127, 0.8207387749682784, -0.605528310778745, 0.1080686704119616]| 12.3251085281372070|      0.59049000|[290, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
