k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0]                                                                      |889.3031475218829200|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.0, 3.0]                                                                      |889.3031475218829200|      0.50000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[2.0, 3.0]                                                                      |889.3031475218829200|      0.25000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[1.9833604206888067, 2.750554365842281]                                         |551.7501831054687500|      0.50000000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[1.9189055342205854, 2.254726202452616]                                         |189.0379791259765625|      1.00000000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[1.9189055342205854, 2.254726202452616]                                         |189.0379791259765625|      0.50000000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[1.9189055342205854, 2.254726202452616]                                         |189.0379791259765625|      0.25000000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[1.874854861688481, 2.0086377259863877]                                         |103.0939254760742188|      0.50000000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[1.874854861688481, 2.0086377259863877]                                         |103.0939254760742188|      0.25000000|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[1.7974516562401244, 1.7709220475250806]                                        | 52.4072036743164062|      0.50000000|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[1.5008046877771453, 1.368429095907634]                                         |  9.4111299514770508|      1.00000000|[57, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[1.5008046877771453, 1.368429095907634]                                         |  9.4111299514770508|      0.50000000|[62, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[1.5008046877771453, 1.368429095907634]                                         |  9.4111299514770508|      0.25000000|[68, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[1.422185205984509, 1.1311128994888953]                                         |  2.6409442424774170|      0.50000000|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[1.422185205984509, 1.1311128994888953]                                         |  2.6409442424774170|      0.25000000|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[1.2503267464892647, 0.9495511471842828]                                        |  0.2359617054462433|      0.50000000|[85, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      16|[1.2503267464892647, 0.9495511471842828]                                        |  0.2359617054462433|      0.25000000|[90, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      17|[1.2503267464892647, 0.9495511471842828]                                        |  0.2359617054462433|      0.12500000|[95, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      18|[1.2503267464892647, 0.9495511471842828]                                        |  0.2359617054462433|      0.06250000|[100, 36, 0, 36]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[1.2113217097281954, 0.9007161483896926]                                        |  0.0787648260593414|      0.12500000|[106, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      20|[1.2113217097281954, 0.9007161483896926]                                        |  0.0787648260593414|      0.06250000|[111, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      21|[1.2113217097281954, 0.9007161483896926]                                        |  0.0787648260593414|      0.03125000|[116, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      22|[1.1848296083032124, 0.8841411352045269]                                        |  0.0456240847706795|      0.06250000|[121, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      23|[1.1848296083032124, 0.8841411352045269]                                        |  0.0456240847706795|      0.03125000|[126, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      24|[1.1848296083032124, 0.8841411352045269]                                        |  0.0456240847706795|      0.01562500|[131, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      25|[1.1704037199501756, 0.8781382717023545]                                        |  0.0386586114764214|      0.03125000|[136, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      26|[1.1704037199501756, 0.8781382717023545]                                        |  0.0386586114764214|      0.01562500|[142, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      27|[1.1704037199501756, 0.8781382717023545]                                        |  0.0386586114764214|      0.00781250|[147, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      28|[1.1628518378045882, 0.8801393294999103]                                        |  0.0360734499990940|      0.01562500|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      29|[1.1628518378045882, 0.8801393294999103]                                        |  0.0360734499990940|      0.00781250|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      30|[1.1560859088370172, 0.884045396761976]                                         |  0.0335855185985565|      0.01562500|[163, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      31|[1.1560859088370172, 0.884045396761976]                                         |  0.0335855185985565|      0.00781250|[169, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      32|[1.150834179305375, 0.8898293826866196]                                         |  0.0310974642634392|      0.01562500|[174, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      33|[1.150834179305375, 0.8898293826866196]                                         |  0.0310974642634392|      0.00781250|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      34|[1.150834179305375, 0.8898293826866196]                                         |  0.0310974642634392|      0.00390625|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      35|[1.1484281710594932, 0.8929067051239423]                                        |  0.0299028810113668|      0.00781250|[191, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      36|[1.1414026871407013, 0.8963239747879863]                                        |  0.0276637747883797|      0.01562500|[196, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      37|[1.1414026871407013, 0.8963239747879863]                                        |  0.0276637747883797|      0.00781250|[201, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      38|[1.1374561116120747, 0.903066355513431]                                         |  0.0254501271992922|      0.01562500|[206, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      39|[1.1374561116120747, 0.903066355513431]                                         |  0.0254501271992922|      0.00781250|[211, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      40|[1.1374561116120747, 0.903066355513431]                                         |  0.0254501271992922|      0.00390625|[216, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      41|[1.1345808758928064, 0.9057105583462604]                                        |  0.0243386253714561|      0.00781250|[221, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      42|[1.1345808758928064, 0.9057105583462604]                                        |  0.0243386253714561|      0.00390625|[226, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      43|[1.1314239725954491, 0.9080111562323836]                                        |  0.0232426561415195|      0.00781250|[231, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      44|[1.1314239725954491, 0.9080111562323836]                                        |  0.0232426561415195|      0.00390625|[237, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      45|[1.1283431662275494, 0.9104127018151299]                                        |  0.0221695639193058|      0.00781250|[243, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      46|[1.1283431662275494, 0.9104127018151299]                                        |  0.0221695639193058|      0.00390625|[248, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      47|[1.1252263175291368, 0.9127672810246074]                                        |  0.0211194287985563|      0.00781250|[253, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      48|[1.1252263175291368, 0.9127672810246074]                                        |  0.0211194287985563|      0.00390625|[258, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      49|[1.122268203388655, 0.9153184277852588]                                         |  0.0200919527560472|      0.00781250|[264, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      50|[1.122268203388655, 0.9153184277852588]                                         |  0.0200919527560472|      0.00390625|[270, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      51|[1.1191817187428983, 0.9177126712135693]                                        |  0.0190867353230715|      0.00781250|[276, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      52|[1.1191817187428983, 0.9177126712135693]                                        |  0.0190867353230715|      0.00390625|[281, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      53|[1.1162183989542904, 0.920257769422469]                                         |  0.0181050598621368|      0.00781250|[286, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      54|[1.1162183989542904, 0.920257769422469]                                         |  0.0181050598621368|      0.00390625|[291, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      55|[1.1137782456899556, 0.92330808762047]                                          |  0.0171827040612698|      0.00781250|[296, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      56|[1.1137782456899556, 0.92330808762047]                                          |  0.0171827040612698|      0.00390625|[301, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      57|[1.1104372194342194, 0.9253320274963014]                                        |  0.0162442196160555|      0.00781250|[307, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
